"ACADEMIC_TERMS_KEY","TERM_CODE","TERM_DESCRIPTION","TERM_SELECTOR","TERM_START_DATE","TERM_END_DATE","ACADEMIC_YEAR","ACADEMIC_YEAR_DESC","IS_CURRENT_TERM","TERM_STATUS_INDICATOR","FINANCIAL_AID_YEAR","DEGREE_YEAR","LAST_DAY_OF_FINAL_EXAM","PRE_REGISTRATION_START_DAY","REGISTRATION_DAY","FIRST_DAY_OF_CLASSES","LAST_DAY_OF_CLASSES","GRADUATE_AWARD_START_DATE","GRADUATE_AWARD_END_DATE","WAREHOUSE_LOAD_DATE"
"1996SU","1996SU","Summer Term 1996","1996SU-Summer Term 1996",10-JUN-96,20-AUG-96,"1996","Academic Year 1995-1996","N","P","1997","1997",20-AUG-96,01-MAY-96,10-JUN-96,10-JUN-96,20-AUG-96,01-JUN-96,31-AUG-96,28-OCT-24
"1997SU","1997SU","Summer Term 1997","1997SU-Summer Term 1997",09-JUN-97,19-AUG-97,"1997","Academic Year 1996-1997","N","P","1998","1998",19-AUG-97,01-MAY-97,09-JUN-97,09-JUN-97,19-AUG-97,01-JUN-97,31-AUG-97,28-OCT-24
"1998SU","1998SU","Summer Term 1998","1998SU-Summer Term 1998",08-JUN-98,18-AUG-98,"1998","Academic Year 1997-1998","N","P","1999","1999",18-AUG-98,09-JUN-98,08-JUN-98,08-JUN-98,18-AUG-98,01-JUN-98,31-AUG-98,28-OCT-24
"1999SU","1999SU","Summer Term 1999","1999SU-Summer Term 1999",07-JUN-99,17-AUG-99,"1999","Academic Year 1998-1999","N","P","2000","2000",17-AUG-99,01-MAY-99,07-JUN-99,07-JUN-99,17-AUG-99,01-JUN-99,31-AUG-99,28-OCT-24
"2000SU","2000SU","Summer Term 2000","2000SU-Summer Term 2000",05-JUN-00,15-AUG-00,"2000","Academic Year 1999-2000","N","P","2001","2001",16-AUG-00,01-MAY-00,06-JUN-00,05-JUN-00,15-AUG-00,01-JUN-00,31-AUG-00,28-OCT-24
"2001SU","2001SU","Summer Term 2001","2001SU-Summer Term 2001",11-JUN-01,21-AUG-01,"2001","Academic Year 2000-2001","N","P","2002","2002",21-AUG-01,01-MAY-00,11-JUN-01,11-JUN-01,21-AUG-01,01-JUN-01,31-AUG-01,28-OCT-24
"2002SU","2002SU","Summer Term 2002","2002SU-Summer Term 2002",10-JUN-02,20-AUG-02,"2002","Academic Year 2001-2002","N","P","2003","2003",20-AUG-02,01-MAY-02,10-JUN-02,10-JUN-02,20-AUG-02,01-JUN-02,31-AUG-02,28-OCT-24
"2003SU","2003SU","Summer Term 2003","2003SU-Summer Term 2003",09-JUN-03,19-AUG-03,"2003","Academic Year 2002-2003","N","P","2004","2004",19-AUG-03,01-MAY-03,10-JUN-03,09-JUN-03,19-AUG-03,01-JUN-03,31-AUG-03,28-OCT-24
"2004SU","2004SU","Summer Term 2004","2004SU-Summer Term 2004",07-JUN-04,17-AUG-04,"2004","Academic Year 2003-2004","N","P","2005","2005",17-AUG-04,03-MAY-04,07-JUN-04,07-JUN-04,17-AUG-04,01-JUN-04,31-AUG-04,28-OCT-24
"2005SU","2005SU","Summer Term 2005","2005SU-Summer Term 2005",06-JUN-05,16-AUG-05,"2005","Academic Year 2004-2005","N","P","2006","2006",16-AUG-05,02-MAY-05,06-JUN-05,06-JUN-05,16-AUG-05,01-JUN-05,31-AUG-05,28-OCT-24
"1997SP","1997SP","Spring Term 1996-1997","1997SP-Spring Term 1996-1997",03-FEB-97,23-MAY-97,"1997","Academic Year 1996-1997","N","P","1997","1997",23-MAY-97,01-MAY-97,03-FEB-97,04-FEB-97,15-MAY-97,16-JAN-97,31-MAY-97,28-OCT-24
"1998SP","1998SP","Spring Term 1997-1998","1998SP-Spring Term 1997-1998",02-FEB-98,22-MAY-98,"1998","Academic Year 1997-1998","N","P","1998","1998",22-MAY-98,21-NOV-97,02-FEB-98,03-FEB-98,14-MAY-98,16-JAN-98,31-MAY-98,28-OCT-24
"1999SP","1999SP","Spring Term 1998-1999","1999SP-Spring Term 1998-1999",02-FEB-99,21-MAY-99,"1999","Academic Year 1998-1999","N","P","1999","1999",21-MAY-99,30-NOV-98,01-FEB-99,02-FEB-99,13-MAY-99,16-JAN-99,31-MAY-99,28-OCT-24
