"MAJOR_USE_KEY","MAJOR_USE","DESCRIPTION","ASSIGNABLE","WAREHOUSE_LOAD_DATE"
"101","BLDG SRV","BLDG SERVICE AREA","0",28-OCT-24
"102","CIRCULAT","CIRCULATION AREA","0",28-OCT-24
"103","CLASSRMS","CLASSROOMS","1",28-OCT-24
"104","GENERAL","GENERAL USE","1",28-OCT-24
"105","HEALTH","HEALTH CARE","1",28-OCT-24
"106","LABS","LABORATORIES","1",28-OCT-24
"107","MECHANIC","MECHANICAL AREA","0",28-OCT-24
"108","OFFICES","OFFICES","1",28-OCT-24
"109","RESIDENT","RESIDENTIAL","1",28-OCT-24
"110","SPECIAL","SPECIAL USE","1",28-OCT-24
"111","STUDY","STUDY","1",28-OCT-24
"112","SUPPORT","SUPPORT","1",28-OCT-24
"113","UNCLASS","UNCLASSIFIED","1",28-OCT-24
"114","ZUSE","ZUSE ICR ONLY","1",28-OCT-24
