"FCLT_BUILDING_ADDRESS_KEY","FCLT_BUILDING_KEY","FISCAL_PERIOD","FCLT_BUILDING_ADDRESS_HIST_KEY","BUILDING_NUMBER","ADDRESS_PURPOSE","ADDRESS_CITY_ID","IS_E911_ADDRESS","STREET_NUMBER","STREET_NUMBER_SUFFIX","PRE_DIRECTIONAL","STREET_NAME","STREET_SUFFIX","POST_DIRECTIONAL","CITY","STATE","POSTAL_CODE","WAREHOUSE_LOAD_DATE"
"26-STREET","26","201505","26-STREET-201505","26","STREET","711","","60","","","VASSAR","ST","","CAMBRIDGE","MA","02139",01-DEC-14
"31-E911_1","31","201505","31-E911_1-201505","31","E911_1","31913","","70","R","","VASSAR","ST","","CAMBRIDGE","MA","02139",01-DEC-14
"31-MAIL","31","201505","31-MAIL-201505","31","MAIL","708","","77","","","MASSACHUSETTS","AVE","","CAMBRIDGE","MA","02139",01-DEC-14
"31-PARCL1","31","201505","31-PARCL1-201505","31","PARCL1","","","MEM106","","","","","","CAMBRIDGE","MA","02142",01-DEC-14
"31-STREET","31","201505","31-STREET-201505","31","STREET","","","70","","","VASSAR","ST","(Rear)","CAMBRIDGE","MA","02139",01-DEC-14
"32-E911_1","32","201505","32-E911_1-201505","32","E911_1","26366","","32","","","VASSAR","ST","","CAMBRIDGE","MA","02139",01-DEC-14
"32-MAIL","32","201505","32-MAIL-201505","32","MAIL","708","","77","","","MASSACHUSETTS","AVE","","CAMBRIDGE","MA","02139",01-DEC-14
"32-STREET","32","201505","32-STREET-201505","32","STREET","26366","","32","","","VASSAR","ST","","CAMBRIDGE","MA","02139",01-DEC-14
"32P-E911_1","32P","201505","32P-E911_1-201505","32P","E911_1","26366","","32","","","VASSAR","ST","","CAMBRIDGE","MA","02139",01-DEC-14
"32P-MAIL","32P","201505","32P-MAIL-201505","32P","MAIL","708","","77","","","MASSACHUSETTS","AVE","","CAMBRIDGE","MA","02139",01-DEC-14
"32P-STREET","32P","201505","32P-STREET-201505","32P","STREET","26366","","32","","","VASSAR","ST","","CAMBRIDGE","MA","02139",01-DEC-14
"33-E911_1","33","201505","33-E911_1-201505","33","E911_1","703","","125","","","MASSACHUSETTS","AVE","","CAMBRIDGE","MA","02139",01-DEC-14
"33-MAIL","33","201505","33-MAIL-201505","33","MAIL","708","","77","","","MASSACHUSETTS","AVE","","CAMBRIDGE","MA","02139",01-DEC-14
"33-PARCL1","33","201505","33-PARCL1-201505","33","PARCL1","","","MEM106","","","","","","CAMBRIDGE","MA","02142",01-DEC-14
"33-STREET","33","201505","33-STREET-201505","33","STREET","703","","125","","","MASSACHUSETTS","AVE","","CAMBRIDGE","MA","02139",01-DEC-14
"34-E911_1","34","201505","34-E911_1-201505","34","E911_1","26367","","50","","","VASSAR","ST","","CAMBRIDGE","MA","02139",01-DEC-14
"34-MAIL","34","201505","34-MAIL-201505","34","MAIL","708","","77","","","MASSACHUSETTS","AVE","","CAMBRIDGE","MA","02139",01-DEC-14
"34-PARCL1","34","201505","34-PARCL1-201505","34","PARCL1","","","MEM106","","","","","","CAMBRIDGE","MA","02142",01-DEC-14
"34-STREET","34","201505","34-STREET-201505","34","STREET","26367","","50","","","VASSAR","ST","","CAMBRIDGE","MA","02139",01-DEC-14
"35-E911_1","35","201505","35-E911_1-201505","35","E911_1","26994","","127","","","MASSACHUSETTS","AVE","","CAMBRIDGE","MA","02139",01-DEC-14
"35-MAIL","35","201505","35-MAIL-201505","35","MAIL","708","","77","","","MASSACHUSETTS","AVE","","CAMBRIDGE","MA","02139",01-DEC-14
"35-PARCL1","35","201505","35-PARCL1-201505","35","PARCL1","","","MEM106","","","","","","CAMBRIDGE","MA","02142",01-DEC-14
"35-STREET","35","201505","35-STREET-201505","35","STREET","26994","","127","","","MASSACHUSETTS","AVE","","CAMBRIDGE","MA","02139",01-DEC-14
"36-E911_1","36","201505","36-E911_1-201505","36","E911_1","26367","","50","","","VASSAR","ST","","CAMBRIDGE","MA","02139",01-DEC-14
"36-MAIL","36","201505","36-MAIL-201505","36","MAIL","708","","77","","","MASSACHUSETTS","AVE","","CAMBRIDGE","MA","02139",01-DEC-14
"36-PARCL1","36","201505","36-PARCL1-201505","36","PARCL1","","","MEM106","","","","","","CAMBRIDGE","MA","02142",01-DEC-14
"36-STREET","36","201505","36-STREET-201505","36","STREET","26367","","50","","","VASSAR","ST","","CAMBRIDGE","MA","02139",01-DEC-14
"37-E911_1","37","201505","37-E911_1-201505","37","E911_1","706","","70","","","VASSAR","ST","","CAMBRIDGE","MA","02139",01-DEC-14
"37-MAIL","37","201505","37-MAIL-201505","37","MAIL","708","","77","","","MASSACHUSETTS","AVE","","CAMBRIDGE","MA","02139",01-DEC-14
"37-PARCL1","37","201505","37-PARCL1-201505","37","PARCL1","","","MEM106","","","","","","CAMBRIDGE","MA","02142",01-DEC-14
"37-STREET","37","201505","37-STREET-201505","37","STREET","706","","70","","","VASSAR","ST","","CAMBRIDGE","MA","02139",01-DEC-14
"38-E911_1","38","201505","38-E911_1-201505","38","E911_1","26367","","50","","","VASSAR","ST","","CAMBRIDGE","MA","02139",01-DEC-14
"38-MAIL","38","201505","38-MAIL-201505","38","MAIL","708","","77","","","MASSACHUSETTS","AVE","","CAMBRIDGE","MA","02139",01-DEC-14
"38-PARCL1","38","201505","38-PARCL1-201505","38","PARCL1","","","MEM106","","","","","","CAMBRIDGE","MA","02142",01-DEC-14
"38-STREET","38","201505","38-STREET-201505","38","STREET","26367","","50","","","VASSAR","ST","","CAMBRIDGE","MA","02139",01-DEC-14
"39-E911_1","39","201505","39-E911_1-201505","39","E911_1","711","","60","","","VASSAR","ST","","CAMBRIDGE","MA","02139",01-DEC-14
"39-MAIL","39","201505","39-MAIL-201505","39","MAIL","708","","77","","","MASSACHUSETTS","AVE","","CAMBRIDGE","MA","02139",01-DEC-14
"39-PARCL1","39","201505","39-PARCL1-201505","39","PARCL1","","","MEM106","","","","","","CAMBRIDGE","MA","02142",01-DEC-14
"39-STREET","39","201505","39-STREET-201505","39","STREET","711","","60","","","VASSAR","ST","","CAMBRIDGE","MA","02139",01-DEC-14
"41-E911_1","41","201505","41-E911_1-201505","41","E911_1","30245","","77","","","VASSAR","ST","","CAMBRIDGE","MA","02139",01-DEC-14
"41-MAIL","41","201505","41-MAIL-201505","41","MAIL","708","","77","","","MASSACHUSETTS","AVE","","CAMBRIDGE","MA","02139",01-DEC-14
"41-PARCL1","41","201505","41-PARCL1-201505","41","PARCL1","","","MEM106","","","","","","CAMBRIDGE","MA","02142",01-DEC-14
"41-STREET","41","201505","41-STREET-201505","41","STREET","30245","","77","","","VASSAR","ST","","CAMBRIDGE","MA","02139",01-DEC-14
"42-E911_1","42","201505","42-E911_1-201505","42","E911_1","684","","59","","","VASSAR","ST","","CAMBRIDGE","MA","02139",01-DEC-14
"42-MAIL","42","201505","42-MAIL-201505","42","MAIL","708","","77","","","MASSACHUSETTS","AVE","","CAMBRIDGE","MA","02139",01-DEC-14
"42-PARCL1","42","201505","42-PARCL1-201505","42","PARCL1","","","MEM106","","","","","","CAMBRIDGE","MA","02142",01-DEC-14
"42-STREET","42","201505","42-STREET-201505","42","STREET","684","","59","","","VASSAR","ST","","CAMBRIDGE","MA","02139",01-DEC-14
"42T-E911_1","42T","201505","42T-E911_1-201505","42T","E911_1","684","","59","","","VASSAR","ST","","CAMBRIDGE","MA","02139",01-DEC-14
"42T-STREET","42T","201505","42T-STREET-201505","42T","STREET","684","","59","","","VASSAR","ST","","CAMBRIDGE","MA","02139",01-DEC-14
"43-E911_1","43","201505","43-E911_1-201505","43","E911_1","29749","","57","","","VASSAR","ST","","CAMBRIDGE","MA","02139",01-DEC-14
"43-MAIL","43","201505","43-MAIL-201505","43","MAIL","708","","77","","","MASSACHUSETTS","AVE","","CAMBRIDGE","MA","02139",01-DEC-14
"43-PARCL1","43","201505","43-PARCL1-201505","43","PARCL1","","","MEM106","","","","","","CAMBRIDGE","MA","02142",01-DEC-14
"43-STREET","43","201505","43-STREET-201505","43","STREET","29749","","57","","","VASSAR","ST","","CAMBRIDGE","MA","02139",01-DEC-14
"44-E911_1","44","201505","44-E911_1-201505","44","E911_1","718","","51","","","VASSAR","ST","","CAMBRIDGE","MA","02139",01-DEC-14
"44-MAIL","44","201505","44-MAIL-201505","44","MAIL","708","","77","","","MASSACHUSETTS","AVE","","CAMBRIDGE","MA","02139",01-DEC-14
"44-PARCL1","44","201505","44-PARCL1-201505","44","PARCL1","","","MEM106","","","","","","CAMBRIDGE","MA","02142",01-DEC-14
"44-STREET","44","201505","44-STREET-201505","44","STREET","718","","51","","","VASSAR","ST","","CAMBRIDGE","MA","02139",01-DEC-14
"46-E911_1","46","201505","46-E911_1-201505","46","E911_1","29292","","43","","","VASSAR","ST","","CAMBRIDGE","MA","02139",01-DEC-14
"46-MAIL","46","201505","46-MAIL-201505","46","MAIL","30245","","77","","","VASSAR","ST","","CAMBRIDGE","MA","02139",01-DEC-14
"46-STREET","46","201505","46-STREET-201505","46","STREET","29292","","43","","","VASSAR","ST","","CAMBRIDGE","MA","02139",01-DEC-14
"48-E911_1","48","201505","48-E911_1-201505","48","E911_1","720","","15","","","VASSAR","ST","","CAMBRIDGE","MA","02139",01-DEC-14
"48-MAIL","48","201505","48-MAIL-201505","48","MAIL","708","","77","","","MASSACHUSETTS","AVE","","CAMBRIDGE","MA","02139",01-DEC-14
"48-PARCL1","48","201505","48-PARCL1-201505","48","PARCL1","","","MEM106","","","","","","CAMBRIDGE","MA","02142",01-DEC-14
"48-STREET","48","201505","48-STREET-201505","48","STREET","720","","15","","","VASSAR","ST","","CAMBRIDGE","MA","02139",01-DEC-14
"50-E911_1","50","201505","50-E911_1-201505","50","E911_1","731","","142","","","MEMORIAL","DR","","CAMBRIDGE","MA","02142",01-DEC-14
"50-MAIL","50","201505","50-MAIL-201505","50","MAIL","708","","77","","","MASSACHUSETTS","AVE","","CAMBRIDGE","MA","02139",01-DEC-14
"50-PARCL1","50","201505","50-PARCL1-201505","50","PARCL1","","","MEM106","","","","","","CAMBRIDGE","MA","02142",01-DEC-14
"50-STREET","50","201505","50-STREET-201505","50","STREET","731","","142","","","MEMORIAL","DR","","CAMBRIDGE","MA","02142",01-DEC-14
"51-E911_1","51","201505","51-E911_1-201505","51","E911_1","730","","134","","","MEMORIAL","DR","","CAMBRIDGE","MA","02142",01-DEC-14
"51-MAIL","51","201505","51-MAIL-201505","51","MAIL","708","","77","","","MASSACHUSETTS","AVE","","CAMBRIDGE","MA","02139",01-DEC-14
"51-PARCL1","51","201505","51-PARCL1-201505","51","PARCL1","","","MEM106","","","","","","CAMBRIDGE","MA","02142",01-DEC-14
"51-STREET","51","201505","51-STREET-201505","51","STREET","730","","134","","","MEMORIAL","DR","","CAMBRIDGE","MA","02142",01-DEC-14
"54-E911_1","54","201505","54-E911_1-201505","54","E911_1","25343","","21","","","AMES","ST","","CAMBRIDGE","MA","02142",01-DEC-14
"54-MAIL","54","201505","54-MAIL-201505","54","MAIL","708","","77","","","MASSACHUSETTS","AVE","","CAMBRIDGE","MA","02139",01-DEC-14
"54-PARCL1","54","201505","54-PARCL1-201505","54","PARCL1","","","MEM106","","","","","","CAMBRIDGE","MA","02142",01-DEC-14
"54-STREET","54","201505","54-STREET-201505","54","STREET","25343","","21","","","AMES","ST","","CAMBRIDGE","MA","02142",01-DEC-14
"56-E911_1","56","201505","56-E911_1-201505","56","E911_1","25343","","21","","","AMES","ST","","CAMBRIDGE","MA","02142",01-DEC-14
"56-MAIL","56","201505","56-MAIL-201505","56","MAIL","708","","77","","","MASSACHUSETTS","AVE","","CAMBRIDGE","MA","02139",01-DEC-14
"56-PARCL1","56","201505","56-PARCL1-201505","56","PARCL1","","","MEM106","","","","","","CAMBRIDGE","MA","02142",01-DEC-14
"56-STREET","56","201505","56-STREET-201505","56","STREET","25343","","21","","","AMES","ST","","CAMBRIDGE","MA","02142",01-DEC-14
"57-E911_1","57","201505","57-E911_1-201505","57","E911_1","31036","","6","","","VASSAR","ST","","CAMBRIDGE","MA","02139",01-DEC-14
"57-MAIL","57","201505","57-MAIL-201505","57","MAIL","708","","77","","","MASSACHUSETTS","AVE","","CAMBRIDGE","MA","02139",01-DEC-14
"57-PARCL1","57","201505","57-PARCL1-201505","57","PARCL1","","","MEM106","","","","","","CAMBRIDGE","MA","02142",01-DEC-14
"57-STREET","57","201505","57-STREET-201505","57","STREET","31036","","6","","","VASSAR","ST","","CAMBRIDGE","MA","02139",01-DEC-14
"62-E911_1","62","201505","62-E911_1-201505","62","E911_1","31041","","3","R","","AMES","ST","","CAMBRIDGE","MA","02142",01-DEC-14
"62-MAIL","62","201505","62-MAIL-201505","62","MAIL","","","3","","","AMES","ST","(Rear)","CAMBRIDGE","MA","02142",01-DEC-14
"62-PARCL1","62","201505","62-PARCL1-201505","62","PARCL1","","","MEM106","","","","","","CAMBRIDGE","MA","02142",01-DEC-14
"62-STREET","62","201505","62-STREET-201505","62","STREET","","","3","","","AMES","ST","(Rear)","CAMBRIDGE","MA","02142",01-DEC-14
"62H-E911_1","62H","201505","62H-E911_1-201505","62H","E911_1","31041","","3","R","","AMES","ST","","CAMBRIDGE","MA","02142",01-DEC-14
"62H-STREET","62H","201505","62H-STREET-201505","62H","STREET","","","3","","","AMES","ST","(Rear)","CAMBRIDGE","MA","02142",01-DEC-14
"62M-E911_1","62M","201505","62M-E911_1-201505","62M","E911_1","31041","","3","R","","AMES","ST","","CAMBRIDGE","MA","02142",01-DEC-14
"62M-STREET","62M","201505","62M-STREET-201505","62M","STREET","","","3","","","AMES","ST","(Rear)","CAMBRIDGE","MA","02142",01-DEC-14
"62W-E911_1","62W","201505","62W-E911_1-201505","62W","E911_1","31041","","3","R","","AMES","ST","","CAMBRIDGE","MA","02142",01-DEC-14
"62W-STREET","62W","201505","62W-STREET-201505","62W","STREET","","","3","","","AMES","ST","(Rear)","CAMBRIDGE","MA","02142",01-DEC-14
"64-E911_1","64","201505","64-E911_1-201505","64","E911_1","24630","","3","","","AMES","ST","","CAMBRIDGE","MA","02142",01-DEC-14
"64-MAIL","64","201505","64-MAIL-201505","64","MAIL","24630","","3","","","AMES","ST","","CAMBRIDGE","MA","02142",01-DEC-14
"64-PARCL1","64","201505","64-PARCL1-201505","64","PARCL1","","","MEM106","","","","","","CAMBRIDGE","MA","02142",01-DEC-14
"64-STREET","64","201505","64-STREET-201505","64","STREET","24630","","3","","","AMES","ST","","CAMBRIDGE","MA","02142",01-DEC-14
