"FCLT_ORGANIZATION_HIST_KEY","FISCAL_PERIOD","FCLT_ORGANIZATION_KEY","ORGANIZATION_ID","ORGANIZATION","ORGANIZATION_NAME","FCLT_ORG_PARENT_KEY","ORG_PARENT","FCLT_MAJOR_ORG_KEY","MAJOR_ORG","ORGANIZATION_LEVEL","ORGANIZATION_NUMBER","ORGANIZATION_SORT","ASSIGNABLE","COURSE","DESCRIPTION","WAREHOUSE_LOAD_DATE","DLC_KEY","DLC_NAME","HR_DEPARTMENT_CODE_OLD","HR_ORG_UNIT_ID","HR_DEPARTMENT_NAME"
"101-201505","201505","101","101","A/VSVC","AUDIO-VISUAL SVC","160","ENTSVC","129","CHNCLR","6","874100","0101030309","1","","",01-DEC-14,"D_AVS","Audiovisual Services","874100","10000917","Audio Visual Services"
"102-201505","201505","102","102","ACT","ART CULT & TECH","247","SAP","230","PROVST","5","038000","0101060034","1","","",01-DEC-14,"D_ACT","Program in Art Culture & Technology","038000","10000276","Program in Art, Culture and Technology"
"103-201505","201505","103","103","ADMISS","ADMISSIONS","152","DUE","129","CHNCLR","5","446100","0101030402","1","","",01-DEC-14,"D_ADM","Admissions","446100","10000755","Admissions Office"
"104-201505","201505","104","104","AERO","AERO & ASTRO","243","S ENG","230","PROVST","5","061000","0101060054","1","16","",01-DEC-14,"D_AEROASTRO","Aeronautics and Astronautics","061000","10000299","Aeronautics and Astronautics"
"105-201505","201505","105","105","ALL","ALL","","","105","ALL","1","","0100000000","0","","",01-DEC-14,"","","","",""
"106-201505","201505","106","106","ALUMNI","ALUMNI/AE ASSOC","163","EXECVP","163","EXECVP","4","871000","0101030903","1","","",01-DEC-14,"D_ALUM","Alumni Association","871000","10000910","Alumni Association"
"107-201505","201505","107","107","ANTHRO","ANTHROPOLOGY","244","S H&SS","230","PROVST","5","093200","0101060136","1","21A","",01-DEC-14,"D_ANTHRO","Anthropology","093200","10000361","Anthropology Program"
"108-201505","201505","108","108","APRART","ASSOC PROV ARTS","230","PROVST","230","PROVST","4","401813","0101060006","1","","",01-DEC-14,"D_ARTS","Office of The Arts","401813","10000606","Office of the Arts"
"109-201505","201505","109","109","APROV","ASSOC PROVOST","230","PROVST","230","PROVST","4","401801","0101060003","1","","",01-DEC-14,"D_MASDAR","Masdar Institute","401801","10004208","Masdar"
"110-201505","201505","110","110","ARCH","ARCHITECTURE","247","SAP","230","PROVST","5","031000","0101060036","1","4","",01-DEC-14,"D_ARCH","Architecture","031000","10000270","Architecture"
"111-201505","201505","111","111","ASP","ADVD STUDY PROGM","243","S ENG","230","PROVST","5","061400","0101060052","1","","",01-DEC-14,"D_ASP","Advanced Study Program","061400","10000928","Advanced Study Program"
"112-201505","201505","112","112","ATHENA","ATHENA","271","ZORG","271","ZORG","4","","0101120003","1","","",01-DEC-14,"D_IS&T","Information Services and Technology","","",""
"113-201505","201505","113","113","ATHLTC","ATHLETICS","151","DSL","129","CHNCLR","5","501000","0101030301","1","","",01-DEC-14,"D_ATHLETICS","Dept of Athletics, Phys Ed, & Recreation","501000","10000804","DAPER Intercollegiate Sports"
"114-201505","201505","114","114","AUDIT","AUDIT DIVISION","163","EXECVP","163","EXECVP","4","423000","0101030606","1","","",01-DEC-14,"D_AUDIT","Audit Division","423000","10000698","Audit Division"
"115-201505","201505","115","115","BCS","BRAIN & COG SCI","246","S SCI","230","PROVST","5","154500","0101060168","1","9","",01-DEC-14,"D_B&CS","Brain & Cognitive Sciences","154500","10000535","Brain & Cognitive Sciences"
"116-201505","201505","116","116","BEDEP","BIOENG DEPT","243","S ENG","230","PROVST","5","069200","0101060060","1","BE","",01-DEC-14,"D_BIOENG","Biological Engineering","069200","10000347","Department of Biological Engineering"
"117-201505","201505","117","117","BIOLGY","BIOLOGY","246","S SCI","230","PROVST","5","151000","0101060165","1","7","",01-DEC-14,"D_BIOLOGY","Biology","151000","10000429","Biology"
"118-201505","201505","118","118","BIOTEC","BIOTEC PRO ENG C","243","S ENG","230","PROVST","5","068800","0101060063","1","","",01-DEC-14,"D_BPEC","Biotechnology Process Engineering Center","068800","10000339","Biotechnology Process Engineering Center"
"119-201505","201505","119","119","CAES","C FOR ADV EDU SV","211","OFPROV","230","PROVST","5","405100","0101060027","1","CAES","",01-DEC-14,"D_CAES","Center for Advanced Educational Services","405100","10000624","Center for Advanced Educational Services"
"120-201505","201505","120","120","CAMMIT","CAMBRIDGE-MIT INST","271","ZORG","271","ZORG","4","400900","0101120004","1","","",01-DEC-14,"D_CMI","Cambridge-MIT Institute","400900","10000594","Cambridge-MIT Institute"
"121-201505","201505","121","121","CARDSV","CARD SERVICES","160","ENTSVC","129","CHNCLR","6","862000","0101030310","1","","",01-DEC-14,"D_MITCARD","MIT Card Office","862000","10000909","MIT Card Office"
"122-201505","201505","122","122","CAREER","CAREER SERVICES","152","DUE","129","CHNCLR","5","446600","0101030404","1","","",01-DEC-14,"D_CSPA","Career Serv & Pre-Prof Advising","446600","10000759","Global Education & Career Developmnt Ctr"
"125-201505","201505","125","125","CHAIRM","CHAIRMAN OF CORP","224","PRES","125","CHAIRM","3","400000","0101010000","1","","",01-DEC-14,"D_CORP_CHAIR","Office of the Corporate Chairman","400000","10000592","Chairman of the Corporation"
