"FCLT_ROOM_KEY","BUILDING_ROOM","FCLT_BUILDING_KEY","FLOOR","FCLT_FLOOR_KEY","ROOM","SPACE_ID","FCLT_MAJOR_USE_KEY","MAJOR_USE_DESC","FCLT_USE_KEY","USE_DESC","FCLT_MINOR_USE_KEY","MINOR_USE_DESC","FCLT_ORGANIZATION_KEY","ORGANIZATION_NAME","FCLT_MINOR_ORGANIZATION_KEY","MINOR_ORGANIZATION","AREA","ROOM_FULL_NAME","DEPT_CODE","ACCESS_LEVEL","LATITUDE_WGS","LONGITUDE_WGS","NORTHING_SPCS","EASTING_SPCS","WAREHOUSE_LOAD_DATE"
"42C-143","42C-143","42C","1","42C-1","143","42C-1-143","107","MECHANIC","156","U/M","","","149","DOF","","",459.41,"","","1",,,,,28-OCT-24
"42C-145","42C-145","42C","1","42C-1","145","42C-1-145","107","MECHANIC","156","U/M","","","149","DOF","","",57.04,"","","1",,,,,28-OCT-24
"42C-147","42C-147","42C","1","42C-1","147","42C-1-147","107","MECHANIC","156","U/M","","","149","DOF","","",789.74,"","","1",,,,,28-OCT-24
"42C-149","42C-149","42C","1","42C-1","149","42C-1-149","107","MECHANIC","156","U/M","","","149","DOF","","",340.43,"","","1",,,,,28-OCT-24
"42C-150","42C-150","42C","1","42C-1","150","42C-1-150","102","CIRCULAT","111","LOBBY","","","149","DOF","","",125.7,"","","1",,,,,28-OCT-24
"46-1000CA","46-1000CA","46","1","46-1","1000CA","46-1-1000CA","102","CIRCULAT","109","CORR","","","149","DOF","","",514.45,"","","3",,,,,28-OCT-24
"46-1000CD","46-1000CD","46","1","46-1","1000CD","46-1-1000CD","102","CIRCULAT","109","CORR","","","149","DOF","","",457.22,"","","3",,,,,28-OCT-24
"46-1000CE","46-1000CE","46","1","46-1","1000CE","46-1-1000CE","102","CIRCULAT","109","CORR","","","149","DOF","","",802.19,"","","3",,,,,28-OCT-24
"46-1000E1","46-1000E1","46","1","46-1","1000E1","46-1-1000E1","102","CIRCULAT","110","ELEV","","","149","DOF","","",76.43,"","","3",,,,,28-OCT-24
"46-1000E1M","46-1000E1M","46","1","46-1","1000E1M","46-1-1000E1M","102","CIRCULAT","110","ELEV","","","149","DOF","","",47.99,"","","3",,,,,28-OCT-24
"46-1000E2","46-1000E2","46","1","46-1","1000E2","46-1-1000E2","102","CIRCULAT","110","ELEV","","","149","DOF","","",76.34,"","","3",,,,,28-OCT-24
"46-1000E3","46-1000E3","46","1","46-1","1000E3","46-1-1000E3","102","CIRCULAT","110","ELEV","","","149","DOF","","",107.33,"","","3",,,,,28-OCT-24
"46-1000E4","46-1000E4","46","1","46-1","1000E4","46-1-1000E4","102","CIRCULAT","110","ELEV","","","149","DOF","","",99.56,"","","3",,,,,28-OCT-24
"46-1000E5","46-1000E5","46","1","46-1","1000E5","46-1-1000E5","102","CIRCULAT","110","ELEV","","","149","DOF","","",76.33,"","","3",,,,,28-OCT-24
"46-1000E7","46-1000E7","46","1","46-1","1000E7","46-1-1000E7","102","CIRCULAT","110","ELEV","","","149","DOF","","",67.29,"","","3",,,,,28-OCT-24
"46-1000LA","46-1000LA","46","1","46-1","1000LA","46-1-1000LA","102","CIRCULAT","111","LOBBY","","","149","DOF","","",1163.77,"","","3",,,,,28-OCT-24
"46-1000LAB","46-1000LAB","46","1","46-1","1000LAB","46-1-1000LAB","102","CIRCULAT","111","LOBBY","","","149","DOF","","",375.51,"","","3",,,,,28-OCT-24
"46-1000LB","46-1000LB","46","1","46-1","1000LB","46-1-1000LB","102","CIRCULAT","111","LOBBY","","","149","DOF","","",1006.29,"","","3",,,,,28-OCT-24
"46-1000LC","46-1000LC","46","1","46-1","1000LC","46-1-1000LC","102","CIRCULAT","111","LOBBY","","","149","DOF","","",1303.84,"","","3",,,,,28-OCT-24
"46-1000SA","46-1000SA","46","1","46-1","1000SA","46-1-1000SA","102","CIRCULAT","112","STAIR","","","149","DOF","","",71.35,"","","3",,,,,28-OCT-24
"46-1000SB","46-1000SB","46","1","46-1","1000SB","46-1-1000SB","102","CIRCULAT","112","STAIR","","","149","DOF","","",47.96,"","","3",,,,,28-OCT-24
"46-1000SC","46-1000SC","46","1","46-1","1000SC","46-1-1000SC","102","CIRCULAT","112","STAIR","","","149","DOF","","",240.95,"","","3",,,,,28-OCT-24
"46-1000SD","46-1000SD","46","1","46-1","1000SD","46-1-1000SD","102","CIRCULAT","112","STAIR","","","149","DOF","","",141.59,"","","3",,,,,28-OCT-24
"46-1000SE","46-1000SE","46","1","46-1","1000SE","46-1-1000SE","102","CIRCULAT","112","STAIR","","","149","DOF","","",289.84,"","","3",,,,,28-OCT-24
"46-1000SF","46-1000SF","46","1","46-1","1000SF","46-1-1000SF","102","CIRCULAT","112","STAIR","","","149","DOF","","",147.59,"","","3",,,,,28-OCT-24
"46-1000SG","46-1000SG","46","1","46-1","1000SG","46-1-1000SG","102","CIRCULAT","112","STAIR","","","149","DOF","","",360.44,"","","3",,,,,28-OCT-24
"46-1000SGM","46-1000SGM","46","1","46-1","1000SGM","46-1-1000SGM","102","CIRCULAT","112","STAIR","","","149","DOF","","",219.22,"","","3",,,,,28-OCT-24
"46-1000SH","46-1000SH","46","1","46-1","1000SH","46-1-1000SH","102","CIRCULAT","112","STAIR","","","149","DOF","","",275.12,"","","3",,,,,28-OCT-24
"46-1000SJ","46-1000SJ","46","1","46-1","1000SJ","46-1-1000SJ","102","CIRCULAT","112","STAIR","","","149","DOF","","",56.83,"","","3",,,,,28-OCT-24
"46-1000SK","46-1000SK","46","1","46-1","1000SK","46-1-1000SK","102","CIRCULAT","112","STAIR","","","149","DOF","","",153.53,"","","3",,,,,28-OCT-24
"46-1000SL","46-1000SL","46","1","46-1","1000SL","46-1-1000SL","102","CIRCULAT","112","STAIR","","","149","DOF","","",152.95,"","","3",,,,,28-OCT-24
"46-1001","46-1001","46","1","46-1","1001","46-1-1001","101","BLDG SRV","106","M LAV","","","149","DOF","","",123.57,"","","3",,,,,28-OCT-24
"46-1002","46-1002","46","1","46-1","1002","46-1-1002","101","BLDG SRV","102","F LAV","","","149","DOF","","",125.02,"","","3",,,,,28-OCT-24
