"FCLT_ROOM_HIST_KEY","FISCAL_PERIOD","FCLT_ROOM_KEY","BUILDING_ROOM","FCLT_BUILDING_KEY","FLOOR","FCLT_FLOOR_KEY","ROOM","SPACE_ID","FCLT_MAJOR_USE_KEY","MAJOR_USE_DESC","FCLT_USE_KEY","USE_DESC","FCLT_MINOR_USE_KEY","MINOR_USE_DESC","FCLT_ORGANIZATION_KEY","ORGANIZATION_NAME","FCLT_MINOR_ORGANIZATION_KEY","MINOR_ORGANIZATION","AREA","ROOM_FULL_NAME","DEPT_CODE","ACCESS_LEVEL","LATITUDE_WGS","LONGITUDE_WGS","NORTHING_SPCS","EASTING_SPCS","WAREHOUSE_LOAD_DATE"
"1-104-201505","201505","1-104","1-104","1","1","1-1","104","1-1-104","108","OFFICES","162","SECY/R","","","199","MECH","","",151.86,"","","2",,,,,01-DEC-14
"1-104A-201505","201505","1-104A","1-104A","1","1","1-1","104A","1-1-104A","108","OFFICES","158","OFF","","","199","MECH","","",170.04,"","","2",,,,,01-DEC-14
"1-104B-201505","201505","1-104B","1-104B","1","1","1-1","104B","1-1-104B","108","OFFICES","158","OFF","","","199","MECH","","",326.18,"","","2",,,,,01-DEC-14
"1-104C-201505","201505","1-104C","1-104C","1","1","1-1","104C","1-1-104C","108","OFFICES","158","OFF","","","199","MECH","","",328.3,"","","2",,,,,01-DEC-14
"1-107-201505","201505","1-107","1-107","1","1","1-1","107","1-1-107","108","OFFICES","159","OFF SV","","","199","MECH","","",309.69,"","","2",,,,,01-DEC-14
"1-107A-201505","201505","1-107A","1-107A","1","1","1-1","107A","1-1-107A","108","OFFICES","159","OFF SV","","","199","MECH","","",8.85,"","","2",,,,,01-DEC-14
"1-107AA-201505","201505","1-107AA","1-107AA","1","1","1-1","107AA","1-1-107AA","108","OFFICES","158","OFF","","","199","MECH","","",58.6,"","","2",,,,,01-DEC-14
"1-107B-201505","201505","1-107B","1-107B","1","1","1-1","107B","1-1-107B","108","OFFICES","158","OFF","","","199","MECH","","",63.83,"","","2",,,,,01-DEC-14
"1-107C-201505","201505","1-107C","1-107C","1","1","1-1","107C","1-1-107C","108","OFFICES","158","OFF","","","199","MECH","","",63.38,"","","2",,,,,01-DEC-14
"1-107D-201505","201505","1-107D","1-107D","1","1","1-1","107D","1-1-107D","108","OFFICES","158","OFF","","","199","MECH","","",63.83,"","","2",,,,,01-DEC-14
"1-107F-201505","201505","1-107F","1-107F","1","1","1-1","107F","1-1-107F","108","OFFICES","162","SECY/R","","","199","MECH","","",63.83,"","","2",,,,,01-DEC-14
"1-108E-201505","201505","1-108E","1-108E","1","1","1-1","108E","1-1-108E","107","MECHANIC","153","ELEC","","","149","DOF","","",16.36,"","","0",,,,,01-DEC-14
"1-110-201505","201505","1-110","1-110","1","1","1-1","110","1-1-110","108","OFFICES","162","SECY/R","","","199","MECH","","",142.5,"","","2",,,,,01-DEC-14
"1-110A-201505","201505","1-110A","1-110A","1","1","1-1","110A","1-1-110A","108","OFFICES","158","OFF","","","199","MECH","","",156.11,"","","2",,,,,01-DEC-14
"1-110AA-201505","201505","1-110AA","1-110AA","1","1","1-1","110AA","1-1-110AA","108","OFFICES","158","OFF","","","199","MECH","","",174.44,"","","2",,,,,01-DEC-14
"1-112-201505","201505","1-112","1-112","1","1","1-1","112","1-1-112","108","OFFICES","159","OFF SV","","","199","MECH","","",143.53,"","","2",,,,,01-DEC-14
"1-112A-201505","201505","1-112A","1-112A","1","1","1-1","112A","1-1-112A","108","OFFICES","158","OFF","","","199","MECH","","",170.08,"","","2",,,,,01-DEC-14
"1-112B-201505","201505","1-112B","1-112B","1","1","1-1","112B","1-1-112B","108","OFFICES","162","SECY/R","","","199","MECH","","",116.13,"","","2",,,,,01-DEC-14
"1-112C-201505","201505","1-112C","1-112C","1","1","1-1","112C","1-1-112C","108","OFFICES","162","SECY/R","","","199","MECH","","",69.36,"","","2",,,,,01-DEC-14
"1-114-201505","201505","1-114","1-114","1","1","1-1","114","1-1-114","108","OFFICES","159","OFF SV","","","199","MECH","","",899.47,"MILLER MEMORIAL ROOM","","2",,,,,01-DEC-14
"1-114A-201505","201505","1-114A","1-114A","1","1","1-1","114A","1-1-114A","108","OFFICES","159","OFF SV","","","199","MECH","","",7.28,"","","2",,,,,01-DEC-14
"1-115-201505","201505","1-115","1-115","1","1","1-1","115","1-1-115","103","CLASSRMS","114","CLASS","","","179","IS&T","","",923.99,"","","2",,,,,01-DEC-14
"1-115E-201505","201505","1-115E","1-115E","1","1","1-1","115E","1-1-115E","107","MECHANIC","153","ELEC","","","149","DOF","","",77.78,"","","0",,,,,01-DEC-14
"1-123-201505","201505","1-123","1-123","1","1","1-1","123","1-1-123","108","OFFICES","162","SECY/R","","","243","S ENG","","",218.08,"","","2",,,,,01-DEC-14
"1-123A-201505","201505","1-123A","1-123A","1","1","1-1","123A","1-1-123A","108","OFFICES","158","OFF","","","243","S ENG","","",148.44,"","","2",,,,,01-DEC-14
"1-123B-201505","201505","1-123B","1-123B","1","1","1-1","123B","1-1-123B","108","OFFICES","158","OFF","","","243","S ENG","","",211.39,"","","2",,,,,01-DEC-14
"1-123C-201505","201505","1-123C","1-123C","1","1","1-1","123C","1-1-123C","108","OFFICES","159","OFF SV","","","243","S ENG","","",17.42,"","","2",,,,,01-DEC-14
"1-125-201505","201505","1-125","1-125","1","1","1-1","125","1-1-125","108","OFFICES","158","OFF","","","243","S ENG","","",98.33,"","","2",,,,,01-DEC-14
"1-131-201505","201505","1-131","1-131","1","1","1-1","131","1-1-131","103","CLASSRMS","114","CLASS","","","132","CIVIL","","",780.89,"","","2",,,,,01-DEC-14
"1-132-201505","201505","1-132","1-132","1","1","1-1","132","1-1-132","103","CLASSRMS","114","CLASS","","","233","REGIST","","",468.19,"","","2",,,,,01-DEC-14
"1-132E-201505","201505","1-132E","1-132E","1","1","1-1","132E","1-1-132E","107","MECHANIC","153","ELEC","","","149","DOF","","",4.78,"","","0",,,,,01-DEC-14
"1-134-201505","201505","1-134","1-134","1","1","1-1","134","1-1-134","103","CLASSRMS","114","CLASS","","","233","REGIST","","",652.22,"","","2",,,,,01-DEC-14
"1-134E-201505","201505","1-134E","1-134E","1","1","1-1","134E","1-1-134E","107","MECHANIC","153","ELEC","","","149","DOF","","",7.11,"","","0",,,,,01-DEC-14
"1-135-201505","201505","1-135","1-135","1","1","1-1","135","1-1-135","103","CLASSRMS","114","CLASS","","","233","REGIST","","",643.43,"","","2",,,,,01-DEC-14
"1-136-201505","201505","1-136","1-136","1","1","1-1","136","1-1-136","103","CLASSRMS","114","CLASS","","","233","REGIST","","",309.31,"","","2",,,,,01-DEC-14
"1-137E-201505","201505","1-137E","1-137E","1","1","1-1","137E","1-1-137E","107","MECHANIC","153","ELEC","","","149","DOF","","",10,"","","0",,,,,01-DEC-14
"1-138-201505","201505","1-138","1-138","1","1","1-1","138","1-1-138","108","OFFICES","158","OFF","","","132","CIVIL","","",136.36,"","","2",,,,,01-DEC-14
"1-138A-201505","201505","1-138A","1-138A","1","1","1-1","138A","1-1-138A","108","OFFICES","158","OFF","","","132","CIVIL","","",138.33,"","","2",,,,,01-DEC-14
"1-139-201505","201505","1-139","1-139","1","1","1-1","139","1-1-139","108","OFFICES","157","CONF","","","132","CIVIL","","",400.13,"","","2",,,,,01-DEC-14
"1-139A-201505","201505","1-139A","1-139A","1","1","1-1","139A","1-1-139A","108","OFFICES","159","OFF SV","","","132","CIVIL","","",131.28,"","","2",,,,,01-DEC-14
"1-139B-201505","201505","1-139B","1-139B","1","1","1-1","139B","1-1-139B","108","OFFICES","159","OFF SV","","","132","CIVIL","","",87.83,"","","2",,,,,01-DEC-14
"1-142-201505","201505","1-142","1-142","1","1","1-1","142","1-1-142","106","LABS","148","RS LAB","","","209","OEI&T","","",900.06,"","","2",,,,,01-DEC-14
"1-142T-201505","201505","1-142T","1-142T","1","1","1-1","142T","1-1-142T","107","MECHANIC","155","TELE","","","149","DOF","","",45.42,"","","0",,,,,01-DEC-14
"1-143-201505","201505","1-143","1-143","1","1","1-1","143","1-1-143","103","CLASSRMS","114","CLASS","","","132","CIVIL","","",1080.32,"","","2",,,,,01-DEC-14
"1-143A-201505","201505","1-143A","1-143A","1","1","1-1","143A","1-1-143A","103","CLASSRMS","113","CLA SV","","","132","CIVIL","","",46.11,"","","2",,,,,01-DEC-14
"1-143B-201505","201505","1-143B","1-143B","1","1","1-1","143B","1-1-143B","108","OFFICES","158","OFF","","","132","CIVIL","","",175.88,"","","2",,,,,01-DEC-14
"1-150-201505","201505","1-150","1-150","1","1","1-1","150","1-1-150","103","CLASSRMS","114","CLASS","","","233","REGIST","","",827.44,"","","2",,,,,01-DEC-14
"1-150A-201505","201505","1-150A","1-150A","1","1","1-1","150A","1-1-150A","103","CLASSRMS","113","CLA SV","","","233","REGIST","","",22.67,"","","2",,,,,01-DEC-14
"1-150AA-201505","201505","1-150AA","1-150AA","1","1","1-1","150AA","1-1-150AA","107","MECHANIC","156","U/M","","","149","DOF","","",7.03,"","","0",,,,,01-DEC-14
"1-150E-201505","201505","1-150E","1-150E","1","1","1-1","150E","1-1-150E","107","MECHANIC","153","ELEC","","","149","DOF","","",4,"","","0",,,,,01-DEC-14
"1-151-201505","201505","1-151","1-151","1","1","1-1","151","1-1-151","108","OFFICES","158","OFF","","","132","CIVIL","","",475.4,"","","2",,,,,01-DEC-14
"1-151A-201505","201505","1-151A","1-151A","1","1","1-1","151A","1-1-151A","108","OFFICES","159","OFF SV","","","132","CIVIL","","",16.65,"","","2",,,,,01-DEC-14
"1-153-201505","201505","1-153","1-153","1","1","1-1","153","1-1-153","108","OFFICES","159","OFF SV","","","132","CIVIL","","",137.13,"","","2",,,,,01-DEC-14
"1-153B-201505","201505","1-153B","1-153B","1","1","1-1","153B","1-1-153B","108","OFFICES","158","OFF","","","132","CIVIL","","",177.76,"","","2",,,,,01-DEC-14
"1-163-201505","201505","1-163","1-163","1","1","1-1","163","1-1-163","108","OFFICES","159","OFF SV","","","132","CIVIL","","",109.87,"","","2",,,,,01-DEC-14
"1-163A-201505","201505","1-163A","1-163A","1","1","1-1","163A","1-1-163A","108","OFFICES","158","OFF","","","132","CIVIL","","",121.88,"","","2",,,,,01-DEC-14
"1-163B-201505","201505","1-163B","1-163B","1","1","1-1","163B","1-1-163B","108","OFFICES","159","OFF SV","","","132","CIVIL","","",35.31,"","","2",,,,,01-DEC-14
"1-163C-201505","201505","1-163C","1-163C","1","1","1-1","163C","1-1-163C","108","OFFICES","159","OFF SV","","","132","CIVIL","","",374.84,"","","1",,,,,01-DEC-14
"1-165-201505","201505","1-165","1-165","1","1","1-1","165","1-1-165","108","OFFICES","158","OFF","","","132","CIVIL","","",290.38,"","","2",,,,,01-DEC-14
"1-165A-201505","201505","1-165A","1-165A","1","1","1-1","165A","1-1-165A","108","OFFICES","159","OFF SV","","","132","CIVIL","","",30.18,"","","2",,,,,01-DEC-14
"1-166E-201505","201505","1-166E","1-166E","1","1","1-1","166E","1-1-166E","107","MECHANIC","153","ELEC","","","149","DOF","","",11.89,"","","0",,,,,01-DEC-14
