"LIBRARY_COURSE_INSTRUCTOR_KEY","COURSE_NAME","INSTRUCTOR_NAME","DEPARTMENT","DATE_FROM","DATE_TO","UNIT_CODE","UNIT","WAREHOUSE_LOAD_DATE"
"21W.794-SISKA2010JA:21W.794","Graduate Technical Writing Workshop","Siska, P","21W - Writing & Humanistic Studies",04-JAN-10,31-JAN-10,"Hayden","Hayden",01-FEB-10
"6.087-WELLER2010JA:6.087","Practical Programming in C","Weller, Daniel","06 - Electrical Eng & Computer Sci",04-JAN-10,29-JAN-10,"ENG","Barker",01-FEB-10
"ESD.34-CRAWLEY2010JA:ESD.34","System Architecture","Crawley, Edward","Engineering Systems Division",04-JAN-10,29-JAN-10,"ENG","Barker",01-FEB-10
"17.422-CHOUCRI2011FA:17.422","Field Seminar in International Political Economy","Choucri, Nazli","17 - Political Science",07-SEP-10,02-JAN-11,"DEW","Dewey",18-NOV-10
"17.468-POSEN2011FA:17.468","Foundations: Security Studies","Posen, Barry","17 - Political Science",07-SEP-10,02-JAN-11,"DEW","Dewey",18-NOV-10
"17.541-SAMUELS2011FA:17.541","Introduction to Japan","Samuels, Richard","17 - Political Science",07-SEP-10,02-JAN-11,"DEW","Dewey",18-NOV-10
"17.543-SAMUELS2011FA:17.543","Japanese Politics","Samuels, Richard","17 - Political Science",07-SEP-10,02-JAN-11,"DEW","Dewey",18-NOV-10
"17.556-STEINFELD2011FA:17.556","Political Economy of Industrialization","Steinfeld, Edward","17 - Political Science",07-SEP-10,02-JAN-11,"DEW","Dewey",18-NOV-10
"17.588-ROSS2011FA:17.588","Field Seminar in Comparative Politics","Schneider, Ben Ross","17 - Political Science",07-SEP-10,02-JAN-11,"DEW","Dewey",18-NOV-10
"17.800-HAINMUELLER2011FA:17.800","Qualitative Research Methods I","Hainmueller","17 - Political Science",07-SEP-10,02-JAN-11,"DEW","Dewey",18-NOV-10
"17.900-NOBLES2011FA:17.900","Foundations of Political Science","Nobles, M","17 - Political Science",07-SEP-10,02-JAN-11,"DEW","Dewey",18-NOV-10
"18.01-SEIDEL2011FA:18.01","Calculus","Seidel, P.A.","18 - Mathematics",07-SEP-10,02-JAN-11,"Hayden","Hayden",18-NOV-10
"18.014-BREINER2011FA:18.014","Calculus with Theory","Breiner, C.","18 - Mathematics",07-SEP-10,02-JAN-11,"Hayden","Hayden",18-NOV-10
"18.01A-MATTUCK2011FA:18.01A","Calculus","Mattuck, A","18 - Mathematics",07-SEP-10,02-JAN-11,"Hayden","Hayden",18-NOV-10
"18.02-POONEN2011FA:18.02","Calculus","Poonen, B","18 - Mathematics",07-SEP-10,02-JAN-11,"Hayden","Hayden",18-NOV-10
"18.022-MCKERNAN2011FA:18.022","Calculus","McKernan, J","18 - Mathematics",07-SEP-10,02-JAN-11,"Hayden","Hayden",18-NOV-10
"18.02A-BUSH2011FA:18.02A","Calculus","Bush, John","18 - Mathematics",07-SEP-10,02-JAN-11,"Hayden","Hayden",18-NOV-10
"18.03-KUMAR2011FA:18.03","Differential Equations","Kumar, A.","18 - Mathematics",07-SEP-10,02-JAN-11,"Hayden","Hayden",18-NOV-10
"18.06-EDELMAN2011FA:18.06","Linear Algebra","Edelman, A.","18 - Mathematics",07-SEP-10,02-JAN-11,"Hayden","Hayden",18-NOV-10
"18.085-STRANG2011FA:18.085","Computational Science and Engineering I","Strang, G.","18 - Mathematics",07-SEP-10,02-JAN-11,"Hayden","Hayden",18-NOV-10
"18.094-MAHAJAN2011FA:18.094","Teach College-Level Sci & Engr","Mahajan, Sanjoy","18 - Mathematics",07-SEP-10,02-JAN-11,"Hayden","Hayden",18-NOV-10
"18.100A-MATTUCK2011FA:18.100A","Analysis I","Mattuck, Arthur","18 - Mathematics",07-SEP-10,02-JAN-11,"Hayden","Hayden",18-NOV-10
"18.100B-WEHRHEIM2011FA:18.100B","Real Analysis","Wehrheim, K.","18 - Mathematics",07-SEP-10,02-JAN-11,"Hayden","Hayden",18-NOV-10
"18.100C-MILLER2011FA:18.100C","Real Analysis","Miller, H.R.","18 - Mathematics",07-SEP-10,02-JAN-11,"Hayden","Hayden",18-NOV-10
"18.101-GUILLEMIN2011FA:18.101","Analysis and Manifolds","Guillemin, V.","18 - Mathematics",07-SEP-10,02-JAN-11,"Hayden","Hayden",18-NOV-10
"18.104-HELGASON2011FA:18.104","Seminar in Analysis","Helgason, S.","18 - Mathematics",07-SEP-10,02-JAN-11,"Hayden","Hayden",18-NOV-10
"18.152-STAFFILANI2011FA:18.152","Introduction to Partial Differential Equations","Staffilani, G.","18 - Mathematics",07-SEP-10,02-JAN-11,"Hayden","Hayden",18-NOV-10
"18.155-EICHMAIR2011FA:18.155","Differential Analysis","Eichmair, Michael","18 - Mathematics",07-SEP-10,02-JAN-11,"Hayden","Hayden",18-NOV-10
"18.303-JOHNSON2011FA:18.303","Linear PDE: Analysis Numerics","Johnson, Steven","18 - Mathematics",07-SEP-10,02-JAN-11,"Hayden","Hayden",18-NOV-10
"18.305-CHENG2011FA:18.305","Advanced Analytic Methods in Science and Engineering","Cheng, H.","18 - Mathematics",07-SEP-10,02-JAN-11,"Hayden","Hayden",18-NOV-10
"18.314-STANLEY2011FA:18.314","Combinatorial Analysis","Stanley, R.","18 - Mathematics",07-SEP-10,02-JAN-11,"Hayden","Hayden",18-NOV-10
"18.335-JOHNSON2011FA:18.335","Introduction to Numerical Methods","Johnson, S.","18 - Mathematics",07-SEP-10,02-JAN-11,"Hayden","Hayden",18-NOV-10
"18.353-CHUMAKOVA2011FA:18.353","Nonlinear Dynamics I: Chaos","Chumakova, L.","18 - Mathematics",07-SEP-10,02-JAN-11,"Hayden","Hayden",18-NOV-10
"18.385-ROSALES2011FA:18.385","Nonlinear Dynamics + Chaos","Rosales, R.","18 - Mathematics",07-SEP-10,02-JAN-11,"Hayden","Hayden",18-NOV-10
"18.395-BOWER2011FA:18.395","Group Theory w/Appl to Physics","Bower, Deborah","18 - Mathematics",07-SEP-10,02-JAN-11,"Hayden","Hayden",18-NOV-10
"18.404-SIPSER2011FA:18.404","Theory of Computation","Sipser, M.","18 - Mathematics",07-SEP-10,02-JAN-11,"Hayden","Hayden",18-NOV-10
"18.410-RIVEST2011FA:18.410","Design and Analysis Algorithms","Rivest, Ronald","18 - Mathematics",07-SEP-10,02-JAN-11,"ENG","Barker",18-NOV-10
"18.435-LLOYD2011FA:18.435","Quantum Computation","Lloyd, Seth","18 - Mathematics",07-SEP-10,02-JAN-11,"Hayden","Hayden",18-NOV-10
"18.440-KELNER2011FA:18.440","Probability and Random Variables","Kelner, J.","18 - Mathematics",07-SEP-10,02-JAN-11,"Hayden","Hayden",18-NOV-10
"18.443-WANG2011FA:18.443","Statistics For Applications","Wang, L.","18 - Mathematics",07-SEP-10,02-JAN-11,"Hayden","Hayden",18-NOV-10
"18.700-SCHEDLER2011FA:18.700","Linear Algebra","Schedler, T.","18 - Mathematics",07-SEP-10,02-JAN-11,"Hayden","Hayden",18-NOV-10
"21F.345-TURK2011FA:21F.345","Contemporary French Theater: Traditions and New Trends","Turk, E.","21F - Foreign Languages/Literatures",07-SEP-10,02-JAN-11,"Hayden","Hayden",18-NOV-10
"21F.351-REZVANI2011FA:21F.351","French I","Rezvani, L","21F - Foreign Languages/Literatures",07-SEP-10,02-JAN-11,"Hayden","Hayden",18-NOV-10
"21F.352-CULOT2011FA:21F.352","French II","Culot, C.","21F - Foreign Languages/Literatures",07-SEP-10,02-JAN-11,"Hayden","Hayden",18-NOV-10
"21F.371-RAVILLON2011FA:21F.371","French I","Ravillon, S.","21F - Foreign Languages/Literatures",07-SEP-10,02-JAN-11,"Hayden","Hayden",18-NOV-10
"21F.374-RAVILLON2011FA:21F.374","French IV","Ravillon","21F - Foreign Languages/Literatures",07-SEP-10,02-JAN-11,"Hayden","Hayden",18-NOV-10
"21F.401-WEISE2011FA:21F.401","German I","Weise, P.","21F - Foreign Languages/Literatures",07-SEP-10,02-JAN-11,"Hayden","Hayden",18-NOV-10
"21F.402-JONES2011FA:21F.402","German II","jones, E.","21F - Foreign Languages/Literatures",07-SEP-10,02-JAN-11,"Hayden","Hayden",18-NOV-10
"21F.403-CROCKER2011FA:21F.403","German III","Crocker, E.","21F - Foreign Languages/Literatures",07-SEP-10,02-JAN-11,"Hayden","Hayden",18-NOV-10
"21F.404-CROCKER2011FA:21F.404","German IV","Crocker, E.","21F - Foreign Languages/Literatures",07-SEP-10,02-JAN-11,"Hayden","Hayden",18-NOV-10
"21F.412-WEISE2011FA:21F.412","Text, Topics and Times in German Literature","Weise, Peter","21F - Foreign Languages/Literatures",07-SEP-10,02-JAN-11,"Hayden","Hayden",18-NOV-10
"21F.451-WEISE2011FA:21F.451","German I","Weise, P.","21F - Foreign Languages/Literatures",07-SEP-10,02-JAN-11,"Hayden","Hayden",18-NOV-10
"21F.452-JAEGER2011FA:21F.452","German II","Jaeger, D.","21F - Foreign Languages/Literatures",07-SEP-10,02-JAN-11,"Hayden","Hayden",18-NOV-10
