"LIBRARY_RESERVE_CATALOG_KEY","CATALOG_TITLE","CATALOG_AUTHOR_NAME","CATALOG_YEAR","CATALOG_PUBLISHER","CATALOG_CALL_NUMBER","CATALOG_ISBN","CATALOG_SYSTEM_NUMBER","CATALOG_RECORD_CREATE_DATE","CATALOG_RECORD_UPDATE_DATE","RECORD_COUNTER","WAREHOUSE_LOAD_DATE"
"000001432","The radical right in Western Europe : a comparative analysis / Herbert Kitschelt ; in collaboration","Kitschelt, Herbert.","1995","Ann Arbor : University of Michigan Press, c1995.","JN94.A979.K569 1995","0472106635 (hc : alk. paper)","000001432",18-AUG-01,02-FEB-09,1,03-FEB-09
"000001433","Capitalism vs. capitalism : how America's obsession with individual achievement and short-term profi","Albert, Michel.","1993","New York : Four Walls Eight Windows, c1993.","HC59.15.A4313 1993b","1568580045 :","000001433",18-AUG-01,02-FEB-09,1,10-DEC-09
"000001434","Creating capitalism : the state and small business since 1945 / Linda Weiss.","Weiss, Linda (Linda M.)","1988","Oxford, [England] ; New York, NY, USA : B. Blackwell, 1988.","HB501.W4728 1988","0631157336 :","000001434",18-AUG-01,02-FEB-09,1,10-DEC-09
"000001435","Citizenship and nationhood in France and Germany / Rogers Brubaker.","Brubaker, Rogers, 1956-","1992","Cambridge, Mass. : Harvard University Press, 1992.","JN2919.B78 1992","0674131770 (alk. paper)","000001435",18-AUG-01,02-FEB-09,1,17-JUL-09
"000001436","Tocqueville's revenge : state, society, and economy in contemporary France / Jonah D. Levy.","Levy, Jonah D.","1999","Cambridge, Mass. : Harvard University Press, 1999.","HC276.L46 1999","0674894324 (alk. paper)","000001436",18-AUG-01,02-FEB-09,1,03-FEB-09
"000001437","Governing the economy : the politics of state intervention in Britain and France / Peter A. Hall.","Hall, Peter A.","1986","Cambridge : Polity, 1986.","HC256.5.H256 1986b","0745602274 (cased) :","000001437",18-AUG-01,02-FEB-09,1,10-DEC-09
"000001438","Parties and party systems : a framework for analysis / Giovanni Sartori.","Sartori, Giovanni, 1924-","1976","Cambridge [Eng.] : Cambridge University Press, c1976-","JF2051.S26","0521212383.","000001438",18-AUG-01,02-FEB-09,1,10-DEC-09
"000001439","","","   0","","","","000001439",18-AUG-01,15-JUL-02,1,13-MAR-08
"000001440","","","   0","","","","000001440",18-AUG-01,15-JUL-02,1,13-MAR-08
"000001441","","","   0","","","","000001441",18-AUG-01,15-JUL-02,1,13-MAR-08
"000001442","","","   0","","","","000001442",18-AUG-01,15-JUL-02,1,13-MAR-08
"000001443","","","   0","","","","000001443",18-AUG-01,29-AUG-03,1,13-MAR-08
"000001444","","","   0","","","","000001444",18-AUG-01,29-AUG-02,1,13-MAR-08
"000001445","A people's history of the Supreme Court / Peter Irons.","Irons, Peter H., 1940-","1999","New York : Viking, 1999.","KF8742.I76 1999","0670870064","000001445",18-AUG-01,02-FEB-09,1,03-FEB-09
"000001446","Handbook of research design and social measurement : a text and reference book for the social and be","Miller, Delbert Charles, 1913-","1983","New York : Longman, c1983.","H62.M647 1983","0582283264","000001446",18-AUG-01,02-FEB-09,1,03-FEB-09
"000001447","Qualitative data analysis : an expanded sourcebook / Matthew B. Miles, A. Michael Huberman.","Miles, Matthew B.","1994","Thousand Oaks : Sage Publications, c1994.","H62.M437 1994","0803946538 (cl)","000001447",18-AUG-01,02-FEB-09,1,03-FEB-09
"000001448","","","   0","","","","000001448",18-AUG-01,31-JUL-02,1,13-MAR-08
"000001449","","","   0","","","","000001449",18-AUG-01,31-JUL-02,1,13-MAR-08
"000001450","","","   0","","","","000001450",18-AUG-01,31-JUL-02,1,13-MAR-08
"000001451","","","   0","","","","000001451",18-AUG-01,31-JUL-02,1,13-MAR-08
"000001452","","","   0","","","","000001452",18-AUG-01,31-JUL-02,1,13-MAR-08
"000001453","","","   0","","","","000001453",18-AUG-01,03-SEP-03,1,13-MAR-08
"000001454","","","   0","","","","000001454",18-AUG-01,03-SEP-03,1,13-MAR-08
"000001455","","","   0","","","","000001455",18-AUG-01,03-SEP-03,1,13-MAR-08
"000001456","","","   0","","","","000001456",18-AUG-01,29-AUG-03,1,13-MAR-08
"000001457","","","   0","","","","000001457",20-AUG-01,23-SEP-02,1,13-MAR-08
"000001458","","","   0","","","","000001458",20-AUG-01,23-SEP-02,1,13-MAR-08
"000001459","","","   0","","","","000001459",20-AUG-01,27-JUL-04,1,13-MAR-08
"000001460","Physics for scientists & engineers with modern physics / Douglas C. Giancoli.","Giancoli, Douglas C.","2000","Englewood Cliffs, N.J. : Prentice Hall, c2000.","QC21.2.G5 2000d","013021518X (v. 1)","000001460",20-AUG-01,02-FEB-09,1,03-FEB-09
"000001461","Introduction to solid state physics / Charles Kittel.","Kittel, Charles.","1996","New York : Wiley, c1996.","QC176.K62 1996","0471111813 (alk. paper)","000001461",20-AUG-01,02-FEB-09,1,03-FEB-09
"000001462","","","   0","","","","000001462",20-AUG-01,28-AUG-02,1,13-MAR-08
"000001463","","","   0","","","","000001463",20-AUG-01,27-AUG-02,1,13-MAR-08
"000001464","","","   0","","","","000001464",20-AUG-01,14-JAN-02,1,13-MAR-08
"000001465","","","   0","","","","000001465",20-AUG-01,14-JAN-02,1,13-MAR-08
"000001466","Statistical mechanics / Kerson Huang.","Huang, Kerson, 1928-","1987","New York : Wiley, c1987.","QC175.H874 1987","0471815187","000001466",20-AUG-01,02-FEB-09,1,03-FEB-09
"000001467","","","   0","","","","000001467",20-AUG-01,27-AUG-02,1,13-MAR-08
"000001468","Statistical mechanics / R.K. Pathria.","Pathria, R. K.","1996","Oxford ; Boston : Butterworth-Heinemann, 1996.","QC175.P297 1996","0750624698 (paper : alk. paper)","000001468",20-AUG-01,02-FEB-09,1,03-FEB-09
"000001469","","","   0","","","","000001469",20-AUG-01,19-SEP-01,1,13-MAR-08
"000001470","","","   0","","","","000001470",20-AUG-01,27-AUG-02,1,13-MAR-08
"000001471","","","   0","","","","000001471",20-AUG-01,16-JUL-02,1,13-MAR-08
