"LIBRARY_COURSE_INSTRUCTOR_KEY","LIBRARY_RESERVE_CATALOG_KEY","LIBRARY_SUBJECT_OFFERED_KEY","LIBRARY_MATERIAL_STATUS_KEY","TERM_CODE","SUBJECT_ID","WAREHOUSE_LOAD_DATE"
"4.602-SMENTEK2010SP:4.602","000057409","4.6022010SP","U","2010SP","4.602",07-MAY-10
"4.602-SMENTEK2010SP:4.602","000057408","4.6022010SP","U","2010SP","4.602",07-MAY-10
"4.602-SMENTEK2010SP:4.602","000057407","4.6022010SP","U","2010SP","4.602",07-MAY-10
"4.602-SMENTEK2010SP:4.602","000057406","4.6022010SP","U","2010SP","4.602",07-MAY-10
"4.602-SMENTEK2010SP:4.602","000057405","4.6022010SP","U","2010SP","4.602",07-MAY-10
"4.611-RABBAT2010SP:4.611","000058000","4.6112010SP","U","2010SP","4.611",07-MAY-10
"4.611-RABBAT2010SP:4.611","000057948","4.6112010SP","U","2010SP","4.611",07-MAY-10
"4.611-RABBAT2010SP:4.611","000057641","4.6112010SP","U","2010SP","4.611",07-MAY-10
"4.611-RABBAT2010SP:4.611","000057395","4.6112010SP","U","2010SP","4.611",07-MAY-10
"4.611-RABBAT2010SP:4.611","000057308","4.6112010SP","U","2010SP","4.611",07-MAY-10
"4.611-RABBAT2010SP:4.611","000057022","4.6112010SP","U","2010SP","4.611",07-MAY-10
"4.611-RABBAT2010SP:4.611","000056634","4.6112010SP","U","2010SP","4.611",07-MAY-10
"4.611-RABBAT2010SP:4.611","000056633","4.6112010SP","U","2010SP","4.611",07-MAY-10
"4.611-RABBAT2010SP:4.611","000056632","4.6112010SP","U","2010SP","4.611",07-MAY-10
"4.611-RABBAT2010SP:4.611","000056631","4.6112010SP","U","2010SP","4.611",07-MAY-10
"4.611-RABBAT2010SP:4.611","000056630","4.6112010SP","U","2010SP","4.611",07-MAY-10
"4.611-RABBAT2010SP:4.611","000056629","4.6112010SP","U","2010SP","4.611",07-MAY-10
"4.611-RABBAT2010SP:4.611","000056627","4.6112010SP","U","2010SP","4.611",07-MAY-10
"4.611-RABBAT2010SP:4.611","000056626","4.6112010SP","U","2010SP","4.611",07-MAY-10
"4.611-RABBAT2010SP:4.611","000056625","4.6112010SP","U","2010SP","4.611",07-MAY-10
"6.602-KAERTNER2010SP:6.602","000057145","6.6022010SP","N","2010SP","6.602",07-MAY-10
"6.602-KAERTNER2010SP:6.602","000057144","6.6022010SP","N","2010SP","6.602",07-MAY-10
"6.602-KAERTNER2010SP:6.602","000057143","6.6022010SP","N","2010SP","6.602",07-MAY-10
"6.602-KAERTNER2010SP:6.602","000057142","6.6022010SP","N","2010SP","6.602",07-MAY-10
"6.621-KAERTNER2010SP:6.621","000057140","6.6212010SP","U","2010SP","6.621",07-MAY-10
"6.634-FUJIMOTO2010SP:6.634","000057125","6.6342010SP","N","2010SP","6.634",07-MAY-10
"6.634-FUJIMOTO2010SP:6.634","000057124","6.6342010SP","N","2010SP","6.634",07-MAY-10
"6.634-FUJIMOTO2010SP:6.634","000057123","6.6342010SP","N","2010SP","6.634",07-MAY-10
"6.634-FUJIMOTO2010SP:6.634","000057122","6.6342010SP","N","2010SP","6.634",07-MAY-10
"6.634-FUJIMOTO2010SP:6.634","000057121","6.6342010SP","N","2010SP","6.634",07-MAY-10
"6.634-FUJIMOTO2010SP:6.634","000057120","6.6342010SP","N","2010SP","6.634",07-MAY-10
"6.634-FUJIMOTO2010SP:6.634","000057119","6.6342010SP","N","2010SP","6.634",07-MAY-10
"6.634-FUJIMOTO2010SP:6.634","000057118","6.6342010SP","N","2010SP","6.634",07-MAY-10
"6.634-FUJIMOTO2010SP:6.634","000057117","6.6342010SP","N","2010SP","6.634",07-MAY-10
"6.634-FUJIMOTO2010SP:6.634","000057116","6.6342010SP","N","2010SP","6.634",07-MAY-10
"6.634-FUJIMOTO2010SP:6.634","000057115","6.6342010SP","N","2010SP","6.634",07-MAY-10
"6.634-FUJIMOTO2010SP:6.634","000057114","6.6342010SP","N","2010SP","6.634",07-MAY-10
"6.634-FUJIMOTO2010SP:6.634","000057113","6.6342010SP","N","2010SP","6.634",07-MAY-10
"6.634-FUJIMOTO2010SP:6.634","000057112","6.6342010SP","N","2010SP","6.634",07-MAY-10
"6.634-FUJIMOTO2010SP:6.634","000057111","6.6342010SP","N","2010SP","6.634",07-MAY-10
"6.634-FUJIMOTO2010SP:6.634","000057110","6.6342010SP","N","2010SP","6.634",07-MAY-10
"6.730-HU2010SP:6.730","000057923","6.7302010SP","Y","2010SP","6.730",07-MAY-10
"6.730-HU2010SP:6.730","000057922","6.7302010SP","Y","2010SP","6.730",07-MAY-10
"6.730-HU2010SP:6.730","000057924","6.7302010SP","N","2010SP","6.730",07-MAY-10
"6.780-HARDT2010SP:6.780","000056746","6.7802010SP","U","2010SP","6.780",07-MAY-10
"6.863J-BERWICK2010SP:6.863","000056082","6.8632010SP","Y","2010SP","6.863",07-MAY-10
"6.883-PEH2010SP:6.883","000057565","6.8832010SP","N","2010SP","6.883",07-MAY-10
"6.883-PEH2010SP:6.883","000057563","6.8832010SP","N","2010SP","6.883",07-MAY-10
"6.883-PEH2010SP:6.883","000057562","6.8832010SP","N","2010SP","6.883",07-MAY-10
"7.23-STEINER2010SP:7.23","000040262","7.232010SP","U","2010SP","7.23",07-MAY-10
"7.36-KEATING2010SP:7.36","000056870","7.362010SP","Y","2010SP","7.36",07-MAY-10
"7.36-KEATING2010SP:7.36","000056873","7.362010SP","N","2010SP","7.36",07-MAY-10
"7.36-KEATING2010SP:7.36","000056822","7.362010SP","N","2010SP","7.36",07-MAY-10
"7.36-KEATING2010SP:7.36","000056821","7.362010SP","N","2010SP","7.36",07-MAY-10
"7.36-KEATING2010SP:7.36","000056820","7.362010SP","N","2010SP","7.36",07-MAY-10
"7.36-KEATING2010SP:7.36","000056819","7.362010SP","N","2010SP","7.36",07-MAY-10
"7.36-KEATING2010SP:7.36","000056541","7.362010SP","N","2010SP","7.36",07-MAY-10
"7.36-KEATING2010SP:7.36","000056540","7.362010SP","N","2010SP","7.36",07-MAY-10
"11.026-FOGELSON2008SP:11.026","000005135","11.0262008SP","U","2008SP","11.026",09-MAY-08
"11.026-FOGELSON2008SP:11.026","000006668","11.0262008SP","U","2008SP","11.026",09-MAY-08
