"HIERARCHY_TYPE","DLC_KEY","DLC_CODE","DLC_NAME","MASTER_DEPT_HIER_LEVEL_1_CODE","MASTER_DEPT_HIER_LEVEL_1_NAME","MASTER_DEPT_HIER_LEVEL_2_CODE","MASTER_DEPT_HIER_LEVEL_2_NAME","MASTER_DEPT_HIER_LEVEL_3_CODE","MASTER_DEPT_HIER_LEVEL_3_NAME","MASTER_DEPT_HIER_LEVEL_4_CODE","MASTER_DEPT_HIER_LEVEL_4_NAME","MASTER_DEPT_HIER_LEVEL_5_CODE","MASTER_DEPT_HIER_LEVEL_5_NAME"
"Standard Hierarchy","D_DOF_CORE","D_DOF_CORE","Facilities Building Core (hallways, stairs, etc.)","D_ALL","All Departments","D_EXECVP_AREA","Executive Vice President's Area","","","","","",""
"Standard Hierarchy","D_DOF_RESERVE","D_DOF_RESERVE","Facilities Provost Reserved","D_ALL","All Departments","D_EXECVP_AREA","Executive Vice President's Area","","","","","",""
"Standard Hierarchy","D_DOF_RESIDENCE","D_DOF_RESIDENCE","Facilities Residences","D_ALL","All Departments","D_EXECVP_AREA","Executive Vice President's Area","","","","","",""
"Standard Hierarchy","D_CAMPLAN","D_CAMPLAN","Campus Planning","D_ALL","All Departments","D_EXECVP_AREA","Executive Vice President's Area","","","","","",""
"Standard Hierarchy","D_PROPERTY","D_PROPERTY","Property Office","D_ALL","All Departments","D_EXECVP_AREA","Executive Vice President's Area","D_FINANCE_AREA","VP Finance Area","","","",""
"Standard Hierarchy","D_SSC","D_SSC","Strategic Sourcing & Contracts","D_ALL","All Departments","D_EXECVP_AREA","Executive Vice President's Area","D_FINANCE_AREA","VP Finance Area","","","",""
"Standard Hierarchy","D_BF&T","D_BF&T","Budget, Finance & Treasury","D_ALL","All Departments","D_EXECVP_AREA","Executive Vice President's Area","D_FINANCE_AREA","VP Finance Area","","","",""
"Standard Hierarchy","D_BFA","D_BFA","Budget & Financial Analysis","D_ALL","All Departments","D_EXECVP_AREA","Executive Vice President's Area","D_FINANCE_AREA","VP Finance Area","","","",""
"Standard Hierarchy","D_VPFHQ","D_VPFHQ","VPF Headquarters","D_ALL","All Departments","D_EXECVP_AREA","Executive Vice President's Area","D_FINANCE_AREA","VP Finance Area","","","",""
"Standard Hierarchy","D_CAS","D_CAS","Controller & Accounting Services","D_ALL","All Departments","D_EXECVP_AREA","Executive Vice President's Area","D_FINANCE_AREA","VP Finance Area","","","",""
"Standard Hierarchy","D_PROCURE","D_PROCURE","Procurement Office","D_ALL","All Departments","D_EXECVP_AREA","Executive Vice President's Area","D_FINANCE_AREA","VP Finance Area","D_SOURCING_AREA","Sourcing Area","",""
"Standard Hierarchy","D_SOURCING","D_SOURCING","Sourcing","D_ALL","All Departments","D_EXECVP_AREA","Executive Vice President's Area","D_FINANCE_AREA","VP Finance Area","D_SOURCING_AREA","Sourcing Area","",""
"Standard Hierarchy","D_TRAVEL","D_TRAVEL","Travel office","D_ALL","All Departments","D_EXECVP_AREA","Executive Vice President's Area","D_FINANCE_AREA","VP Finance Area","D_SOURCING_AREA","Sourcing Area","",""
"Standard Hierarchy","D_CONTROLLER","D_CONTROLLER","Controller","D_ALL","All Departments","D_EXECVP_AREA","Executive Vice President's Area","D_FINANCE_AREA","VP Finance Area","","","",""
"Standard Hierarchy","D_ASOPS","D_ASOPS","Administrative Services & Operations","D_ALL","All Departments","D_EXECVP_AREA","Executive Vice President's Area","D_FINANCE_AREA","VP Finance Area","","","",""
"Standard Hierarchy","D_LFO","D_LFO","Lincoln Fiscal Office","D_ALL","All Departments","D_EXECVP_AREA","Executive Vice President's Area","D_FINANCE_AREA","VP Finance Area","","","",""
"Standard Hierarchy","D_VPFINHR","D_VPFINHR","VP Finance HR","D_ALL","All Departments","D_EXECVP_AREA","Executive Vice President's Area","D_FINANCE_AREA","VP Finance Area","","","",""
"Standard Hierarchy","D_VPFINANCE","D_VPFINANCE","Vice President for Finance","D_ALL","All Departments","D_EXECVP_AREA","Executive Vice President's Area","D_FINANCE_AREA","VP Finance Area","","","",""
"Standard Hierarchy","D_FINOPS","D_FINOPS","Financial Operations","D_ALL","All Departments","D_EXECVP_AREA","Executive Vice President's Area","D_FINANCE_AREA","VP Finance Area","","","",""
"Standard Hierarchy","D_RSO","D_RSO","Office of Recoring Secretary","D_ALL","All Departments","D_EXECVP_AREA","Executive Vice President's Area","D_FINANCE_AREA","VP Finance Area","","","",""
"Standard Hierarchy","D_VPFINIR","D_VPFINIR","VP Finance Institute Related","D_ALL","All Departments","D_EXECVP_AREA","Executive Vice President's Area","D_FINANCE_AREA","VP Finance Area","","","",""
"Standard Hierarchy","D_VPFINSD","D_VPFINSD","VP Finance Senior Director","D_ALL","All Departments","D_EXECVP_AREA","Executive Vice President's Area","D_FINANCE_AREA","VP Finance Area","","","",""
"Standard Hierarchy","D_PARKING","D_PARKING","Parking and Transportation","D_ALL","All Departments","D_EXECVP_AREA","Executive Vice President's Area","","","","","",""
"Standard Hierarchy","D_OTP","D_OTP","Office of Treasury and Planning","D_ALL","All Departments","D_EXECVP_AREA","Executive Vice President's Area","D_TREAS_AREA","Treasurer's Area","","","",""
"Standard Hierarchy","D_OGC","D_OGC","General Counsel and Risk Management","D_ALL","All Departments","D_EXECVP_AREA","Executive Vice President's Area","D_SC_ENVP","Senior Council and Environmental Programs","","","",""
"Standard Hierarchy","D_EHSO","D_EHSO","Environment, Health and Safety Office","D_ALL","All Departments","D_EXECVP_AREA","Executive Vice President's Area","D_SC_ENVP","Senior Council and Environmental Programs","","","",""
"Standard Hierarchy","D_FAMILY_RESCTR","D_FAMILY_RESCTR","Family Resource Center","D_ALL","All Departments","D_EXECVP_AREA","Executive Vice President's Area","D_HR_AREA","HR Area","","","",""
"Standard Hierarchy","D_HR","D_HR","Human Resources Department","D_ALL","All Departments","D_EXECVP_AREA","Executive Vice President's Area","D_HR_AREA","HR Area","","","",""
"Standard Hierarchy","D_BA","D_BA","Benefits Administration","D_ALL","All Departments","D_EXECVP_AREA","Executive Vice President's Area","D_HR_AREA","HR Area","","","",""
"Standard Hierarchy","D_SUST","D_SUST","OFFICE OF SUSTAINABILITY","D_ALL","All Departments","D_EXECVP_AREA","Executive Vice President's Area","","","","","",""
"Standard Hierarchy","D_OMA","D_OMA","Office of Major Agreements","D_ALL","All Departments","D_EXECVP_AREA","Executive Vice President's Area","","","","","",""
