"HIERARCHY_TYPE","LINK_TYPE_CODE","LINK_TYPE","DLC_KEY","DLC_CODE","LINKED_OBJECT_KEY","LINKED_OBJECT_CODE"
"Compact DLC Hierarchy","ORGU","Old Org. Unit","D_EHSO","D_EHSO","002908","002908"
"Compact DLC Hierarchy","ORGU","Old Org. Unit","D_EHSO","D_EHSO","392101","392101"
"Compact DLC Hierarchy","ORG2","New Org. Unit","D_EHSO","D_EHSO","O10002933","10002933"
"Compact DLC Hierarchy","ORGU","Old Org. Unit","D_EHSO","D_EHSO","392200","392200"
"Compact DLC Hierarchy","BAG","NIMBUS B.A.G.","D_EHSO","D_EHSO","390","390"
"Compact DLC Hierarchy","BAG","NIMBUS B.A.G.","D_EHSO","D_EHSO","183","183"
"Compact DLC Hierarchy","ORG2","New Org. Unit","D_EHSO","D_EHSO","O10002908","10002908"
"Compact DLC Hierarchy","PMIT","PCMIT-0 Profit Center","D_EHSO","D_EHSO","PCMIT-0360-001","PCMIT-0360"
"Compact DLC Hierarchy","PMIT","PCMIT-0 Profit Center","D_EHSO","D_EHSO","PCMIT-0361-001","PCMIT-0361"
"Compact DLC Hierarchy","PMIT","PCMIT-0 Profit Center","D_EHSO","D_EHSO","PCMIT-0362-001","PCMIT-0362"
"Compact DLC Hierarchy","PMIT","PCMIT-0 Profit Center","D_EHSO","D_EHSO","PCMIT-0363-001","PCMIT-0363"
"Compact DLC Hierarchy","PMIT","PCMIT-0 Profit Center","D_EHSO","D_EHSO","PCMIT-0364-001","PCMIT-0364"
"Compact DLC Hierarchy","PMIT","PCMIT-0 Profit Center","D_EHSO","D_EHSO","PCMIT-0365-001","PCMIT-0365"
"Compact DLC Hierarchy","PMIT","PCMIT-0 Profit Center","D_EHSO","D_EHSO","PCMIT-0366-001","PCMIT-0366"
"Compact DLC Hierarchy","PMIT","PCMIT-0 Profit Center","D_EHSO","D_EHSO","PCMIT-0367-001","PCMIT-0367"
"Compact DLC Hierarchy","FC","Standard Funds Center","D_UPOP","D_UPOP","FC100452","FC100452"
"Compact DLC Hierarchy","FC","Standard Funds Center","D_UPOP","D_UPOP","FC101546","FC101546"
"Compact DLC Hierarchy","ORGU","Old Org. Unit","D_UPOP","D_UPOP","060900","060900"
"Compact DLC Hierarchy","ORG2","New Org. Unit","D_UPOP","D_UPOP","O10000298","10000298"
"Compact DLC Hierarchy","FC","Standard Funds Center","D_UPOP","D_UPOP","FC400776","FC400776"
"Compact DLC Hierarchy","FC","Standard Funds Center","D_UPOP","D_UPOP","FC_UPOP","FC_UPOP"
"Compact DLC Hierarchy","BAG","NIMBUS B.A.G.","D_UPOP","D_UPOP","373","373"
"Compact DLC Hierarchy","PMIT","PCMIT-0 Profit Center","D_UPOP","D_UPOP","P060900-001","P060900"
"Compact DLC Hierarchy","PMIT","PCMIT-0 Profit Center","D_UPOP","D_UPOP","PCMIT-0238-001","PCMIT-0238"
"Standard Hierarchy","FC","Standard Funds Center","D_OIS","D_OIS","FC106156","FC106156"
"Standard Hierarchy","FC","Standard Funds Center","D_OIS","D_OIS","FC_OIS","FC_OIS"
"Standard Hierarchy","FC","Standard Funds Center","D_OIS","D_OIS","FC403663","FC403663"
"Standard Hierarchy","FC","Standard Funds Center","D_OIS","D_OIS","FC220288","FC220288"
"Standard Hierarchy","FC","Standard Funds Center","D_OIS","D_OIS","FC220287","FC220287"
"Standard Hierarchy","FC","Standard Funds Center","D_OIS","D_OIS","FC120011","FC120011"
"Standard Hierarchy","PMIT","PCMIT-0 Profit Center","D_OIS","D_OIS","P401504-001","P401504"
"Standard Hierarchy","PMIT","PCMIT-0 Profit Center","D_OIS","D_OIS","P401503-001","P401503"
"Standard Hierarchy","PMIT","PCMIT-0 Profit Center","D_OIS","D_OIS","P401502-001","P401502"
"Standard Hierarchy","ORG2","New Org. Unit","D_OIS","D_OIS","O10006583","10006583"
"Standard Hierarchy","FC","Standard Funds Center","D_CS3","D_CS3","FC220289","FC220289"
"Standard Hierarchy","FC","Standard Funds Center","D_CS3","D_CS3","FC401350","FC401350"
"Standard Hierarchy","PMIT","PCMIT-0 Profit Center","D_CS3","D_CS3","PCMIT-0288-001","PCMIT-0288"
"Standard Hierarchy","PMIT","PCMIT-0 Profit Center","D_CS3","D_CS3","P159400-001","P159400"
"Standard Hierarchy","FC","Standard Funds Center","D_CS3","D_CS3","FC220247","FC220247"
"Standard Hierarchy","FC","Standard Funds Center","D_CS3","D_CS3","FC220133","FC220133"
"Standard Hierarchy","FC","Standard Funds Center","D_CS3","D_CS3","FC220132","FC220132"
"Standard Hierarchy","FC","Standard Funds Center","D_CS3","D_CS3","FC220072","FC220072"
"Standard Hierarchy","FC","Standard Funds Center","D_CS3","D_CS3","FC220020","FC220020"
"Standard Hierarchy","FC","Standard Funds Center","D_CS3","D_CS3","FC206456","FC206456"
"Standard Hierarchy","FC","Standard Funds Center","D_CS3","D_CS3","FC220019","FC220019"
"Standard Hierarchy","FC","Standard Funds Center","D_CS3","D_CS3","FC206416","FC206416"
"Standard Hierarchy","FC","Standard Funds Center","D_CS3","D_CS3","FC206376","FC206376"
"Standard Hierarchy","FC","Standard Funds Center","D_CS3","D_CS3","FC206321","FC206321"
"Standard Hierarchy","FC","Standard Funds Center","D_CS3","D_CS3","FC206445","FC206445"
"Standard Hierarchy","FC","Standard Funds Center","D_CS3","D_CS3","FC206455","FC206455"
"Standard Hierarchy","FC","Standard Funds Center","D_CS3","D_CS3","FC205597","FC205597"
"Standard Hierarchy","FC","Standard Funds Center","D_CS3","D_CS3","FC205580","FC205580"
"Standard Hierarchy","FC","Standard Funds Center","D_CS3","D_CS3","FC_CS3","FC_CS3"
"Standard Hierarchy","FC","Standard Funds Center","D_CS3","D_CS3","FC100715","FC100715"
"Standard Hierarchy","FC","Standard Funds Center","D_CS3","D_CS3","FC206457","FC206457"
"Standard Hierarchy","FC","Standard Funds Center","D_CS3","D_CS3","FC206458","FC206458"
"Standard Hierarchy","FC","Standard Funds Center","D_CS3","D_CS3","FC207702","FC207702"
"Standard Hierarchy","FC","Standard Funds Center","D_CS3","D_CS3","FC206460","FC206460"
"Standard Hierarchy","FC","Standard Funds Center","D_CS3","D_CS3","FC206459","FC206459"
"Standard Hierarchy","ORGU","Old Org. Unit","D_CS3","D_CS3","159400","159400"
"Standard Hierarchy","BAG","NIMBUS B.A.G.","D_CS3","D_CS3","423","423"
"Standard Hierarchy","ORG2","New Org. Unit","D_CS3","D_CS3","O10002633","10002633"
"Standard Hierarchy","FC","Standard Funds Center","D_CS3","D_CS3","FC207772","FC207772"
"Standard Hierarchy","FC","Standard Funds Center","D_CS3","D_CS3","FC207771","FC207771"
"Standard Hierarchy","FC","Standard Funds Center","D_CS3","D_CS3","FC205576","FC205576"
"Standard Hierarchy","FC","Standard Funds Center","D_CS3","D_CS3","FC205565","FC205565"
"Standard Hierarchy","FC","Standard Funds Center","D_CS3","D_CS3","FC205542","FC205542"
"Standard Hierarchy","FC","Standard Funds Center","D_CS3","D_CS3","FC204627","FC204627"
"Standard Hierarchy","FC","Standard Funds Center","D_CS3","D_CS3","FC102035","FC102035"
"Standard Hierarchy","FC","Standard Funds Center","D_CS3","D_CS3","FC101750","FC101750"
"Standard Hierarchy","FC","Standard Funds Center","D_GRADJUNCTION","D_GRADJUNCTION","FC_GRADJUNCTION","FC_GRADJUNCTION"
"Standard Hierarchy","PMIT","PCMIT-0 Profit Center","D_GRADJUNCTION","D_GRADJUNCTION","P442003-001","P442003"
"Standard Hierarchy","FC","Standard Funds Center","D_GRADJUNCTION","D_GRADJUNCTION","FC403631","FC403631"
"Standard Hierarchy","FC","Standard Funds Center","D_GRADJUNCTION","D_GRADJUNCTION","FC120010","FC120010"
"Standard Hierarchy","FC","Standard Funds Center","D_GRADJUNCTION","D_GRADJUNCTION","FC106141","FC106141"
"Standard Hierarchy","FC","Standard Funds Center","D_GRADJUNCTION","D_GRADJUNCTION","FC106140","FC106140"
"Standard Hierarchy","ORG2","New Org. Unit","D_OBDT","D_OBDT","O10006508","10006508"
"Standard Hierarchy","FC","Standard Funds Center","D_OBDT","D_OBDT","FC106160","FC106160"
"Standard Hierarchy","FC","Standard Funds Center","D_OBDT","D_OBDT","FC403650","FC403650"
"Standard Hierarchy","FC","Standard Funds Center","D_OBDT","D_OBDT","FC_OBDT","FC_OBDT"
"Standard Hierarchy","FC","Standard Funds Center","D_OBDT","D_OBDT","FC120280","FC120280"
