"MOIRA_LIST_KEY","MOIRA_LIST_NAME","MOIRA_LIST_DESCRIPTION","IS_ACTIVE","IS_MOIRA_MAILING_LIST","IS_MOIRA_GROUP","IS_NFS_GROUP","IS_PUBLIC","IS_HIDDEN"
"6.021j-graders-2006-request","6.021j-graders-2006-request","none","Y","Y","N","N","N","N"
"coeproject3-request","coeproject3-request","none","Y","Y","N","N","N","N"
"seh-request","seh-request","none","Y","Y","N","N","N","N"
"misti-ambassadors2008-request","misti-ambassadors2008-request","none","Y","Y","N","N","N","N"
"electsign-request","electsign-request","none","Y","Y","N","N","N","N"
"older_driver_education-request","older_driver_education-request","none","Y","Y","N","N","N","N"
"plan-readers-request-old","plan-readers-request-old","none","Y","Y","N","N","N","N"
"csg-students-request","csg-students-request","none","Y","Y","N","N","N","N"
"patti-adv","patti-adv","none","Y","Y","N","N","N","N"
"gc_urop-request","gc_urop-request","none","Y","Y","N","N","N","N"
"patti-adv-request","patti-adv-request","none","Y","Y","N","N","N","N"
"nira-list-request","nira-list-request","none","Y","Y","N","N","N","N"
"network-bugs","network-bugs","none","Y","Y","N","N","N","N"
"network-bugs-comment","network-bugs-comment","none","Y","Y","N","N","N","N"
"csbi_aix_cluster_todos-request","csbi_aix_cluster_todos-request","none","Y","Y","N","N","N","N"
"pj-request","pj-request","none","Y","Y","N","N","N","N"
"faq-maintainers-announce-request","faq-maintainers-announce-request","none","Y","Y","N","N","N","N"
"duspmin-request","duspmin-request","none","Y","Y","N","N","N","N"
"lta-team2-request","lta-team2-request","none","Y","Y","N","N","N","N"
"pss-interest","pss-interest","none","Y","Y","N","N","N","N"
"committee","committee","none","Y","Y","N","N","N","N"
"gsp","gsp","none","Y","Y","N","N","N","N"
"northend-request","northend-request","none","Y","Y","N","N","N","N"
"nanoeecs-request","nanoeecs-request","none","Y","Y","N","N","N","N"
"rotors","rotors","none","Y","Y","N","N","N","N"
"protfold-request","protfold-request","none","Y","Y","N","N","N","N"
"hst951-sp04-request","hst951-sp04-request","none","Y","Y","N","N","N","N"
"sh-help","sh-help","none","Y","Y","N","N","N","N"
"debcom","debcom","none","Y","Y","N","N","N","N"
"csc-announce-summer","csc-announce-summer","none","Y","Y","N","N","N","N"
"history-info-request","history-info-request","none","Y","Y","N","N","N","N"
"eecs-gsa-dodgeball06-request","eecs-gsa-dodgeball06-request","none","Y","Y","N","N","N","N"
"dtphd","dtphd","none","Y","Y","N","N","N","N"
"6.013_students-request","6.013_students-request","none","Y","Y","N","N","N","N"
"6.013_staff-request","6.013_staff-request","none","Y","Y","N","N","N","N"
"grey17-announce","grey17-announce","none","Y","Y","N","N","N","N"
"smap5108s2002-request","smap5108s2002-request","none","Y","Y","N","N","N","N"
"esd83-request","esd83-request","none","Y","Y","N","N","N","N"
"football-request-old","football-request-old","none","Y","Y","N","N","N","N"
"leaders96","leaders96","none","Y","Y","N","N","N","N"
"civilsem-request","civilsem-request","none","Y","Y","N","N","N","N"
"civilsem","civilsem","none","Y","Y","N","N","N","N"
"ccc-tutors04-request","ccc-tutors04-request","none","Y","Y","N","N","N","N"
"random-hall-alum-2008","random-hall-alum-2008","none","Y","Y","N","N","N","N"
"csbi-ht-acl","csbi-ht-acl","none","Y","Y","N","N","N","N"
"paulog","paulog","none","Y","Y","N","N","N","N"
"6.013-request","6.013-request","none","Y","Y","N","N","N","N"
"maptest","maptest","none","Y","Y","N","N","N","N"
"sos-ehs-admin-request","sos-ehs-admin-request","none","Y","Y","N","N","N","N"
"sds-advisees","sds-advisees","none","Y","Y","N","N","N","N"
"finance_group-request","finance_group-request","none","Y","Y","N","N","N","N"
"galak-tika-old","galak-tika-old","none","Y","Y","N","N","N","N"
"learntoswim-request","learntoswim-request","none","Y","Y","N","N","N","N"
"or2002-request","or2002-request","none","Y","Y","N","N","N","N"
"ctll","ctll","none","Y","Y","N","N","N","N"
"6.033-sec9-homework","6.033-sec9-homework","none","Y","Y","N","N","N","N"
"self-request","self-request","none","Y","Y","N","N","N","N"
"emff-request","emff-request","none","Y","Y","N","N","N","N"
"fellows06-request","fellows06-request","none","Y","Y","N","N","N","N"
"jsu-old","jsu-old","none","Y","Y","N","N","N","N"
"femlab-l-request","femlab-l-request","none","Y","Y","N","N","N","N"
"rhhy","rhhy","none","Y","Y","N","N","N","N"
"coreb-admin-request","coreb-admin-request","none","Y","Y","N","N","N","N"
"ccr2006retreat-request","ccr2006retreat-request","none","Y","Y","N","N","N","N"
"club_sports-admin-old","club_sports-admin-old","none","Y","Y","N","N","N","N"
"sp-gsc-rep-request","sp-gsc-rep-request","none","Y","Y","N","N","N","N"
"cheme-1065-request","cheme-1065-request","none","Y","Y","N","N","N","N"
"iih-participants-request","iih-participants-request","none","Y","Y","N","N","N","N"
"guitar98-request","guitar98-request","none","Y","Y","N","N","N","N"
"iih-network-request","iih-network-request","none","Y","Y","N","N","N","N"
"fss-projpeergrp-request","fss-projpeergrp-request","none","Y","Y","N","N","N","N"
"poems","poems","none","Y","Y","N","N","N","N"
"choirsun1-request","choirsun1-request","none","Y","Y","N","N","N","N"
"cics-all","cics-all","none","Y","Y","N","N","N","N"
"rbr","rbr","none","Y","Y","N","N","N","N"
"jessicat-list-request","jessicat-list-request","none","Y","Y","N","N","N","N"
"lai-pdvs-request","lai-pdvs-request","none","Y","Y","N","N","N","N"
"sp-helpers-request-old","sp-helpers-request-old","none","Y","Y","N","N","N","N"
"e_merging-request","e_merging-request","none","Y","Y","N","N","N","N"
"esdhq-request","esdhq-request","none","Y","Y","N","N","N","N"
"itlt-agenda-request","itlt-agenda-request","none","Y","Y","N","N","N","N"
"pelottery-request","pelottery-request","none","Y","Y","N","N","N","N"
