"USER_NAME","HAS_FINANCIAL_AUTH","HAS_HR_FULL_AUTH","HAS_HR_LIMITED_AUTH","HAS_PAYROLL_AUTH","WAREHOUSE_LOAD_DATE"
"SSELLER","Y","N","N","N",28-OCT-24
"MWINTER","N","N","N","N",28-OCT-24
"CARLOSD","N","N","N","N",28-OCT-24
"DDOWNS","N","N","N","N",28-OCT-24
"JU26092","N","N","N","N",28-OCT-24
"RSHULMAN","Y","N","N","N",28-OCT-24
"NA25950","N","N","N","N",28-OCT-24
"TPOLLARD","Y","N","N","N",28-OCT-24
"LACHLAN","Y","N","N","N",28-OCT-24
"JIO","N","N","N","N",28-OCT-24
"AN26036","N","N","N","N",28-OCT-24
"DMCCAULE","N","N","N","N",28-OCT-24
"DEMPSEY","N","N","N","N",28-OCT-24
"COSTAV","Y","N","N","N",28-OCT-24
"RPERRON","N","N","N","N",28-OCT-24
"FLORETTA","Y","N","N","N",28-OCT-24
"AJHILLER","N","N","N","N",28-OCT-24
"WIENISCH","N","N","N","N",28-OCT-24
"CGYEWU","Y","Y","Y","Y",28-OCT-24
"JO21430","N","N","N","N",28-OCT-24
"SA26170","N","N","N","N",28-OCT-24
"COLDFORD","N","N","N","N",28-OCT-24
"HUOTHCT","N","N","N","N",28-OCT-24
"HDEJESUS","N","N","N","N",28-OCT-24
"JCJOHNST","N","N","N","N",28-OCT-24
"DYURYEV","N","N","N","N",28-OCT-24
"XIAOWENY","N","N","N","N",28-OCT-24
"BENNEGAN","Y","N","N","Y",28-OCT-24
"PDURANT","N","N","N","N",28-OCT-24
"SHAIDAR","N","N","N","N",28-OCT-24
"DBARNARD","Y","N","N","N",28-OCT-24
"DWAI","Y","N","N","N",28-OCT-24
"JRCAIN","N","N","N","N",28-OCT-24
"EMILIOB","Y","N","N","N",28-OCT-24
"QIANKANG","N","N","N","N",28-OCT-24
"SDAROSA","Y","N","N","N",28-OCT-24
"MBAGUER","N","N","N","N",28-OCT-24
"TIVELEZ","Y","N","N","N",28-OCT-24
"RA23103","N","N","N","N",28-OCT-24
"JGNIAZDO","Y","N","N","N",28-OCT-24
"DOBSONC","Y","N","N","N",28-OCT-24
"SDAHILL","Y","N","N","N",28-OCT-24
"NSTEPHEN","Y","N","N","N",28-OCT-24
"EDOEG","N","N","N","N",28-OCT-24
"REGALADO","N","N","N","N",28-OCT-24
"MJWALSH","Y","N","N","N",28-OCT-24
"SJAEGER","Y","N","N","N",28-OCT-24
"KR23355","N","N","N","N",28-OCT-24
"TGILMAN","N","N","N","N",28-OCT-24
"JCGRANT","Y","N","N","N",28-OCT-24
"PHILOME","Y","N","N","N",28-OCT-24
"JCPINA","N","N","N","N",28-OCT-24
"BR23436","N","N","N","N",28-OCT-24
"RKENDALL","Y","N","N","N",28-OCT-24
"JO26507","N","N","N","N",28-OCT-24
"JOEHIGG","Y","N","N","Y",28-OCT-24
"KASARSKY","N","N","N","N",28-OCT-24
"JFSOUSA","Y","N","N","N",28-OCT-24
"ATRACHY","N","N","N","N",28-OCT-24
"PRIYAC","Y","Y","Y","Y",28-OCT-24
"HSKIMM","N","N","N","N",28-OCT-24
"CANNONT","N","N","N","N",28-OCT-24
"SISAACS","N","N","N","N",28-OCT-24
"XINHEWU","N","N","N","N",28-OCT-24
"TELIS","Y","N","N","N",28-OCT-24
"MONACOC","N","N","N","N",28-OCT-24
"BEJAG22V","N","N","N","N",28-OCT-24
"SRUSS","N","N","N","N",28-OCT-24
"WENDEL","Y","N","N","N",28-OCT-24
"ES122530","N","N","N","N",28-OCT-24
"DARONOFF","N","N","N","N",28-OCT-24
"ED27341","N","N","N","N",28-OCT-24
"PA27879","N","N","N","N",28-OCT-24
"AL27964","N","N","N","N",28-OCT-24
"YIXILIU","N","N","N","N",28-OCT-24
"MICHELEG","Y","N","N","N",28-OCT-24
"LIBBYS","N","N","N","N",28-OCT-24
