"PROFIT_CENTER_GROUP_CODE","PROFIT_CENTER_GROUP_NAME","PROFIT_CENTER_KEY","PROFIT_CENTER_ID","PROFIT_CENTER_NAME","PC_LEVEL1_SORT","PC_LEVEL1_CATEGORY","PC_LEVEL2_SORT","PC_LEVEL2_CATEGORY","PC_LEVEL3_SORT","PC_LEVEL3_CATEGORY","PC_LEVEL4_SORT","PC_LEVEL4_CATEGORY","PC_LEVEL5_SORT","PC_LEVEL5_CATEGORY","PC_LEVEL6_SORT","PC_LEVEL6_CATEGORY","PC_LEVEL7_SORT","PC_LEVEL7_CATEGORY","PC_LEVEL8_SORT","PC_LEVEL8_CATEGORY","DLC_KEY","DLC_NAME","WAREHOUSE_LOAD_DATE"
"PCMIT-1","Functional Expense Hierarchy","P401504-001","P401504","Gen. Ao Consortium",5,"General & Administrative",6,"G&A--Academic Support (IPEDS)",6,"G&A--Academic Support (IPEDS)",,"",,"",,"",,"",,"","D_OIS","Office of Innovation and Strategy",28-OCT-24
"PINAC-0","MIT-HISTORICAL REPORTING (VPF ONLY)","P401504-001","P401504","Gen. Ao Consortium",2,"Provost",248,"Office of Innovation and Strategy",251,"Gen. AO Consortium",,"",,"",,"",,"",,"","D_OIS","Office of Innovation and Strategy",28-OCT-24
"PCMIT-0","MIT-All (Four Levels)","P401504-001","P401504","Gen. Ao Consortium",2,"Provost",238,"Office of Innovation and Strategy",241,"Gen. AO Consortium",,"",,"",,"",,"",,"","D_OIS","Office of Innovation and Strategy",28-OCT-24
"P00_MIT","P. C. Standard Hierarchy","P401504-001","P401504","Gen. Ao Consortium",2,"MIT Corporation",3,"President Node",4,"Provost Node",612,"Office of Innovation and Strategy",615,"Gen. AO Consortium",,"",,"",,"","D_OIS","Office of Innovation and Strategy",28-OCT-24
"PCMIT-1","Functional Expense Hierarchy","P401503-001","P401503","Mit Life Science And Health Initiative",5,"General & Administrative",6,"G&A--Academic Support (IPEDS)",6,"G&A--Academic Support (IPEDS)",,"",,"",,"",,"",,"","D_OIS","Office of Innovation and Strategy",28-OCT-24
"PINAC-0","MIT-HISTORICAL REPORTING (VPF ONLY)","P401503-001","P401503","Mit Life Science And Health Initiative",2,"Provost",248,"Office of Innovation and Strategy",250,"MIT Life Science and Health Initiative",,"",,"",,"",,"",,"","D_OIS","Office of Innovation and Strategy",28-OCT-24
"PCMIT-0","MIT-All (Four Levels)","P401503-001","P401503","Mit Life Science And Health Initiative",2,"Provost",238,"Office of Innovation and Strategy",240,"MIT Life Science and Health Initiative",,"",,"",,"",,"",,"","D_OIS","Office of Innovation and Strategy",28-OCT-24
"P00_MIT","P. C. Standard Hierarchy","P401503-001","P401503","Mit Life Science And Health Initiative",2,"MIT Corporation",3,"President Node",4,"Provost Node",612,"Office of Innovation and Strategy",614,"MIT Life Science and Health Initiative",,"",,"",,"","D_OIS","Office of Innovation and Strategy",28-OCT-24
"PCMIT-1","Functional Expense Hierarchy","P401502-001","P401502","Office Of Innovation And Strategy",5,"General & Administrative",6,"G&A--Academic Support (IPEDS)",6,"G&A--Academic Support (IPEDS)",,"",,"",,"",,"",,"","D_OIS","Office of Innovation and Strategy",28-OCT-24
"PINAC-0","MIT-HISTORICAL REPORTING (VPF ONLY)","P401502-001","P401502","Office Of Innovation And Strategy",2,"Provost",248,"Office of Innovation and Strategy",249,"Office of Innovation and Strategy",,"",,"",,"",,"",,"","D_OIS","Office of Innovation and Strategy",28-OCT-24
"PCMIT-0","MIT-All (Four Levels)","P401502-001","P401502","Office Of Innovation And Strategy",2,"Provost",238,"Office of Innovation and Strategy",239,"Office of Innovation and Strategy",,"",,"",,"",,"",,"","D_OIS","Office of Innovation and Strategy",28-OCT-24
"P00_MIT","P. C. Standard Hierarchy","P401502-001","P401502","Office Of Innovation And Strategy",2,"MIT Corporation",3,"President Node",4,"Provost Node",612,"Office of Innovation and Strategy",613,"Office of Innovation and Strategy",,"",,"",,"","D_OIS","Office of Innovation and Strategy",28-OCT-24
"PINAC-0","MIT-HISTORICAL REPORTING (VPF ONLY)","P159400-001","P159400","Cntr For Sustainability Sci & Strategy",2,"Provost",91,"Science",106,"Center for Global Change Science",,"",,"",,"",,"",,"","D_CS3","Center for Sustainability Science & Strategy",28-OCT-24
"PCMIT-0","MIT-All (Four Levels)","P159400-001","P159400","Cntr For Sustainability Sci & Strategy",2,"Provost",91,"Science",106,"Center for Global Change Science",,"",,"",,"",,"",,"","D_CS3","Center for Sustainability Science & Strategy",28-OCT-24
