"USERNAME","DLC_KEY"
"ADIRIR","D_BATES"
"ADIRIR","D_LNS"
"AGILL1","D_COMPMED"
"AHDORTCH","D_PCLM"
"AHDORTCH","D_PILM"
"AJOHN324","D_MITMAD"
"AKUHL","D_CAES"
"AKUHL","D_OEIT"
"ALAJOIE","D_LIDS"
"ALICIAEV","D_B&CS"
"ALLWALL","D_IS&T"
"ALONDON","D_CBI"
"ALONDON","D_SSRC"
"ALVESP","D_DUSP"
"ALVESP","D_HISTORY"
"AMACKIN","D_CTL"
"AMACKIN","D_SCM"
"AMARCUM","D_ASOPS"
"AMARCUM","D_BF&T"
"AMARCUM","D_BFA"
"AMARCUM","D_CAS"
"AMARCUM","D_CONTROLLER"
"AMARCUM","D_FINANCE_AREA"
"AMARCUM","D_FINOPS"
"AMARCUM","D_LFO"
"AMARCUM","D_PROCURE"
"AMARCUM","D_PROPERTY"
"AMARCUM","D_RSO"
"AMARCUM","D_SOURCING"
"AMARCUM","D_SOURCING_AREA"
"AMARCUM","D_SSC"
"AMARCUM","D_TRAVEL"
"AMARCUM","D_VPFHQ"
"AMARCUM","D_VPFINANCE"
"AMARCUM","D_VPFINHR"
"AMARCUM","D_VPFINIR"
"AMARCUM","D_VPFINSD"
"AMITY","D_MITIMCO"
"AMOMURA","D_ECO"
"AMUISE","D_DL"
"ANDREEAO","D_KI"
"ANDUELA","D_TECHREVIEW"
"ANGELAO","D_JCLINIC"
"ANKJI","D_MECHE"
"ANNASPEC","D_MAS"
"ANNASPEC","D_MEDIA"
"ANNM","D_GRAY"
"ANNM","D_PRESIDENT"
"AOBAIDEE","D_D-LAB"
"AOBAIDEE","D_ECO"
"AOBIN","D_DMSE"
"APARA24","D_ECO"
"AQUINN","D_DL"
"ASALIE","D_BIOLOGY"
"ASALIE","D_CSBI"
"ASALIE","D_HHMI"
"ASHLEYBK","D_DL"
"ASTEWARD","D_ANTHRO"
"ATAT","D_CEHS"
"ATOMPKI","D_MECHE"
"BARBTRAV","D_CHEME"
"BARREIRO","D_DUSP"
"BCARBONE","D_WALLACE"
"BDUCHESN","D_HAYSTACK"
"BERITL","D_CAU"
"BERITL","D_LCAU"
"BETHANN","D_MCGOVERN"
"BETHONEY","D_ALLIANCE_MGMT"
"BETHONEY","D_CATALYSTS"
"BETHONEY","D_STRATEG_TRANS"
"BISHOPM","D_B&CS"
"BISHOPM","D_BATES"
"BISHOPM","D_BIOLOGY"
"BISHOPM","D_CGCS"
"BISHOPM","D_CHEM"
"BISHOPM","D_CS3"
"BISHOPM","D_CSBI"
"BISHOPM","D_CSR"
"BISHOPM","D_DEANSCI"
"BISHOPM","D_EAPS"
"BISHOPM","D_HHMI"
"BISHOPM","D_LNS"
"BISHOPM","D_LNS_AND_BATES"
"BISHOPM","D_MATHS"
"BISHOPM","D_PHYSICS"
"BISHOPM","D_PILM"
"BISHOPM","D_SCHOOL_SCI"
"BISHOPM","D_SCI_DEPTHEAD"
"BISHOPM","D_SCSB"
"BISHOPM","D_SPEC"
"BISHOPM","D_WALLACE"
"BLAPORTE","D_CHEME"
"BNPAS","D_J-WAFS"
"BOOK","D_TLL"
"BORGESEN","D_CGC"
"BORGESEN","D_MITESI"
"BPANT","D_PEP"
"BPIERSON","D_QUEST"
"BREEDE","D_MAS"
"BREEDE","D_MEDIA"
"BROWNR","D_MITOI"
"BTAVARES","D_ACAD"
"BTAVARES","D_ADM"
"BTAVARES","D_ASP"
"BTAVARES","D_BPMIT"
"BTAVARES","D_CONCOURSE"
"BTAVARES","D_CSPA"
"BTAVARES","D_DUE"
"BTAVARES","D_DUE:HQ"
"BTAVARES","D_ECSEL"
"BTAVARES","D_EIP"
"BTAVARES","D_ESG"
"BTAVARES","D_GEO"
"BTAVARES","D_HPMIT"
"BTAVARES","D_ICAMPUS"
"BTAVARES","D_III"
"BTAVARES","D_MITES"
"BTAVARES","D_OEL"
"BTAVARES","D_OFS"
"BTAVARES","D_OME"
"BTAVARES","D_OSA"
"BTAVARES","D_PEP"
"BTAVARES","D_REG"
"BTAVARES","D_REVENUES"
"BTAVARES","D_ROTC"
"BTAVARES","D_ROTC_AERO"
"BTAVARES","D_ROTC_MIL"
"BTAVARES","D_ROTC_NAVAL"
"BTAVARES","D_SFS"
"BTAVARES","D_SSIT"
"BTAVARES","D_SSS"
"BTAVARES","D_STU_SPECIAL"
"BTAVARES","D_TERRASCOPE"
"BTAVARES","D_TIE"
"BTAVARES","D_TLL"
"BTAVARES","D_UAAP"
"BTAVARES","D_UPOP"
"CAROLIN","D_MECHE"
"CASEEGER","D_ARCHAE"
"CASEEGER","D_DMSE"
"CASEEGER","D_PPST"
"CAUGUSTE","D_SFS"
"CBUTLER","D_DL"
"CDAMICO","D_ACAD"
"CDAMICO","D_ADM"
"CDAMICO","D_CONCOURSE"
"CDAMICO","D_CSPA"
"CDAMICO","D_DUE"
"CDAMICO","D_DUE:HQ"
"CDAMICO","D_ESG"
"CDAMICO","D_GEO"
"CDAMICO","D_OEL"
"CDAMICO","D_OFS"
"CDAMICO","D_OME"
"CDAMICO","D_OSA"
"CDAMICO","D_REG"
"CDAMICO","D_REVENUES"
"CDAMICO","D_ROTC"
"CDAMICO","D_ROTC_AERO"
"CDAMICO","D_ROTC_MIL"
"CDAMICO","D_ROTC_NAVAL"
