"SIS_COURSE_DESCRIPTION_KEY","COURSE","COURSE_DESCRIPTION","COURSE_DESCRIPTION_LONG","DEPARTMENT","DEPARTMENT_NAME","DEPT_NAME_IN_COMMENCEMENT_BK","SCHOOL_NAME","SCHOOL_NAME_IN_COMMENCEMENT_BK","FROM_TERM","FROM_TERM_DESCRIPTION","THRU_TERM","THRU_TERM_DESCRIPTION","COURSE_OPTION","COURSE_LEVEL","CIP_PROGRAM_CODE","IS_DEGREE_GRANTING","DEFAULT_ULTIMATE_DEGREE","GRADAUTE_LEVEL","GRADUATE_LEVEL","LAST_ACTIVITY_DATE","WAREHOUSE_LOAD_DATE"
"10::G","10","Chemical Engineering","Chemical Engineering","10","Chemical Engineering","Department of Chemical Engineering","Engineering","School of Engineering","000000","Beginning of Time","999999","End of Time","","G","140701","N","NDG","","",23-JUL-15,28-OCT-24
"10::U","10","Chemical Engineering","Chemical Engineering (Course 10)","10","Chemical Engineering","Department of Chemical Engineering","Engineering","School of Engineering","000000","Beginning of Time","999999","End of Time","","U","140701","Y","SB","","",13-SEP-19,28-OCT-24
"10:A:G","10 A","Chemical Eng Practice-SM","Chemical Engineering","10","Chemical Engineering","Department of Chemical Engineering","Engineering","School of Engineering","000000","Beginning of Time","999999","End of Time","A","G","140701","Y","SM","Masters","Masters",23-JUL-15,28-OCT-24
"10:AD:G","10 AD","Chemical Eng Practice-Doctoral","Chemical Engineering","10","Chemical Engineering","Department of Chemical Engineering","Engineering","School of Engineering","2000FA","Fall Term 1999-2000","999999","End of Time","AD","G","140701","Y","DOC","Doctoral","Doctoral",25-APR-05,28-OCT-24
"10:B:U","10 B","Chemical-Biological Eng","Chemical-Biological Engineering (Course 10-B)","10","Chemical Engineering","Department of Chemical Engineering","Engineering","School of Engineering","2004SP","Spring Term 2003-2004","999999","End of Time","B","U","140702","Y","SB","","",08-APR-21,28-OCT-24
"10:C:U","10 C","Chemical Eng - unspecified","Chemical Engineering (Course 10-C)","10","Chemical Engineering","Department of Chemical Engineering","Engineering","School of Engineering","000000","Beginning of Time","999999","End of Time","C","U","140701","Y","SB","","",13-SEP-19,28-OCT-24
"10:CME:U","10 CME","Chemical Eng - Cambridge-MIT","Chemical Engineering","10","Chemical Engineering","Department of Chemical Engineering","Engineering","School of Engineering","2005FA","Fall Term 2004-2005","2018SU","Summer Term 2018","CME","U","140701","N","NDG","","",04-AUG-23,28-OCT-24
"10:CMI:U","10 CMI","Chemical Eng - Cambridge-MIT","Chemical Engineering","10","Chemical Engineering","Department of Chemical Engineering","Engineering","School of Engineering","2003FA","Fall Term 2002-2003","2004SU","Summer Term 2004","CMI","U","140701","N","NDG","","",25-APR-05,28-OCT-24
"10:CSD:G","10 CSD","Chemical Eng - Doctoral","Chemical Engineering - Computational Science & Engineering","10","Chemical Engineering","Department of Chemical Engineering","Engineering","School of Engineering","2014SU","Summer Term 2014","999999","End of Time","CSD","G","110101","Y","DOC","Doctoral","Doctoral",24-APR-18,28-OCT-24
"10:D:G","10 D","Chemical Eng - Doctoral","Chemical Engineering","10","Chemical Engineering","Department of Chemical Engineering","Engineering","School of Engineering","000000","Beginning of Time","999999","End of Time","D","G","140701","Y","DOC","Doctoral","Doctoral",23-JUL-15,28-OCT-24
"10:ENG:U","10 ENG","Engineering","Engineering (Course 10-ENG)","10","Chemical Engineering","Department of Chemical Engineering","Engineering","School of Engineering","2011SU","Summer Term 2011","999999","End of Time","ENG","U","140701","Y","SB","","",26-AUG-19,28-OCT-24
"10:H:G","10 H","Chemical Eng - SM pre-HST","Chemical Engineering","10","Chemical Engineering","Department of Chemical Engineering","Engineering","School of Engineering","000000","Beginning of Time","1995SU","Summer Term 1995","H","G","140701","Y","SM","Masters","Masters",22-SEP-95,28-OCT-24
"10:M:G","10 M","Chemical Eng - SM/Eng","Chemical Engineering","10","Chemical Engineering","Department of Chemical Engineering","Engineering","School of Engineering","000000","Beginning of Time","999999","End of Time","M","G","140701","Y","SM","Masters","Masters",23-JUL-15,28-OCT-24
"10:NIE:G","10 NIE","Chemical Eng - Exchange","Chemical Engineering","10","Chemical Engineering","Department of Chemical Engineering","Engineering","School of Engineering","2004SP","Spring Term 2003-2004","999999","End of Time","NIE","G","140701","N","NDG","","",31-MAR-05,28-OCT-24
"10:NIE:U","10 NIE","Chemical Eng - UG Exchange","Chemical Engineering","10","Chemical Engineering","Department of Chemical Engineering","Engineering","School of Engineering","2004FA","Fall Term 2003-2004","999999","End of Time","NIE","U","140701","N","NDG","","",31-MAR-05,28-OCT-24
"10:NIV:G","10 NIV","Chemical Eng - Visiting","Chemical Engineering","10","Chemical Engineering","Department of Chemical Engineering","Engineering","School of Engineering","2004SP","Spring Term 2003-2004","999999","End of Time","NIV","G","140701","N","NDG","","",31-MAR-05,28-OCT-24
"10:NIV:U","10 NIV","Chemical Eng - Visiting","Chemical Engineering","10","Chemical Engineering","Department of Chemical Engineering","Engineering","School of Engineering","2005FA","Fall Term 2004-2005","999999","End of Time","NIV","U","140701","N","NDG","","",31-MAR-05,28-OCT-24
"10:TP:G","10 TP","Chemical Eng - SM Tech & Pol","Chemical Engineering (Technology and Policy Program)","10","Chemical Engineering","Department of Chemical Engineering","Engineering","School of Engineering","000000","Beginning of Time","2004FA","Fall Term 2003-2004","TP","G","140701","Y","SM","Masters","Masters",19-MAR-04,28-OCT-24
"10:TPD:G","10 TPD","Chemical Eng -DOC Tech & Pol","Chemical Engineering (Technology and Policy Program)","10","Chemical Engineering","Department of Chemical Engineering","Engineering","School of Engineering","000000","Beginning of Time","2004FA","Fall Term 2003-2004","TPD","G","140701","Y","DOC","Doctoral","Doctoral",19-MAR-04,28-OCT-24
"11:6:U","11 6","Urb Sci & Pl with Comp Sci","Urban Science and Planning with Computer Science (Course 11-6)","11","Urban Studies and Planning","Department of Urban Studies and Planning","Architecture and Planning","School of Architecture and Planning","2019FA","Fall Term 2018-2019","999999","End of Time","6","U","040301","Y","SB","","",12-MAY-20,28-OCT-24
"11::G","11","Urban Studies and Planning","Urban Studies and Planning","11","Urban Studies and Planning","Department of Urban Studies and Planning","Architecture and Planning","School of Architecture and Planning","1969SU","Summer Term 1969","999999","End of Time","","G","040301","N","NDG","","",23-JUL-15,28-OCT-24
"11::U","11","Planning","Planning (Course 11)","11","Urban Studies and Planning","Department of Urban Studies and Planning","Architecture and Planning","School of Architecture and Planning","000000","Beginning of Time","999999","End of Time","","U","040301","Y","SB","","",12-MAY-20,28-OCT-24
"11:CT:G","11 CT","Urb St & Plan - SM Transportn","Urban Studies and Planning (Transportation Studies)","11","Urban Studies and Planning","Department of Urban Studies and Planning","Architecture and Planning","School of Architecture and Planning","000000","Beginning of Time","999999","End of Time","CT","G","140804","Y","SM","Masters","Masters",23-JUL-15,28-OCT-24
"11:CTD:G","11 CTD","Urb St & Plan - DOC Transportn","Urban Studies and Planning (Transportation Studies)","11","Urban Studies and Planning","Department of Urban Studies and Planning","Architecture and Planning","School of Architecture and Planning","2018FA","Fall Term 2017-2018","999999","End of Time","CTD","G","140804","Y","DOC","Doctoral","Doctoral",21-MAR-17,28-OCT-24
"11:D:G","11 D","Urb St & Plan - Doctoral","Urban Studies and Planning","11","Urban Studies and Planning","Department of Urban Studies and Planning","Architecture and Planning","School of Architecture and Planning","000000","Beginning of Time","999999","End of Time","D","G","040301","Y","DOC","Doctoral","Doctoral",23-JUL-15,28-OCT-24
