"DEPARTMENT_CODE","DEPARTMENT_NAME","DEPARTMENT_FULL_NAME","SCHOOL_CODE","SCHOOL_NAME","DEPT_BUDGET_CODE","IS_DEGREE_GRANTING","DEPT_NAME_IN_COMMENCEMENT_BK","SCHOOL_NAME_IN_COMMENCEMENT_BK","DEPARTMENT_NAME_HISTORY","DEPARTMENT_LAST_ACTIVITY_DATE","DLC_KEY","WAREHOUSE_LOAD_DATE"
"INN","Innovation Initiative","INN-Innovation Initiative","Y","MIT, academic","","N","","","",04-MAY-16,"D_MITOI",28-OCT-24
"SENG","School of Engineering","SENG-School of Engineering","E","Engineering","060000","Y","Program in School of Engineering","School of Engineering","",17-FEB-94,"D_DOE",28-OCT-24
"CON","Concourse","CON-Concourse","Y","MIT, academic","069600","N","","","",05-MAR-07,"D_CONCOURSE",28-OCT-24
"1","Civil and Environmental Eng","1-Civil and Environmental Eng","E","Engineering","063000","Y","Department of Civil and Environmental Engineering","School of Engineering","Civil Eng (    )",21-AUG-96,"D_CEE",28-OCT-24
"OVC","Office of the Vice Chancellor","OVC-Office of the Vice Chancellor","Y","MIT, academic","","N","","","",12-APR-19,"D_OVC",28-OCT-24
"18","Mathematics","18-Mathematics","S","Science","154000","Y","Department of Mathematics","School of Science","",17-FEB-94,"D_MATHS",28-OCT-24
"9","Brain and Cognitive Sciences","9-Brain and Cognitive Sciences","S","Science","154500","Y","Department of Brain and Cognitive Sciences","School of Science","",17-FEB-94,"D_B&CS",28-OCT-24
"19","Meteorology & Physical Oceanog","19-Meteorology & Physical Oceanog","S","Science","153000","Y","Department of Meteorology","School of Science","",04-OCT-10,"D_EAPS",28-OCT-24
"12","Earth, Atmos & Planetary Sci","12-Earth, Atmos & Planetary Sci","S","Science","153000","Y","Department of Earth, Atmospheric, and Planetary Sciences","School of Science","",17-FEB-94,"D_EAPS",28-OCT-24
"5","Chemistry","5-Chemistry","S","Science","152000","Y","Department of Chemistry","School of Science","",17-FEB-94,"D_CHEM",28-OCT-24
"WHIT","Whit Col of Health, Sci & Tech","WHIT-Whit Col of Health, Sci & Tech","T","Whitaker Coll of HST;  HST","160000","Y","Program in Whit Col of Health, Sci & Tech","Whitaker College of Health Sciences and Technology","",17-FEB-94,"D_WHIT",28-OCT-24
"HPM","Health Policy & Management","HPM-Health Policy & Management","T","Whitaker Coll of HST;  HST","160000","Y","","Whitaker College of Health Sciences and Technology","",17-FEB-94,"D_WHIT",28-OCT-24
"WHOI","Woods Hole Oceanographic Inst","WHOI-Woods Hole Oceanographic Inst","Y","MIT, academic","401860","N","","","",27-AUG-99,"D_VPRESOFF",28-OCT-24
"6","Electrical Eng & Computer Sci","6-Electrical Eng & Computer Sci","E","Engineering","064000","Y","Department of Electrical Engineering and Computer Science","School of Engineering","",17-FEB-94,"D_EECS",28-OCT-24
"ODGE","Dean for Graduate Education","ODGE-Dean for Graduate Education","Y","MIT, academic","442700","N","","","",15-JUL-08,"D_DEANGRAD",28-OCT-24
