"COURSE_NUMBER","SUBJECT_CODE","SUBJECT_CODE_DESC","DEPARTMENT_CODE","DEPARTMENT_NAME","SCHOOL_CODE","SCHOOL_NAME","WAREHOUSE_LOAD_DATE"
"HA5","HA5","Harvard, old","NIH","Harvard Cross-Enrollment Prog","Z","Non-MIT",28-OCT-24
"HA6","HA6","Harvard, old","NIH","Harvard Cross-Enrollment Prog","Z","Non-MIT",28-OCT-24
"HA7","HA7","Harvard, old","NIH","Harvard Cross-Enrollment Prog","Z","Non-MIT",28-OCT-24
"HA8","HA8","Harvard, old","NIH","Harvard Cross-Enrollment Prog","Z","Non-MIT",28-OCT-24
"HA9","HA9","Harvard, old","NIH","Harvard Cross-Enrollment Prog","Z","Non-MIT",28-OCT-24
"OLD","OLD","Old subjects","","","","",28-OCT-24
"SPE","SPE","Old subjects","","","","",28-OCT-24
"SPS","SPS","Old subjects","","","","",28-OCT-24
"SRE","SRE","Old subjects","","","","",28-OCT-24
"WBH","WBH","Wellesley, old","NIW","Wellesley Cross-Enrollment Pro","Z","Non-MIT",28-OCT-24
"WBL","WBL","Wellesley, old","NIW","Wellesley Cross-Enrollment Pro","Z","Non-MIT",28-OCT-24
"WCL","WCL","Wellesley, old","NIW","Wellesley Cross-Enrollment Pro","Z","Non-MIT",28-OCT-24
"WEL","WEL","Wellesley, old","NIW","Wellesley Cross-Enrollment Pro","Z","Non-MIT",28-OCT-24
"19","19","Meteorology - old","12","Earth, Atmos & Planetary Sci","S","Science",28-OCT-24
"23","23","Modern Languages - old","21F","Global Studies & Languages","H","Hum, Arts & Social Sciences",28-OCT-24
"EC","EC","Edgerton Center","EC","Edgerton Center","Y","MIT, academic",28-OCT-24
"TH","TH","Thesis - old","","","","",28-OCT-24
"4AS","4AS","Old subjects","","","","",28-OCT-24
"HD","HD","Old subjects","","","","",28-OCT-24
"HE","HE","Old subjects","","","","",28-OCT-24
"MU","MU","Old subjects","","","","",28-OCT-24
"GEN","GEN","Old subjects; still in use","","","","",28-OCT-24
"21F","21F","Foreign Languages/Literatures","21F","Global Studies & Languages","H","Hum, Arts & Social Sciences",28-OCT-24
"HAD","HAD","Harvard, Dental","NIH","Harvard Cross-Enrollment Prog","Z","Non-MIT",28-OCT-24
"21A","21A","Anthropology","21A","Anthropology","H","Hum, Arts & Social Sciences",28-OCT-24
"21H","21H","History","21H","History","H","Hum, Arts & Social Sciences",28-OCT-24
"21L","21L","Literature","21L","Literature","H","Hum, Arts & Social Sciences",28-OCT-24
"21M","21M","Music and Theater Arts","21M","Music","H","Hum, Arts & Social Sciences",28-OCT-24
"21W","21W","Writing & Humanistic Studies","21W","Writing & Humanistic Studies","H","Hum, Arts & Social Sciences",28-OCT-24
"BUG","BUG","Boston University","NIB","","","",28-OCT-24
"CHM","CHM","old - for CHM.BIO Req't","","","","",28-OCT-24
"ELE","ELE","old - for electives","","","","",28-OCT-24
"MAS","MAS","Prog in Media Arts & Sciences","MAS","Prog in Media Arts Sciences","A","Architecture and Planning",28-OCT-24
"WAF","WAF","Wellesley, African Studies","NIW","Wellesley Cross-Enrollment Pro","Z","Non-MIT",28-OCT-24
"A","A","old","","","","",28-OCT-24
"D","D","old - drawing","","","","",28-OCT-24
"E","E","old","","","","",28-OCT-24
"G","G","old","","","","",28-OCT-24
"H","H","old","","","","",28-OCT-24
"L","L","old","","","","",28-OCT-24
"M","M","old - Mathematics","18","Mathematics","S","Science",28-OCT-24
"N","N","old","","","","",28-OCT-24
"VIS","VIS","Research for Visiting Students","","","","",28-OCT-24
