"BUILDING_KEY","FLOOR_KEY","SPACE_UNIT_KEY","SPACE_USAGE_KEY","BUILDING_ROOM","BUILDING_ROOM_NAME","ROOM_NUMBER","ROOM_SQUARE_FOOTAGE","ROOM_COUNTER","BUILDING_COMPONENT","WAREHOUSE_LOAD_DATE"
"1","0","063000",35,"1-033","1 -  033","33",1033.03,1,"1",28-OCT-24
"1","0","063000",36,"1-030","1 -  030","30",146.81,1,"1",28-OCT-24
"1","0","063000",36,"1-047A","1 -  047A","47A",271.15,1,"1",28-OCT-24
"1","0","063000",36,"1-047B","1 -  047B","47B",34.6,1,"1",28-OCT-24
"1","0","063000",36,"1-050","1 -  050","50",998.16,1,"1",28-OCT-24
"1","0","063000",36,"1-053A","1 -  053A","53A",70.2,1,"1",28-OCT-24
"1","0","063000",36,"1-068","1 -  068","68",170.63,1,"1",28-OCT-24
"1","0","063000",36,"1-068A","1 -  068A","68A",92.25,1,"1",28-OCT-24
"1","0","063000",36,"1-078","1 -  078","78",211.98,1,"1",28-OCT-24
"1","0","063000",36,"1-080","1 -  080","80",562.94,1,"1",28-OCT-24
"1","0","063000",36,"1-081A","1 -  081A","81A",104.96,1,"1",28-OCT-24
"1","0","063000",36,"1-081B","1 -  081B","81B",36.28,1,"1",28-OCT-24
"1","0","063000",36,"1-084","1 -  084","84",539.25,1,"1",28-OCT-24
"1","0","063000",36,"1-090","1 -  090","90",549.87,1,"1",28-OCT-24
"1","0","063000",36,"1-090A","1 -  090A","90A",126.72,1,"1",28-OCT-24
"1","0","063000",54,"1-041","1 -  041","41",222.44,1,"1",28-OCT-24
"1","0","063000",69,"1-034","1 -  034","34",1152.17,1,"1",28-OCT-24
"1","0","063000",69,"1-034A","1 -  034A","34A",122.63,1,"1",28-OCT-24
"1","0","063000",69,"1-040","1 -  040","40",859.76,1,"1",28-OCT-24
"1","0","063000",69,"1-065","1 -  065","65",253.56,1,"1",28-OCT-24
"1","0","063000",69,"1-067","1 -  067","67",248.93,1,"1",28-OCT-24
"1","0","063000",69,"1-071","1 -  071","71",504.23,1,"1",28-OCT-24
"1","0","063000",69,"1-081","1 -  081","81",774.06,1,"1",28-OCT-24
"1","0","063000",69,"1-081BA","1 -  081BA","81BA",301.99,1,"1",28-OCT-24
"1","0","063000",69,"1-085","1 -  085","85",107.14,1,"1",28-OCT-24
"1","0","063000",69,"1-087","1 -  087","87",355.62,1,"1",28-OCT-24
"1","0","063000",81,"1-047","1 -  047","47",1316.06,1,"1",28-OCT-24
"1","0","063000",81,"1-053","1 -  053","53",494.34,1,"1",28-OCT-24
"1","0","063000",81,"1-063","1 -  063","63",630,1,"1",28-OCT-24
"1","0","065000",36,"1-015","1 -  015","15",851.13,1,"1",28-OCT-24
"1","0","065000",36,"1-025B","1 -  025B","25B",58,1,"1",28-OCT-24
"1","0","065000",36,"1-025C","1 -  025C","25C",4.38,1,"1",28-OCT-24
"1","0","065000",69,"1-007","1 -  007","07",1236.3,1,"1",28-OCT-24
"1","0","065000",69,"1-010","1 -  010","10",1010.41,1,"1",28-OCT-24
"1","0","065000",69,"1-013","1 -  013","13",319.9,1,"1",28-OCT-24
"1","0","065000",69,"1-025","1 -  025","25",1016.53,1,"1",28-OCT-24
"1","0","065000",69,"1-025A","1 -  025A","25A",143.61,1,"1",28-OCT-24
"1","0","065000",70,"1-004A","1 -  004A","04A",172.1,1,"1",28-OCT-24
"1","0","065000",70,"1-010A","1 -  010A","10A",245.94,1,"1",28-OCT-24
"1","0","065000",81,"1-004","1 -  004","04",957.59,1,"1",28-OCT-24
"1","0","065000",81,"1-005","1 -  005","05",573.38,1,"1",28-OCT-24
"1","0","591000",17,"1-000CA","1 -  000CA","00CA",677.21,1,"1",28-OCT-24
"1","0","591000",17,"1-000CB","1 -  000CB","00CB",1700.45,1,"1",28-OCT-24
"1","0","591000",17,"1-000CC","1 -  000CC","00CC",1225.1,1,"1",28-OCT-24
"1","0","591000",18,"1-069J","1 -  069J","69J",114,1,"1",28-OCT-24
"1","0","591000",18,"1-070J","1 -  070J","70J",21,1,"1",28-OCT-24
"1","0","591000",24,"1-001E","1 -  001E","01E",338.33,1,"1",28-OCT-24
"1","0","591000",24,"1-015AE","1 -  015AE","15AE",9.72,1,"1",28-OCT-24
"1","0","591000",24,"1-015E","1 -  015E","15E",17.11,1,"1",28-OCT-24
"1","0","591000",24,"1-037E","1 -  037E","37E",11.02,1,"1",28-OCT-24
"1","0","591000",24,"1-039E","1 -  039E","39E",319.62,1,"1",28-OCT-24
"1","0","591000",24,"1-071E","1 -  071E","71E",5.22,1,"1",28-OCT-24
"1","0","591000",47,"1-027","1 -  027","27",133.47,1,"1",28-OCT-24
"1","0","591000",60,"1-027A","1 -  027A","27A",25,1,"1",28-OCT-24
"1","0","591000",71,"1-000Z","1 -  000Z","00Z",636.2,1,"1",28-OCT-24
"1","0","591000",71,"1-025AAZ","1 -  025AAZ","25AAZ",26.25,1,"1",28-OCT-24
"1","0","591000",71,"1-025ABZ","1 -  025ABZ","25ABZ",10.13,1,"1",28-OCT-24
"1","0","591000",71,"1-025ACZ","1 -  025ACZ","25ACZ",12.85,1,"1",28-OCT-24
"1","0","591000",71,"1-025Z","1 -  025Z","25Z",12.58,1,"1",28-OCT-24
"1","0","591000",77,"1-000SA","1 -  000SA","00SA",180.67,1,"1",28-OCT-24
"1","0","591000",77,"1-000SB","1 -  000SB","00SB",97.4,1,"1",28-OCT-24
"1","0","591000",77,"1-000SC","1 -  000SC","00SC",87.41,1,"1",28-OCT-24
"1","0","591000",82,"1-050T","1 -  050T","50T",65.28,1,"1",28-OCT-24
"1","0","591000",85,"1-023","1 -  023","23",49.83,1,"1",28-OCT-24
"1","0","591000",85,"1-023A","1 -  023A","23A",51.27,1,"1",28-OCT-24
"1","0","591000",85,"1-042AA","1 -  042AA","42AA",51.91,1,"1",28-OCT-24
"1","0","591000",85,"1-044","1 -  044","44",940.6,1,"1",28-OCT-24
"1","0","591000",85,"1-050AA","1 -  050AA","50AA",6.25,1,"1",28-OCT-24
"1","0","591000",85,"1-074","1 -  074","74",461.25,1,"1",28-OCT-24
"1","0","591000",85,"1-084A","1 -  084A","84A",89.53,1,"1",28-OCT-24
"1","0","591040",45,"1-042","1 -  042","42",107.63,1,"1",28-OCT-24
"1","1","060000",54,"1-123A","1 -  123A","23A",362.44,1,"1",28-OCT-24
"1","1","060000",54,"1-125","1 -  125","25",98.33,1,"1",28-OCT-24
"1","1","060000",55,"1-123C","1 -  123C","23C",17.42,1,"1",28-OCT-24
"1","1","060000",67,"1-123","1 -  123","23",218.08,1,"1",28-OCT-24
"1","1","063000",12,"1-131","1 -  131","31",780.89,1,"1",28-OCT-24
"1","1","063000",12,"1-141","1 -  141","41",998.76,1,"1",28-OCT-24
"1","1","063000",12,"1-143A","1 -  143A","43A",175.88,1,"1",28-OCT-24
"1","1","063000",13,"1-143","1 -  143","43",590.09,1,"1",28-OCT-24
"1","1","063000",54,"1-138","1 -  138","38",279.31,1,"1",28-OCT-24
"1","1","063000",54,"1-139A","1 -  139A","39A",131.28,1,"1",28-OCT-24
"1","1","063000",54,"1-139B","1 -  139B","39B",87.83,1,"1",28-OCT-24
"1","1","063000",54,"1-151","1 -  151","51",475.4,1,"1",28-OCT-24
"1","1","063000",54,"1-153B","1 -  153B","53B",177.76,1,"1",28-OCT-24
"1","1","063000",54,"1-163A","1 -  163A","63A",121.88,1,"1",28-OCT-24
"1","1","063000",54,"1-165","1 -  165","65",290.38,1,"1",28-OCT-24
"1","1","063000",54,"1-170","1 -  170","70",161.96,1,"1",28-OCT-24
"1","1","063000",54,"1-171","1 -  171","71",222.72,1,"1",28-OCT-24
"1","1","063000",54,"1-172","1 -  172","72",147.58,1,"1",28-OCT-24
"1","1","063000",54,"1-173","1 -  173","73",282.43,1,"1",28-OCT-24
"1","1","063000",54,"1-174","1 -  174","74",157.17,1,"1",28-OCT-24
"1","1","063000",54,"1-175","1 -  175","75",248.82,1,"1",28-OCT-24
"1","1","063000",54,"1-175A","1 -  175A","75A",238.33,1,"1",28-OCT-24
"1","1","063000",54,"1-176","1 -  176","76",147.58,1,"1",28-OCT-24
"1","1","063000",54,"1-178","1 -  178","78",146.63,1,"1",28-OCT-24
"1","1","063000",54,"1-179","1 -  179","79",111.86,1,"1",28-OCT-24
"1","1","063000",54,"1-179A","1 -  179A","79A",113.06,1,"1",28-OCT-24
"1","1","063000",54,"1-180","1 -  180","80",153.33,1,"1",28-OCT-24
"1","1","063000",54,"1-181","1 -  181","81",300.68,1,"1",28-OCT-24
"1","1","063000",55,"1-143B","1 -  143B","43B",202.09,1,"1",28-OCT-24
"1","1","063000",55,"1-151A","1 -  151A","51A",16.65,1,"1",28-OCT-24
"1","1","063000",55,"1-153","1 -  153","53",137.13,1,"1",28-OCT-24
"1","1","063000",55,"1-163","1 -  163","63",109.87,1,"1",28-OCT-24
"1","1","063000",55,"1-163B","1 -  163B","63B",35.31,1,"1",28-OCT-24
