"FCLT_ORGANIZATION_KEY","SPACE_UNIT_KEY","SPACE_UNIT_CODE","SPACE_UNIT","DLC_KEY","WAREHOUSE_LOAD_DATE"
"286","060820","060820","","",28-OCT-24
"287","391000","391000","","",28-OCT-24
"238","441300","441300","","",28-OCT-24
"254","441600","441600","","",28-OCT-24
"128","409000","409000","Benefits Administration","D_BA",28-OCT-24
"265","409100","409100","Human Resources Department","D_HR",28-OCT-24
"182","402000","402000","Koch Institute for Integrative Cancer Research","D_KI",28-OCT-24
"102","038000","038000","Program in Art Culture & Technology","D_ACT",28-OCT-24
"103","446100","446100","Admissions","D_ADM",28-OCT-24
"101","874100","874100","Audiovisual Services","D_AVS",28-OCT-24
"133","405500","405500","Campus Activities Complex","D_CAC",28-OCT-24
"132","063000","063000","Civil & Environmental Engineering","D_CEE",28-OCT-24
"131","097500","097500","Center for International Studies","D_CIS",28-OCT-24
"120","400900","400900","Cambridge-MIT Institute","D_CMI",28-OCT-24
"268","090010","090010","Comparative Media Studies/Writing","D_CMS",28-OCT-24
"135","093800","093800","Comparative Media Studies/Writing","D_CMS",28-OCT-24
"140","033000","033000","Center for Real Estate","D_CRE",28-OCT-24
"181","159600","159600","Kavli Institute for Astrophysics & Space Research","D_CSR",28-OCT-24
"143","069500","069500","Center for Transportation & Logistics","D_CTL",28-OCT-24
"243","060000","060000","Dean of Engineering","D_DOE",28-OCT-24
"154","091000","091000","Economics","D_ECO",28-OCT-24
"162","159000","159000","Experimental Study Group","D_ESG",28-OCT-24
"167","093300","093300","Foreign Languages & Literature","D_FLL",28-OCT-24
"180","417000","417000","Institute for Soldier Nanotechnologies","D_ISN",28-OCT-24
"188","094000","094000","Linguistics & Philosophy","D_L&P",28-OCT-24
"186","170000","170000","Leaders for Global Operations","D_LGO",28-OCT-24
"193","093600","093600","Literature","D_LIT",28-OCT-24
"195","159900","159900","Laboratory for Nuclear Science","D_LNS",28-OCT-24
"192","401812","401812","List Visual Arts Center","D_LVA",28-OCT-24
"277","417500","417500","Materials Research Laboratory","D_MRL",28-OCT-24
"196","093700","093700","Music & Theater Arts","D_MTA",28-OCT-24
"205","060600","060600","Microsystems Technology Laboratory","D_MTL",28-OCT-24
"207","264000","264000","Nuclear Reactor Laboratory","D_NRL",28-OCT-24
"212","445000","445000","Faculty & Curriculum Support","D_OFS",28-OCT-24
"213","441100","441100","Office of Minority Education","D_OME",28-OCT-24
"220","061500","061500","Professional Education Programs","D_PEP",28-OCT-24
"233","446700","446700","Registrar","D_REG",28-OCT-24
"237","267000","267000","Research Lab Of Electronics","D_RLE",28-OCT-24
"255","449000","449000","Student Financial Services","D_SFS",28-OCT-24
"249","068200","068200","Singapore/MIT Alliance","D_SMA",28-OCT-24
"253","097000","097000","Program In Science, Technology & Society","D_STS",28-OCT-24
"257","441700","441700","Teaching and Learning Lab","D_TLL",28-OCT-24
"190","404000","404000","OSATT - Techology Licensing Office","D_TLO",28-OCT-24
"260","069900","069900","Technology & Policy Program","D_TPP",28-OCT-24
"106","871000","871000","Alumni Association","D_ALUM",28-OCT-24
"110","031000","031000","Architecture","D_ARCH",28-OCT-24
"108","401813","401813","Office of The Arts","D_ARTS",28-OCT-24
"115","154500","154500","Brain & Cognitive Sciences","D_B&CS",28-OCT-24
"119","405100","405100","Center for Advanced Educational Services","D_CAES",28-OCT-24
"126","152000","152000","Chemistry","D_CHEM",28-OCT-24
"130","068900","068900","Center for Innovation in Product Development","D_CIPD",28-OCT-24
"122","446600","446600","Career Serv & Pre-Prof Advising","D_CSPA",28-OCT-24
"174","090000","090000","Dean of Humanities & Social Sciences","D_DHSS",28-OCT-24
"204","066000","066000","Dept Material Science and Engineering","D_DMSE",28-OCT-24
"134","401830","401830","Dept Material Science and Engineering","D_DMSE",28-OCT-24
"262","035000","035000","Urban Studies & Planning","D_DUSP",28-OCT-24
"153","153000","153000","Earth, Atmospheric & Planetary Sciences","D_EAPS",28-OCT-24
"156","064000","064000","Electrical Engineering & Computer Science","D_EECS",28-OCT-24
"157","392000","392000","Environment, Health and Safety Office","D_EHSO",28-OCT-24
"226","497400","497400","Gray House","D_GRAY",28-OCT-24
"161","068100","068100","Institute for Data, Systems, and Society","D_IDSS",28-OCT-24
"175","061901","061901","Institute for Medical Engineering and Science","D_IMES",28-OCT-24
"179","404400","404400","Information Services and Technology","D_IS&T",28-OCT-24
"168","421200","421200","Information Services and Technology","D_IS&T",28-OCT-24
"158","320000","320000","MIT Energy Initiative","D_LFEE",28-OCT-24
"187","068700","068700","Laboratory for Information & Decision Systems","D_LIDS",28-OCT-24
"166","427000","427000","Office of Budget & Financial Planning","D_OBFP",28-OCT-24
"209","447100","447100","Office of Education, Innovation and Technology","D_OEIT",28-OCT-24
"221","159300","159300","Picower Institute for Learning & Memory","D_PILM",28-OCT-24
"231","243000","243000","Plasma Sciences & Fusion Center","D_PSFC",28-OCT-24
"240","187100","187100","ROTC area","D_ROTC",28-OCT-24
"241","187500","187500","ROTC area","D_ROTC",28-OCT-24
"242","187800","187800","ROTC area","D_ROTC",28-OCT-24
"250","159500","159500","Spectroscopy Laboratory","D_SPEC",28-OCT-24
"251","069400","069400","Sociotechnical Systems Research Center","D_SSRC",28-OCT-24
"252","441200","441200","Student Support and Well-being","D_SSWB",28-OCT-24
"282","404203","404203","OFFICE OF SUSTAINABILITY","D_SUST",28-OCT-24
"261","444000","444000","Office of First Year Advising & Programs","D_UAAP",28-OCT-24
"114","423000","423000","Audit Division","D_AUDIT",28-OCT-24
"127","062000","062000","Chemical Engineering","D_CHEME",28-OCT-24
