"DEGREE_CODE","DEGREE_DESC","DEGREE_DESC_SHORT","DEGREE_TYPE","DEGREE_TYPE_DESC","DEGREE_WEIGHT","FROM_TERM","THRU_TERM","DEPARTMENT","DEPT_NAME_IN_COMMENCEMENT_BK","SCHOOL_NAME_IN_COMMENCEMENT_BK","COURSE","COURSE_LEVEL","IS_DOUBLE_MAJOR","COMMENCEMENT_BK_COURSE_ROMAN","COMMENCEMENT_BK_SEE_ALSO","DEGREE_LAST_ACTIVITY_DATE","COURSE_LAST_ACTIVITY_DATE","WAREHOUSE_LOAD_DATE"
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","12","Department of Earth, Atmospheric, and Planetary Sciences","School of Science","12 FD","G","N","Course XII","Ph.D., Course XII",24-SEP-93,31-JAN-03,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","12","Department of Earth, Atmospheric, and Planetary Sciences","School of Science","12 AD","G","N","Course XII","Ph.D., Course XII",24-SEP-93,31-JAN-03,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","12","Department of Earth, Atmospheric, and Planetary Sciences","School of Science","12 BD","G","N","Course XII","Ph.D., Course XII",24-SEP-93,31-JAN-03,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","24","Department of Linguistics and Philosophy","School of Humanities, Arts, and Social Sciences","24 AD","G","N","Course XXIV","Ph.D., Course XXIV",24-SEP-93,05-DEC-02,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","9","Department of Brain and Cognitive Sciences","School of Science","9 ND","G","N","Course IX","Ph.D., Course IX",24-SEP-93,04-DEC-02,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","ESD","Engineering Systems Division","School of Engineering","ESD TPD","G","N","Course ESD","Ph.D., Engineering Systems",24-SEP-93,22-SEP-99,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","HST","Program in Health Sciences and Technology","School of Engineering","HST BD","G","N","Course HST","Ph.D., Health Sci. & Tech.",24-SEP-93,12-MAY-98,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","HST","Program in Health Sciences and Technology","School of Engineering","HST SD","G","N","Course HST","Ph.D., Health Sci. & Tech.",24-SEP-93,03-NOV-97,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","1","Department of Civil and Environmental Engineering","School of Engineering","1 TPD","G","N","Course I","Ph.D., Course I",24-SEP-93,21-MAR-97,28-OCT-24
"PHD","Doctor of Philosophy","Doctor of Philosophy","PHD","Doctor of Philosophy",8,"000000","999999","4","Department of Architecture","School of Architecture and Planning","4 HID","G","N","Course IV","Ph.D., Course IV",24-SEP-93,13-JAN-16,28-OCT-24
