"SUBJECT_ATTRIBUTE_CODE","SUBJECT_ATTRIBUTE_TYPE","SUBJECT_ATTRIBUTE_SHORT_DESC","SUBJECT_ATTRIBUTE_DESC","SUBJECT_ATTRIBUTE_REPORT_DESC","LAST_ACTIVITY_DATE","WAREHOUSE_LOAD_DATE"
"HLEV","A","H-level Credit","H-level Graduate Credit","",03-NOV-17,28-OCT-24
"RST2","A","Half REST","Half Rest Elec in Sci & Tech","",10-JUL-14,28-OCT-24
"RSTX","A","Half REST Ex","Half REST Exception","",26-AUG-14,28-OCT-24
"FYD","A","","First Year Discovery","",02-AUG-19,28-OCT-24
"CAL1","A","Calculus I","Calculus I","",26-APR-93,28-OCT-24
"CAL2","A","Calculus II","Calculus II","",26-APR-93,28-OCT-24
"CHEM","A","Chemistry","Chemistry","",26-APR-93,28-OCT-24
"BIOL","A","Biology","Biology","",26-APR-93,28-OCT-24
"PHY1","A","Physics I","Physics I","",27-NOV-93,28-OCT-24
"PHY2","A","Physics II","Physics II","",27-NOV-93,28-OCT-24
"LAB","A","Institute Lab","Institute Lab","",26-APR-93,28-OCT-24
"LAB2","A","Half Inst Lab","Half of the Institute Lab","",26-APR-93,28-OCT-24
"HD1","A","HASS-D 1","HASS-D, Category 1","HD-1",25-OCT-01,28-OCT-24
"HD2","A","HASS-D 2","HASS-D, Category 2","HD-2",25-OCT-01,28-OCT-24
"HD3","A","HASS-D 3","HASS-D, Category 3","HD-3",25-OCT-01,28-OCT-24
"HD4","A","HASS-D 4","HASS-D, Category 4","HD-4",25-OCT-01,28-OCT-24
"HD5","A","HASS-D 5","HASS-D, Category 5","HD-5",25-OCT-01,28-OCT-24
"HDL","A","HASS-D Lang","HASS-D, Language Option","HD-L",25-OCT-01,28-OCT-24
"WRT1","A","Phase I","Writing Requirement, Phase I","",26-APR-93,28-OCT-24
"WRT2","A","Phase II","Writing Requirement, Phase II","",26-APR-93,28-OCT-24
"HE","A","HASS-E","HASS Elective","",20-DEC-10,28-OCT-24
"COOP","A","","Co-op Subject","",23-OCT-02,28-OCT-24
"THES","A","Thesis","Thesis","",17-OCT-97,28-OCT-24
"ROTC","N","ROTC Subject","ROTC Subject","",26-APR-93,28-OCT-24
"ESG","N","","ESG","",26-APR-93,28-OCT-24
"ISP","N","","ISP","",26-APR-93,28-OCT-24
"Z5","A","","HUM-D, Economics","",09-MAY-95,28-OCT-24
"ZE","A","","HUM-D, Foreign Lang","",09-MAY-95,28-OCT-24
"ZF","A","","HUM-D, History","",09-MAY-95,28-OCT-24
"ZQ","A","","HUM-D, Philosophy","",09-MAY-95,28-OCT-24
"ZL","A","","HUM-D, Literature","",09-MAY-95,28-OCT-24
"ZO","A","","HUM-D, Music","",09-MAY-95,28-OCT-24
"ZR","A","","HUM-D, Political Sci","",09-MAY-95,28-OCT-24
"Z1","A","","HUM-D, Psychology","",09-MAY-95,28-OCT-24
"Z3","A","","HUM-D, Religious Studies","",09-MAY-95,28-OCT-24
"ZX","A","","HUM-D, STS","",09-MAY-95,28-OCT-24
"Z7","A","","HUM-D, Sociology","",09-MAY-95,28-OCT-24
"Z9","A","","HUM-D, Women's Studies","",09-MAY-95,28-OCT-24
"ZC","A","","HUM-D, Writing","",09-MAY-95,28-OCT-24
"Z2","A","","HUM-D, Urban Studies","",09-MAY-95,28-OCT-24
"SUPR","N","","Research Advisor tracked","",21-NOV-23,28-OCT-24
"VARU","A","","Variable Units","",25-FEB-99,28-OCT-24
"ZG","A","","HUM-D, History of Art/Arch","",09-MAY-95,28-OCT-24
"ZI","A","","HUM-D, Generic","",09-MAY-95,28-OCT-24
"ZK","A","","HUM-D, Linguistics","",09-MAY-95,28-OCT-24
"ZV","A","","HUM-D, Traditions and Texts","",09-MAY-95,28-OCT-24
"ZW","A","","HUM-D, American Studies","",09-MAY-95,28-OCT-24
"Z4","A","","HUM-D, Interdisc Subjects","",09-MAY-95,28-OCT-24
"Z6","A","","HUM-D, Labor in Industrial Soc","",09-MAY-95,28-OCT-24
"Z8","A","","HUM-D, Film and Media Studies","",09-MAY-95,28-OCT-24
"ZH","A","","HUM-D, Exper Study Group","",09-MAY-95,28-OCT-24
"B","A","Institute Lab","Institute Lab - Unconverted","",29-OCT-93,28-OCT-24
"REST","A","REST Elect","Restricted Elec in Sci & Tech","",02-NOV-93,28-OCT-24
"ZHUM","A","","HUM-D, Generic","",09-MAY-95,28-OCT-24
"RHES","A","Out of dept/pgm","Out of dept/pgm, H&E, H&S","",08-NOV-93,28-OCT-24
"CON","N","","Concourse","",13-DEC-93,28-OCT-24
"ROLL","N","","Roll Enrollable Subj","",09-JUN-94,28-OCT-24
"FCOR","A","Sloan Core","Fall Core, Sloan Masters","",14-JUN-94,28-OCT-24
"SCOR","A","Sloan Core","Spring Core, Sloan Masters","",14-JUN-94,28-OCT-24
"LINK","A","Linked HASS E1","Linked with HASS Elective","LINKED",25-OCT-01,28-OCT-24
"ZU","A","","HUM-D, Visual Arts and Design","",09-MAY-95,28-OCT-24
"ZY","A","","HUM-D, Anthropology/Arch","",09-MAY-95,28-OCT-24
"COXA","N","","Co-op Subject in X-A","",18-MAY-95,28-OCT-24
"CHIN","A","Chinese","Chinese","",21-JUN-95,28-OCT-24
"FREN","A","French","French","",21-JUN-95,28-OCT-24
"GERM","A","German","German","",21-JUN-95,28-OCT-24
"JAPA","A","Japanese","Japanese","",21-JUN-95,28-OCT-24
"SPAN","A","Spanish","Spanish","",21-JUN-95,28-OCT-24
"UROP","A","UROP subject","UROP subject","",22-JUN-95,28-OCT-24
"PRAC","A","","Chemical Eng. Practice School","",24-SEP-98,28-OCT-24
"UG6P","A","UG Record, 6P","Grad Subj in Undgrd record, 6P","",28-JUL-95,28-OCT-24
"RESH","A","","Pre-thesis Research Subject","",09-APR-99,28-OCT-24
"6HDR","N","","Course 6 header subject","",02-JAN-00,28-OCT-24
"TGRD","N","","Allow T grade","",20-FEB-01,28-OCT-24
"CIH","A","CI-H","Comm Reqt - Humanities","",25-APR-01,28-OCT-24
"CIHW","A","CI-HW","Comm Reqt - Expository Writing","",25-APR-01,28-OCT-24
"CIM","A","CI-M","Comm Reqt - Major (department)","",25-APR-01,28-OCT-24
"NTRN","A","Internship Subject","Internship Subject","NTRN",05-JUN-02,28-OCT-24
"HE2","A","Half HASS-E","Half HASS Elective","LINKED",20-DEC-10,28-OCT-24
"HA2","A","Half HASS-A","Half HASS Arts","",20-DEC-10,28-OCT-24
"HH2","A","Half HASS-H","Half HASS Humanities","",20-DEC-10,28-OCT-24
"HS2","A","Half HASS-S","Half HASS Social Sciences","",20-DEC-10,28-OCT-24
"HA","A","HASS-A","HASS Arts","",20-DEC-10,28-OCT-24
"HH","A","HASS-H","HASS Humanities","",20-DEC-10,28-OCT-24
"HS","A","HASS-S","HASS Social Sciences","",20-DEC-10,28-OCT-24
"URN","A","Paid UROP","Paid UROP","",05-MAY-09,28-OCT-24
"XLIS","N","No Listeners","Listeners not allowed","",20-JAN-17,28-OCT-24
"NCR","A","","Not for Cross Reg","",22-FEB-22,28-OCT-24
"NHCR","A","","Not for Cross Reg Harvard","",22-FEB-22,28-OCT-24
"LB1","A","1 unit of LAB","Inst Lab 1 unit","",05-SEP-17,28-OCT-24
"LB2","A","2 units of LAB","Inst Lab 2 units","",05-SEP-17,28-OCT-24
"LB3","A","3 units of LAB","Inst Lab 3 units","",05-SEP-17,28-OCT-24
"LB4","A","4 units of LAB","Inst Lab 4 units","",05-SEP-17,28-OCT-24
"LB5","A","5 units of LAB","Inst Lab 5 units","",05-SEP-17,28-OCT-24
"LB7","A","7 Units of LAB","Inst Lab 7 units","",05-SEP-17,28-OCT-24
"LB8","A","8 Units of LAB","Inst Lab 8 units","",05-SEP-17,28-OCT-24
"LB9","A","9 Units of LAB","Inst Lab 9 units","",05-SEP-17,28-OCT-24
"LB10","A","10 units of LAB","Inst Lab 10 units","",05-SEP-17,28-OCT-24
"LB11","A","11 Units of LAB","Inst Lab 11 units","",05-SEP-17,28-OCT-24
"FSEM","A","Freshman Seminar","Freshman Seminar","",03-NOV-17,28-OCT-24
"INDP","A","Independent Research","Independent Research","",03-NOV-17,28-OCT-24
"SWE","A","School Wide Elective","School Wide Elective","",03-NOV-17,28-OCT-24
"RPT","A","Repeatable","Repeatable for Credit","",03-NOV-17,28-OCT-24
"RTCC","A","For credit ROTC","For credit ROTC","",03-NOV-17,28-OCT-24
