"SUBJECT_GROUPING_KEY","TERM_CODE","DEPARTMENT_CODE","DEPARTMENT_NAME","DEPARTMENT_FULL_NAME","SCHOOL_NAME","WAREHOUSE_LOAD_DATE"
"1992FA11.00","1992FA","1","Civil and Environmental Eng","1-Civil and Environmental Eng","Engineering",28-OCT-24
"1992FA11.05","1992FA","1","Civil and Environmental Eng","1-Civil and Environmental Eng","Engineering",28-OCT-24
"1992FA11.12","1992FA","1","Civil and Environmental Eng","1-Civil and Environmental Eng","Engineering",28-OCT-24
"1992FA11.27","1992FA","1","Civil and Environmental Eng","1-Civil and Environmental Eng","Engineering",28-OCT-24
"1992FA11.30","1992FA","1","Civil and Environmental Eng","1-Civil and Environmental Eng","Engineering",28-OCT-24
"1992FA11.32","1992FA","1","Civil and Environmental Eng","1-Civil and Environmental Eng","Engineering",28-OCT-24
"1992FA11.40","1992FA","1","Civil and Environmental Eng","1-Civil and Environmental Eng","Engineering",28-OCT-24
"1992FA11.44","1992FA","1","Civil and Environmental Eng","1-Civil and Environmental Eng","Engineering",28-OCT-24
"1992FA11.46","1992FA","1","Civil and Environmental Eng","1-Civil and Environmental Eng","Engineering",28-OCT-24
"1992FA11.52","1992FA","1","Civil and Environmental Eng","1-Civil and Environmental Eng","Engineering",28-OCT-24
"1992FA11.53","1992FA","1","Civil and Environmental Eng","1-Civil and Environmental Eng","Engineering",28-OCT-24
"1992FA11.59","1992FA","1","Civil and Environmental Eng","1-Civil and Environmental Eng","Engineering",28-OCT-24
"1992FA11.66","1992FA","1","Civil and Environmental Eng","1-Civil and Environmental Eng","Engineering",28-OCT-24
"1992FA11.67","1992FA","1","Civil and Environmental Eng","1-Civil and Environmental Eng","Engineering",28-OCT-24
"1992FA11.70","1992FA","1","Civil and Environmental Eng","1-Civil and Environmental Eng","Engineering",28-OCT-24
"1992FA11.75","1992FA","1","Civil and Environmental Eng","1-Civil and Environmental Eng","Engineering",28-OCT-24
"1992FA11.77","1992FA","1","Civil and Environmental Eng","1-Civil and Environmental Eng","Engineering",28-OCT-24
"1992FA11.81","1992FA","1","Civil and Environmental Eng","1-Civil and Environmental Eng","Engineering",28-OCT-24
"1992FA11.82","1992FA","1","Civil and Environmental Eng","1-Civil and Environmental Eng","Engineering",28-OCT-24
"1992FA11.83","1992FA","1","Civil and Environmental Eng","1-Civil and Environmental Eng","Engineering",28-OCT-24
"1992FA11.85","1992FA","1","Civil and Environmental Eng","1-Civil and Environmental Eng","Engineering",28-OCT-24
"1992FA11.91","1992FA","1","Civil and Environmental Eng","1-Civil and Environmental Eng","Engineering",28-OCT-24
"1992FA11.92","1992FA","1","Civil and Environmental Eng","1-Civil and Environmental Eng","Engineering",28-OCT-24
"1992FA11.UR","1992FA","1","Civil and Environmental Eng","1-Civil and Environmental Eng","Engineering",28-OCT-24
"1992FA13.92","1992FA","1","Civil and Environmental Eng","1-Civil and Environmental Eng","Engineering",28-OCT-24
"1992FA21.12","1992FA","2","Mechanical Engineering","2-Mechanical Engineering","Engineering",28-OCT-24
"1992FA22.01","1992FA","2","Mechanical Engineering","2-Mechanical Engineering","Engineering",28-OCT-24
"1992FA22.02","1992FA","2","Mechanical Engineering","2-Mechanical Engineering","Engineering",28-OCT-24
"1992FA22.03","1992FA","2","Mechanical Engineering","2-Mechanical Engineering","Engineering",28-OCT-24
"1992FA22.14","1992FA","2","Mechanical Engineering","2-Mechanical Engineering","Engineering",28-OCT-24
"1992FA22.20","1992FA","2","Mechanical Engineering","2-Mechanical Engineering","Engineering",28-OCT-24
"1992FA22.30","1992FA","2","Mechanical Engineering","2-Mechanical Engineering","Engineering",28-OCT-24
"1992FA22.40","1992FA","2","Mechanical Engineering","2-Mechanical Engineering","Engineering",28-OCT-24
"1992FA22.41","1992FA","2","Mechanical Engineering","2-Mechanical Engineering","Engineering",28-OCT-24
"1992FA22.51","1992FA","2","Mechanical Engineering","2-Mechanical Engineering","Engineering",28-OCT-24
"1992FA22.54","1992FA","2","Mechanical Engineering","2-Mechanical Engineering","Engineering",28-OCT-24
"1992FA22.70","1992FA","2","Mechanical Engineering","2-Mechanical Engineering","Engineering",28-OCT-24
"1992FA22.75","1992FA","2","Mechanical Engineering","2-Mechanical Engineering","Engineering",28-OCT-24
"1992FA22.86","1992FA","2","Mechanical Engineering","2-Mechanical Engineering","Engineering",28-OCT-24
"1992FA22.97","1992FA","2","Mechanical Engineering","2-Mechanical Engineering","Engineering",28-OCT-24
"1992FA22.UR","1992FA","2","Mechanical Engineering","2-Mechanical Engineering","Engineering",28-OCT-24
"1992FA31.12","1992FA","3","Materials Science and Eng","3-Materials Science and Eng","Engineering",28-OCT-24
"1992FA33.01","1992FA","3","Materials Science and Eng","3-Materials Science and Eng","Engineering",28-OCT-24
"1992FA33.03","1992FA","3","Materials Science and Eng","3-Materials Science and Eng","Engineering",28-OCT-24
"1992FA33.04","1992FA","3","Materials Science and Eng","3-Materials Science and Eng","Engineering",28-OCT-24
"1992FA33.10","1992FA","3","Materials Science and Eng","3-Materials Science and Eng","Engineering",28-OCT-24
"1992FA33.11","1992FA","3","Materials Science and Eng","3-Materials Science and Eng","Engineering",28-OCT-24
"1992FA33.21","1992FA","3","Materials Science and Eng","3-Materials Science and Eng","Engineering",28-OCT-24
"1992FA33.29","1992FA","3","Materials Science and Eng","3-Materials Science and Eng","Engineering",28-OCT-24
"1992FA33.31","1992FA","3","Materials Science and Eng","3-Materials Science and Eng","Engineering",28-OCT-24
"1992FA33.33","1992FA","3","Materials Science and Eng","3-Materials Science and Eng","Engineering",28-OCT-24
"1992FA33.34","1992FA","3","Materials Science and Eng","3-Materials Science and Eng","Engineering",28-OCT-24
"1992FA33.35","1992FA","3","Materials Science and Eng","3-Materials Science and Eng","Engineering",28-OCT-24
"1992FA33.42","1992FA","3","Materials Science and Eng","3-Materials Science and Eng","Engineering",28-OCT-24
"1992FA33.49","1992FA","3","Materials Science and Eng","3-Materials Science and Eng","Engineering",28-OCT-24
"1992FA33.52","1992FA","3","Materials Science and Eng","3-Materials Science and Eng","Engineering",28-OCT-24
"1992FA33.55","1992FA","3","Materials Science and Eng","3-Materials Science and Eng","Engineering",28-OCT-24
"1992FA33.63","1992FA","3","Materials Science and Eng","3-Materials Science and Eng","Engineering",28-OCT-24
"1992FA33.64","1992FA","3","Materials Science and Eng","3-Materials Science and Eng","Engineering",28-OCT-24
"1992FA33.70","1992FA","3","Materials Science and Eng","3-Materials Science and Eng","Engineering",28-OCT-24
"1992FA33.92","1992FA","3","Materials Science and Eng","3-Materials Science and Eng","Engineering",28-OCT-24
"1992FA33.93","1992FA","3","Materials Science and Eng","3-Materials Science and Eng","Engineering",28-OCT-24
"1992FA33.94","1992FA","3","Materials Science and Eng","3-Materials Science and Eng","Engineering",28-OCT-24
"1992FA33.98","1992FA","3","Materials Science and Eng","3-Materials Science and Eng","Engineering",28-OCT-24
"1992FA33.99","1992FA","3","Materials Science and Eng","3-Materials Science and Eng","Engineering",28-OCT-24
"1992FA33.UR","1992FA","3","Materials Science and Eng","3-Materials Science and Eng","Engineering",28-OCT-24
"1992FA44.UR","1992FA","4","Architecture","4-Architecture","Architecture and Planning",28-OCT-24
"1992FA55.03","1992FA","5","Chemistry","5-Chemistry","Science",28-OCT-24
"1992FA55.05","1992FA","5","Chemistry","5-Chemistry","Science",28-OCT-24
"1992FA55.11","1992FA","5","Chemistry","5-Chemistry","Science",28-OCT-24
"1992FA55.12","1992FA","5","Chemistry","5-Chemistry","Science",28-OCT-24
"1992FA55.13","1992FA","5","Chemistry","5-Chemistry","Science",28-OCT-24
"1992FA55.22","1992FA","5","Chemistry","5-Chemistry","Science",28-OCT-24
"1992FA55.32","1992FA","5","Chemistry","5-Chemistry","Science",28-OCT-24
"1992FA55.43","1992FA","5","Chemistry","5-Chemistry","Science",28-OCT-24
"1992FA55.60","1992FA","5","Chemistry","5-Chemistry","Science",28-OCT-24
"1992FA55.62","1992FA","5","Chemistry","5-Chemistry","Science",28-OCT-24
"1992FA55.72","1992FA","5","Chemistry","5-Chemistry","Science",28-OCT-24
"1992FA55.74","1992FA","5","Chemistry","5-Chemistry","Science",28-OCT-24
"1992FA55.76","1992FA","5","Chemistry","5-Chemistry","Science",28-OCT-24
"1992FA55.89","1992FA","5","Chemistry","5-Chemistry","Science",28-OCT-24
"1992FA55.90","1992FA","5","Chemistry","5-Chemistry","Science",28-OCT-24
"1992FA55.UR","1992FA","5","Chemistry","5-Chemistry","Science",28-OCT-24
"1992FA57.88","1992FA","5","Chemistry","5-Chemistry","Science",28-OCT-24
"1992FA66.UR","1992FA","6","Electrical Eng & Computer Sci","6-Electrical Eng & Computer Sci","Engineering",28-OCT-24
"1992FA77.02","1992FA","7","Biology","7-Biology","Science",28-OCT-24
"1992FA77.05","1992FA","7","Biology","7-Biology","Science",28-OCT-24
"1992FA77.08","1992FA","7","Biology","7-Biology","Science",28-OCT-24
"1992FA77.11","1992FA","7","Biology","7-Biology","Science",28-OCT-24
"1992FA77.16","1992FA","7","Biology","7-Biology","Science",28-OCT-24
"1992FA77.22","1992FA","7","Biology","7-Biology","Science",28-OCT-24
"1992FA77.29","1992FA","7","Biology","7-Biology","Science",28-OCT-24
"1992FA77.37","1992FA","7","Biology","7-Biology","Science",28-OCT-24
"1992FA77.47","1992FA","7","Biology","7-Biology","Science",28-OCT-24
"1992FA77.60","1992FA","7","Biology","7-Biology","Science",28-OCT-24
"1992FA77.63","1992FA","7","Biology","7-Biology","Science",28-OCT-24
"1992FA77.64","1992FA","7","Biology","7-Biology","Science",28-OCT-24
"1992FA77.70","1992FA","7","Biology","7-Biology","Science",28-OCT-24
"1992FA77.72","1992FA","7","Biology","7-Biology","Science",28-OCT-24
"1992FA77.73","1992FA","7","Biology","7-Biology","Science",28-OCT-24
"1992FA77.77","1992FA","7","Biology","7-Biology","Science",28-OCT-24
"1992FA77.85","1992FA","7","Biology","7-Biology","Science",28-OCT-24
"1992FA77.88","1992FA","7","Biology","7-Biology","Science",28-OCT-24
"1992FA77.93","1992FA","7","Biology","7-Biology","Science",28-OCT-24
"1992FA77.UR","1992FA","7","Biology","7-Biology","Science",28-OCT-24
