"TIP_SUBJECT_OFFERED_KEY","TIP_MATERIAL_KEY","TIP_MATERIAL_STATUS_KEY","TERM_CODE","SUBJECT_ID","ISBN","RECORD_COUNT","WAREHOUSE_LOAD_DATE"
"","002013SU","EO","2013SU","ESD.250","00",1,28-OCT-24
"","002017SP","RQ","2017SP","CANC.21L.007","00",1,28-OCT-24
"","9780143123934NW13","RQ","","21L.003","9780143123934",1,28-OCT-24
"","9780573799815JOHN","RQ","","21M.715","9780573799815",1,28-OCT-24
"","9780446603775DAWN87","RQ","","21L.504","9780446603775",1,28-OCT-24
"","9788492865406PAPI11","RQ","","21G.739","9788492865406",1,28-OCT-24
"","9788492865406PAPI11","RQ","","21L.639","9788492865406",1,28-OCT-24
"","9780765385253BINTI15","RQ","","21L.015","9780765385253",1,28-OCT-24
"","9781559365321SWEAT17","RQ","","21M.715","9781559365321",1,28-OCT-24
"","9780143105138AENEID06","RQ","","21L.001","9780143105138",1,28-OCT-24
"","9780307950178TAIPEI13","RQ","","STS.441","9780307950178",1,28-OCT-24
"","9780486452388SUMMER06","RQ","","21L.707","9780486452388",1,28-OCT-24
"","9780810130630NETHER15","RQ","","21M.715","9780810130630",1,28-OCT-24
"","9781451669411HAMLET12","RQ","","21M.600","9781451669411",1,28-OCT-24
"","8220032479274EBK IMPRO","EO","","15.321","8220032479274",1,28-OCT-24
"","9780140268867ODYSSEY96","RQ","","21L.001","9780140268867",1,28-OCT-24
"","9780312398989OTHELLO07","RQ","","21L.010","9780312398989",1,28-OCT-24
"","9780486266893CANDIDE91","RC","","15.490","9780486266893",1,28-OCT-24
"","9780553213393INFERNO82","RQ","","21L.001","9780553213393",1,28-OCT-24
"","9780553213393INFERNO82","RQ","","21L.021","9780553213393",1,28-OCT-24
"","9780553447453EVICTED16","RQ","","15.703","9780553447453",1,28-OCT-24
"","9780573695667ARCADIA93","RQ","","21L.486","9780573695667",1,28-OCT-24
"","9780787970932TEAMING12","RC","","15.321","9780787970932",1,28-OCT-24
"","9780802142443KITCHEN93","RQ","","21G.022","9780802142443",1,28-OCT-24
"","9780802142443KITCHEN93","RQ","","21L.048","9780802142443",1,28-OCT-24
"","9780802142443KITCHEN93","RQ","","WGS.141","9780802142443",1,28-OCT-24
"","9780811213998TRILOGY73","RQ","","21L.487","9780811213998",1,28-OCT-24
"","9781136610455EBK IMPRO","EO","","15.321","9781136610455",1,28-OCT-24
"","9781250083258SELLOUT15","RQ","","21L.003","9781250083258",1,28-OCT-24
"","9781555976903CITIZEN14","RQ","","21L.004","9781555976903",1,28-OCT-24
"","9781555976903CITIZEN14","RQ","","21L.325","9781555976903",1,28-OCT-24
"","9781555976903CITIZEN14","RQ","","21L.504","9781555976903",1,28-OCT-24
"","9781555976903CITIZEN14","RQ","","21W.771","9781555976903",1,28-OCT-24
"","8220100566509EBK IMPRO0","EO","","15.321","8220100566509",1,28-OCT-24
"","8220100566509EBK IMPRO1","EO","","15.321","8220100566509",1,28-OCT-24
"","8220100566509EBK IMPRO1","NL","","15.321","8220100566509",1,28-OCT-24
"","9780141441610LORD JIM07","RQ","","21L.709","9780141441610",1,28-OCT-24
"","9780393338416AUDITION10","RQ","","21G.065","9780393338416",1,28-OCT-24
"","9780573662447EURYDICE08","RQ","","21L.486","9780573662447",1,28-OCT-24
"","9780593314609PUSH2022FA","RC","2022FA","CANC.SPO","9780593314609",1,28-OCT-24
"","9780593314609PUSH2022SP","RC","2022SP","CANC.STORE","9780593314609",1,28-OCT-24
"","9780679721819MAMA DAY88","RQ","","21L.707","9780679721819",1,28-OCT-24
"","9780822235729RED SPEEDO","RQ","","21M.715","9780822235729",1,28-OCT-24
"","9781136610455EBK IMPRO0","EO","","15.321","9781136610455",1,28-OCT-24
"","9781136610455EBK IMPRO1","EO","","15.321","9781136610455",1,28-OCT-24
"","9781136610455EBK IMPRO1","NL","","15.321","9781136610455",1,28-OCT-24
"","9781250062932PRIMATES15","RC","","WGS.S10","9781250062932",1,28-OCT-24
"","9780140436648ADAM BEDE08","RQ","","21L.471","9780140436648",1,28-OCT-24
"","9780143106234CIVIL WAR12","RQ","","21H.336","9780143106234",1,28-OCT-24
