"TIP_MATERIAL_KEY","ISBN","TITLE","AUTHOR","EDITION","PUBLISHER","YEAR","NEW_SHELF_PRICE","USED_SHELF_PRICE","RENTAL_NEW_PRICE","RENTAL_USED_PRICE","MATERIAL_INFO_SOURCE"
"02023FA","0","","","","","",57.07,42.8,0,0,"COOP"
"002011SP","00","                                       ","              ","       ","          ","",18.1,13.6,0,0,"COOP"
"002011SU","00","                                       ","              ","       ","          ","",168.6,126.45,0,0,"COOP"
"002012FA","00","                                       ","              ","       ","          ","",84.35,63.25,0,0,"COOP"
"002012FA","00","                                       ","              ","       ","          ","",156.75,117.55,0,0,"COOP"
"002012FA","00","                                       ","              ","       ","          ","",157.75,118.3,0,0,"COOP"
"002013FA","00","                                       ","              ","       ","          ","",122.4,91.8,0,0,"COOP"
"002013FA","00","                                       ","              ","       ","          ","",156.6,117.45,0,0,"COOP"
"002013SU","00","                                       ","              ","","          ","",93.4,70.05,0,0,"COOP"
"002017SP","00","                                       ","              ","","          ","",0,0,0,0,"COOP"
"002017SP","00","                                       ","              ","","          ","",18.4,13.8,0,0,"COOP"
"002017SP","00","                                       ","              ","","          ","",19.2,14.4,0,0,"COOP"
"002017SP","00","                                       ","              ","","          ","",76.95,57.7,0,0,"COOP"
"002017SP","00","                                       ","              ","","          ","",103.75,77.8,0,0,"COOP"
"002018FA","00","                                       ","              ","","          ","",236,177,0,0,"COOP"
"002018FA","00","                                       ","              ","","          ","",278,208.5,0,0,"COOP"
"002018FA","00","                                       ","              ","","          ","",111.1,83.35,0,0,"COOP"
"002018FA","00","                                       ","              ","","          ","",125.7,94.3,0,0,"COOP"
"002018JA","00","                                       ","              ","","          ","",19.98,15,0,0,"COOP"
"9780143123934NW13","9780143123934","NW","Smith, Zadie","","Penguin Publishing Group","2013",16,12,0,0,"ISBN"
"9780573799815JOHN","9780573799815","John","Baker, Annie","","Samuel French Limited","2016",11.35,8.5,0,0,"ISBN"
"9780446603775DAWN87","9780446603775","Dawn","Butler, Octavia E.","","Grand Central Publishing","1997",18,13.5,0,0,"ISBN"
"9788492865406PAPI11","9788492865406","Papi","Indiana, Rita","","Editorial Periferica","2012",22.95,17.2,0,0,"ISBN"
"9780765385253BINTI15","9780765385253","Binti","Okorafor, Nnedi","","Tom Doherty Associates, LLC","2015",9.99,7.5,0,0,"ISBN"
"9781559365321SWEAT17","9781559365321","Sweat","Nottage, Lynn","","Theatre Communications Group, Incorporated","2017",14.95,11.2,0,0,"ISBN"
"0Golson / 520002010FA","0","Golson / 5","","","","2000",,,0,0,"OTI"
"0Mingus / 620002010FA","0","Mingus / 6","","","","2000",,,0,0,"OTI"
"0Tyner / 1320002010FA","0","Tyner / 13","","","","2000",,,0,0,"OTI"
"9780143105138AENEID06","9780143105138","The Aeneid: (Penguin Classics Deluxe Edition)","Virgil; Fagles, Robert (Translator); Knox, Bernard (Introduction by)","","Penguin Publishing Group","2008",18,13.5,0,0,"ISBN"
"9780307950178TAIPEI13","9780307950178","Taipei","Lin, Tao","","Knopf Doubleday Publishing Group","2013",16,12,0,0,"ISBN"
"9780307950178TAIPEI13","9780307950178","Taipei","Lin, Tao","","Knopf Doubleday Publishing Group","2013",14.95,11.2,0,0,"ISBN"
"9780486452388SUMMER06","9780486452388","Summer","Wharton, Edith","","Dover Publications, Incorporated","2006",4.95,3.7,0,0,"ISBN"
"9780810130630NETHER15","9780810130630","The Nether: A Play","Haley, Jennifer","","Northwestern University Press","2014",15,11.25,0,0,"ISBN"
"9781451669411HAMLET12","9781451669411","The Tragedy of Hamlet: Prince of Denmark","Shakespeare, William; Mowat, Barbara A. (Editor); Werstine, Paul (Editor)","","Simon & Schuster","2012",9.95,7.45,0,0,"ISBN"
"0Harvey / 1920002010FA","0","Harvey / 19","","","","2000",,,0,0,"OTI"
"0Silver / 1120002010FA","0","Silver / 11","","","","2000",,,0,0,"OTI"
"0T. Monk / 220002010FA","0","T. Monk / 2","","","","2000",,,0,0,"OTI"
"8220032479274EBK IMPRO","8220032479274","Ebk Impro                              ","Johnstone     ","","Dgtl Bncom","",18.45,0,0,0,"COOP"
"9780140268867ODYSSEY96","9780140268867","The Odyssey","Knox, Bernard (Introduction by, Notes by); Fagles, Robert (Translator); Homer","","Penguin Publishing Group","1997",18,13.5,0,0,"ISBN"
"9780312398989OTHELLO07","9780312398989","Othello: Texts and Contexts","Shakespeare, William","","Bedford/Saint Martin's","2006",21.15,15.85,0,0,"ISBN"
"9780312398989OTHELLO07","9780312398989","Othello: Texts and Contexts","Shakespeare, William","","Bedford/Saint Martin's","2006",21.95,16.45,0,0,"ISBN"
"9780486266893CANDIDE91","9780486266893","Candide","Voltaire, Francois; Arouet, Francois-Marie (Editor)","","Dover Publications, Incorporated","1991",3,2.25,0,0,"ISBN"
"9780486266893CANDIDE91","9780486266893","Candide","Voltaire, Francois; Arouet, Francois-Marie (Editor)","","Dover Publications, Incorporated","1991",5.5,4.15,0,0,"ISBN"
"9780553213393INFERNO82","9780553213393","Inferno","Dante; Mandelbaum, Allen (Translator)","","Random House Publishing Group","1982",6.95,5.2,0,0,"ISBN"
"9780553447453EVICTED16","9780553447453","Evicted: Poverty and Profit in the American City","Desmond, Matthew","","Crown Publishing Group","2016",17,12.75,0,0,"ISBN"
"9780573695667ARCADIA93","9780573695667","Arcadia","Stoppard, Tom","","Samuel French Incorporated","2011",11.35,8.5,0,0,"ISBN"
"9780787970932TEAMING12","9780787970932","Teaming: How Organizations Learn, Innovate, and Compete in the Knowledge Economy","Edmondson, Amy C.; Schein, Edgar H.","","John Wiley & Sons, Incorporated","2012",29.95,22.45,0,0,"ISBN"
"9780787970932TEAMING12","9780787970932","Teaming: How Organizations Learn, Innovate, and Compete in the Knowledge Economy","Edmondson, Amy C.; Schein, Edgar H.","","John Wiley & Sons, Incorporated","2012",32.85,24.65,0,0,"ISBN"
