"TIP_SUBJECT_OFFERED_KEY","TERM_CODE","IS_NO_COURSE_MATERIAL","MASTER_COURSE_NUMBER","MASTER_COURSE_NUMBER_SORT","MASTER_COURSE_NUMBER_DESC","MASTER_SUBJECT_ID","MASTER_SUBJECT_ID_SORT","COURSE_NUMBER","COURSE_NUMBER_SORT","COURSE_NUMBER_DESC","SUBJECT_ID","SUBJECT_ID_SORT","SUBJECT_TITLE","OFFER_DEPT_CODE","OFFER_DEPT_NAME","OFFER_SCHOOL_NAME","RESPONSIBLE_FACULTY_NAME","RESPONSIBLE_FACULTY_MIT_ID","NUM_ENROLLED_STUDENTS","WAREHOUSE_LOAD_DATE"
"001000001992FA","1992FA","","1","  1","Civil and Environmental Eng","1.00","1.00","1","  1","Civil and Environmental Eng","1.00","  1.00","Computers &Eng Prob Solv","1","Civil and Environmental Eng","Engineering","","",0,28-OCT-24
"001000001993SP","1993SP","","1","  1","Civil and Environmental Eng","1.00","1.00","1","  1","Civil and Environmental Eng","1.00","  1.00","Computers &Eng Prob Solv","1","Civil and Environmental Eng","Engineering","","",0,28-OCT-24
"001000001994FA","1994FA","","1","  1","Civil and Environmental Eng","1.00","1.00","1","  1","Civil and Environmental Eng","1.00","  1.00","Computers &Eng Prob Solv","1","Civil and Environmental Eng","Engineering","","",0,28-OCT-24
"001000001994SP","1994SP","","1","  1","Civil and Environmental Eng","1.00","1.00","1","  1","Civil and Environmental Eng","1.00","  1.00","Computers &Eng Prob Solv","1","Civil and Environmental Eng","Engineering","","",0,28-OCT-24
"001000001995FA","1995FA","","1","  1","Civil and Environmental Eng","1.00","1.00","1","  1","Civil and Environmental Eng","1.00","  1.00","Computers &Eng Prob Solv","1","Civil and Environmental Eng","Engineering","Mc Laughlin, Dennis","900026886",114,28-OCT-24
"001000001995SP","1995SP","","1","  1","Civil and Environmental Eng","1.00","1.00","1","  1","Civil and Environmental Eng","1.00","  1.00","Computers &Eng Prob Solv","1","Civil and Environmental Eng","Engineering","Kausel, Eduardo","900006166",224,28-OCT-24
"001000001996FA","1996FA","","1","  1","Civil and Environmental Eng","1.00","1.00","1","  1","Civil and Environmental Eng","1.00","  1.00","Computers & Engin Prob Solving","1","Civil and Environmental Eng","Engineering","Wilson, Nigel","900029642",105,28-OCT-24
"001000001996SP","1996SP","","1","  1","Civil and Environmental Eng","1.00","1.00","1","  1","Civil and Environmental Eng","1.00","  1.00","Computers & Engin Prob Solving","1","Civil and Environmental Eng","Engineering","","",205,28-OCT-24
"001000001997FA","1997FA","","1","  1","Civil and Environmental Eng","1.00","1.00","1","  1","Civil and Environmental Eng","1.00","  1.00","Computers & Engin Prob Solving","1","Civil and Environmental Eng","Engineering","Lerman, Steven","900017622",78,28-OCT-24
"001000001997SP","1997SP","","1","  1","Civil and Environmental Eng","1.00","1.00","1","  1","Civil and Environmental Eng","1.00","  1.00","Computers & Engin Prob Solving","1","Civil and Environmental Eng","Engineering","Kausel, Eduardo","900006166",179,28-OCT-24
"001000001998FA","1998FA","","1","  1","Civil and Environmental Eng","1.00","1.00","1","  1","Civil and Environmental Eng","1.00","  1.00","Computers & Engin Prob Solving","1","Civil and Environmental Eng","Engineering","Lerman, Steven","900017622",111,28-OCT-24
"001000001998SP","1998SP","","1","  1","Civil and Environmental Eng","1.00","1.00","1","  1","Civil and Environmental Eng","1.00","  1.00","Computers & Engin Prob Solving","1","Civil and Environmental Eng","Engineering","Wilson, Nigel","900029642",136,28-OCT-24
"001000001999FA","1999FA","","1","  1","Civil and Environmental Eng","1.00","1.00","1","  1","Civil and Environmental Eng","1.00","  1.00","Computers & Engin Prob Solving","1","Civil and Environmental Eng","Engineering","Lerman, Steven","900017622",74,28-OCT-24
"001000001999SP","1999SP","","1","  1","Civil and Environmental Eng","1.00","1.00","1","  1","Civil and Environmental Eng","1.00","  1.00","Computers & Engin Prob Solving","1","Civil and Environmental Eng","Engineering","Kausel, Eduardo","900006166",117,28-OCT-24
"001000002000FA","2000FA","","1","  1","Civil and Environmental Eng","1.00","1.00","1","  1","Civil and Environmental Eng","1.00","  1.00","Computers & Engin Prob Solving","1","Civil and Environmental Eng","Engineering","Lerman, Steven","900017622",58,28-OCT-24
"001000002000SP","2000SP","","1","  1","Civil and Environmental Eng","1.00","1.00","1","  1","Civil and Environmental Eng","1.00","  1.00","Computers & Engin Prob Solving","1","Civil and Environmental Eng","Engineering","Wilson, Nigel","900029642",155,28-OCT-24
"001000002001FA","2001FA","","1","  1","Civil and Environmental Eng","1.00","1.00","1","  1","Civil and Environmental Eng","1.00","  1.00","Computers & Engin Prob Solving","1","Civil and Environmental Eng","Engineering","Lerman, Steven","900017622",65,28-OCT-24
"001000002001SP","2001SP","","1","  1","Civil and Environmental Eng","1.00","1.00","1","  1","Civil and Environmental Eng","1.00","  1.00","Computers & Engin Prob Solving","1","Civil and Environmental Eng","Engineering","Kocur, George","900024831",161,28-OCT-24
"001000002002FA","2002FA","","1","  1","Civil and Environmental Eng","1.00","1.00","1","  1","Civil and Environmental Eng","1.00","  1.00","Computers & Engin Prob Solving","1","Civil and Environmental Eng","Engineering","Kocur, George","900024831",58,28-OCT-24
"001000002002SP","2002SP","","1","  1","Civil and Environmental Eng","1.00","1.00","1","  1","Civil and Environmental Eng","1.00","  1.00","Computers & Engin Prob Solving","1","Civil and Environmental Eng","Engineering","Kocur, George","900024831",169,28-OCT-24
"001000002003FA","2003FA","","1","  1","Civil and Environmental Eng","1.00","1.00","1","  1","Civil and Environmental Eng","1.00","  1.00","Computers & Engin Prob Solving","1","Civil and Environmental Eng","Engineering","Lerman, Steven","900017622",69,28-OCT-24
"001000002003SP","2003SP","","1","  1","Civil and Environmental Eng","1.00","1.00","1","  1","Civil and Environmental Eng","1.00","  1.00","Computers & Engin Prob Solving","1","Civil and Environmental Eng","Engineering","Kocur, George","900024831",160,28-OCT-24
"001000002004FA","2004FA","","1","  1","Civil and Environmental Eng","1.00","1.00","1","  1","Civil and Environmental Eng","1.00","  1.00","Computers & Engin Prob Solving","1","Civil and Environmental Eng","Engineering","Lerman, Steven","900017622",87,28-OCT-24
"001000002004SP","2004SP","","1","  1","Civil and Environmental Eng","1.00","1.00","1","  1","Civil and Environmental Eng","1.00","  1.00","Computers & Engin Prob Solving","1","Civil and Environmental Eng","Engineering","Kocur, George","900024831",164,28-OCT-24
"001000002005FA","2005FA","","1","  1","Civil and Environmental Eng","1.00","1.00","1","  1","Civil and Environmental Eng","1.00","  1.00","Computers & Engin Prob Solving","1","Civil and Environmental Eng","Engineering","Lerman, Steven","900017622",75,28-OCT-24
"001000002005SP","2005SP","","1","  1","Civil and Environmental Eng","1.00","1.00","1","  1","Civil and Environmental Eng","1.00","  1.00","Computers & Engin Prob Solving","1","Civil and Environmental Eng","Engineering","Kocur, George","900024831",188,28-OCT-24
"001000002006FA","2006FA","","1","  1","Civil and Environmental Eng","1.00","1.00","1","  1","Civil and Environmental Eng","1.00","  1.00","Computers & Engin Prob Solving","1","Civil and Environmental Eng","Engineering","Lerman, Steven","900017622",64,28-OCT-24
"001000002006SP","2006SP","","1","  1","Civil and Environmental Eng","1.00","1.00","1","  1","Civil and Environmental Eng","1.00","  1.00","Computers & Engin Prob Solving","1","Civil and Environmental Eng","Engineering","Kocur, George","900024831",134,28-OCT-24
"001000002007FA","2007FA","","1","  1","Civil and Environmental Eng","1.00","1.00","1","  1","Civil and Environmental Eng","1.00","  1.00","Computers & Engin Prob Solving","1","Civil and Environmental Eng","Engineering","Lerman, Steven","900017622",110,28-OCT-24
"001000002007SP","2007SP","","1","  1","Civil and Environmental Eng","1.00","1.00","1","  1","Civil and Environmental Eng","1.00","  1.00","Computers & Engin Prob Solving","1","Civil and Environmental Eng","Engineering","Kocur, George","900024831",169,28-OCT-24
"001000002008FA","2008FA","","1","  1","Civil and Environmental Eng","1.00","1.00","1","  1","Civil and Environmental Eng","1.00","  1.00","Computers & Engin Prob Solving","1","Civil and Environmental Eng","Engineering","Harward, Judson","900008299",92,28-OCT-24
"001000002008SP","2008SP","","1","  1","Civil and Environmental Eng","1.00","1.00","1","  1","Civil and Environmental Eng","1.00","  1.00","Computers & Engin Prob Solving","1","Civil and Environmental Eng","Engineering","Kocur, George","900024831",134,28-OCT-24
"001000002009FA","2009FA","","1","  1","Civil and Environmental Eng","1.00","1.00","1","  1","Civil and Environmental Eng","1.00","  1.00","Intro Comp & Engr Prob Solving","1","Civil and Environmental Eng","Engineering","Harward, Judson","900008299",122,28-OCT-24
"001000002009SP","2009SP","","1","  1","Civil and Environmental Eng","1.00","1.00","1","  1","Civil and Environmental Eng","1.00","  1.00","Intro Comp & Engr Prob Solving","1","Civil and Environmental Eng","Engineering","Harward, Judson","900008299",129,28-OCT-24
"001000002010FA","2010FA","N","1","  1","Civil and Environmental Eng","1.00","1.00","1","  1","Civil and Environmental Eng","1.00","  1.00","Intro Comp & Engr Prob Solving","1","Civil and Environmental Eng","Engineering","Harward, Judson","900008299",99,28-OCT-24
"001000002010SP","2010SP","N","1","  1","Civil and Environmental Eng","1.00","1.00","1","  1","Civil and Environmental Eng","1.00","  1.00","Intro Comp & Engr Prob Solving","1","Civil and Environmental Eng","Engineering","Kocur, George","900024831",111,28-OCT-24
"001000002011FA","2011FA","N","1","  1","Civil and Environmental Eng","1.00","1.00","1","  1","Civil and Environmental Eng","1.00","  1.00","Intro Comp & Engr Prob Solving","1","Civil and Environmental Eng","Engineering","Harward, Judson","900008299",120,28-OCT-24
