"BUILDING_KEY","BUILDING_NUMBER","BUILDING_NAME","BUILDING_STREET_ADDRESS","BUILDING_MAILING_ADDRESS","BLDG_GROSS_SQUARE_FOOTAGE","BLDG_ASSIGNABLE_SQUARE_FOOTAGE","BUILDING_COUNTER","WAREHOUSE_LOAD_DATE"
"NW32","NW32","BUILDING NW32","230 ALBANY STREET","",30052.65,18918.81,1,28-OCT-24
"NW35","NW35","Ashdown House","235  ALBANY ST","",252747.43,158677.44,1,28-OCT-24
"NW36","NW36","BUILDING NW36","250 ALBANY STREET","",2045.25,1604.82,1,28-OCT-24
"NW38","NW38","BUILDING NW38","250 ALBANY STREET","",2835,2463.75,1,28-OCT-24
"NW38A","NW38A","BUILDING NW38A","250 ALBANY STREET","",705,420.79,1,28-OCT-24
"NW61","NW61","Random Hall","282-290 MASSACHUSETTS AVE","",39469.53,25163.08,1,28-OCT-24
"NW86","NW86","70 Pacific Street Dormitory","70 PACIFIC ST","",362686.82,251866.41,1,28-OCT-24
"NW86P","NW86P","70 Pacific Street Dormitory Garage","70 PACIFIC ST","",52869.94,41866.72,1,28-OCT-24
"NW98","NW98","BUILDING NW98","12 EMILY ST","",15190.63,10525.29,1,28-OCT-24
"OC1","OC1","Endicott House","80  HAVEN ST","",29214.19,17229.44,1,28-OCT-24
"OC100","OC100","BUILDING OC100","820 FIRST ST NE","",2649.3,1891.48,1,28-OCT-24
"OC101","OC101","BUILDING OC101","1 DUPONT CIRCLE NW","",0,0,1,28-OCT-24
"OC11","OC11","1 Summer Street","1 SUMMER ST","",8789.53,6630.71,1,28-OCT-24
"OC15","OC15","22 BLAKE STREET","22 BLAKE STREET","",24877.07,23795.23,1,28-OCT-24
"OC19A","OC19A","Bates LINAC: Administration Bldg","21 MANNING AVE","",6766.98,5452.12,1,28-OCT-24
"OC19B","OC19B","Bates LINAC: Research Bldg","21 MANNING AVE","",13810.89,10430.44,1,28-OCT-24
"OC19C","OC19C","BATES LINAC: North Experimental Hall","21 MANNING AVE","",6081.18,5375.22,1,28-OCT-24
"OC19D","OC19D","BATES LINAC: Warehouse #2","21 MANNING AVE","",7760.09,7211.92,1,28-OCT-24
"OC19E","OC19E","BATES LINAC: Ring Service Building","21 MANNING AVE","",3058.54,2225.79,1,28-OCT-24
"OC19F","OC19F","BATES LINAC: South Experimental Hall","21 MANNING AVE","",58104.54,30868.54,1,28-OCT-24
