"PROGRAM_CODE","PROGRAM_TITLE","CATEGORY_CODE","CATEGORY_TITLE","FOUR_DIGIT_CODE","FOUR_DIGIT_TITLE","NOTE","WAREHOUSE_LOAD_DATE","VERSION"
"010000","Agriculture, General","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0100","Agriculture, General","(2020) No substantive changes ",17-MAY-23,"2020"
"010100","Agricultural Business and Management","01","AGRICULTURAL BUSINESS AND PRODUCTION","0101","Agricultural Business and Management","",11-JUN-14,"1990"
"010101","Agricultural Business and Management, General","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0101","Agricultural Business and Management","(2020) No substantive changes ",17-MAY-23,"2020"
"010102","Agribusiness/Agricultural Business Operations","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0101","Agricultural Business and Management","(2020) No substantive changes ",17-MAY-23,"2020"
"010103","Agricultural Economics","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0101","Agricultural Business and Management","(2020) No substantive changes ",17-MAY-23,"2020"
"010104","Farm/Farm and Ranch Management","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0101","Agricultural Business and Management","(2020) No substantive changes ",17-MAY-23,"2020"
"010105","Agricultural/Farm Supplies Retailing and Wholesaling","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0101","Agricultural Business and Management","(2020) No substantive changes ",17-MAY-23,"2020"
"010106","Agricultural Business Technology/Technician","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0101","Agricultural Business and Management","(2020) No substantive changes- CIP text change ",17-MAY-23,"2020"
"010199","Agricultural Business and Management, Other","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0101","Agricultural Business and Management","(2020) No substantive changes ",17-MAY-23,"2020"
"010200","Agricultural Mechanization","01","AGRICULTURAL BUSINESS AND PRODUCTION","0102","Agricultural Mechanization","",11-JUN-14,"1990"
"010201","Agricultural Mechanization, General","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0102","Agricultural Mechanization","(2020) No substantive changes ",17-MAY-23,"2020"
"010204","Agricultural Power Machinery Operation","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0102","Agricultural Mechanization","(2020) No substantive changes ",17-MAY-23,"2020"
"010205","Agricultural Mechanics and Equipment/Machine Technology/Technician","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0102","Agricultural Mechanization","(2020) No substantive changes- CIP text change ",17-MAY-23,"2020"
"010207","Irrigation Management Technology/Technician","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0102","Agricultural Mechanization","New in 2020",17-MAY-23,"2020"
"010299","Agricultural Mechanization, Other","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0102","Agricultural Mechanization","(2020) No substantive changes ",17-MAY-23,"2020"
"010300","Agricultural Production Workers and Managers","01","AGRICULTURAL BUSINESS AND PRODUCTION","0103","Agricultural Production Workers and Managers","",11-JUN-14,"1990"
"010301","Agricultural Production Operations, General","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0103","Agricultural Production Operations","(2020) No substantive changes ",17-MAY-23,"2020"
"010302","Animal/Livestock Husbandry and Production","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0103","Agricultural Production Operations","(2020) No substantive changes ",17-MAY-23,"2020"
"010303","Aquaculture","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0103","Agricultural Production Operations","(2020) No substantive changes ",17-MAY-23,"2020"
"010304","Crop Production","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0103","Agricultural Production Operations","(2020) No substantive changes ",17-MAY-23,"2020"
"010306","Dairy Husbandry and Production","01","AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS","0103","Agricultural Production Operations","(2020) No substantive changes ",17-MAY-23,"2020"
