"CIP_WITH_VERSION_KEY","VERSION","PROGRAM_CODE","PROGRAM_TITLE","CATEGORY_CODE","CATEGORY_TITLE","FOUR_DIGIT_CODE","FOUR_DIGIT_TITLE","WAREHOUSE_LOAD_DATE"
"1313102000","2000","131310","Sales and Marketing Operations/Marketing and Distribution Teacher Education","13","EDUCATION","1313","Teacher Education and Professional Development, Specific Subject Areas",27-MAR-03
"1313112000","2000","131311","Mathematics Teacher Education","13","EDUCATION","1313","Teacher Education and Professional Development, Specific Subject Areas",27-MAR-03
"1313122000","2000","131312","Music Teacher Education","13","EDUCATION","1313","Teacher Education and Professional Development, Specific Subject Areas",27-MAR-03
"1313142000","2000","131314","Physical Education Teaching and Coaching","13","EDUCATION","1313","Teacher Education and Professional Development, Specific Subject Areas",27-MAR-03
"1313152000","2000","131315","Reading Teacher Education","13","EDUCATION","1313","Teacher Education and Professional Development, Specific Subject Areas",27-MAR-03
"1313162000","2000","131316","Science Teacher Education/General Science Teacher Education","13","EDUCATION","1313","Teacher Education and Professional Development, Specific Subject Areas",27-MAR-03
"1313172000","2000","131317","Social Science Teacher Education","13","EDUCATION","1313","Teacher Education and Professional Development, Specific Subject Areas",27-MAR-03
"1313182000","2000","131318","Social Studies Teacher Education","13","EDUCATION","1313","Teacher Education and Professional Development, Specific Subject Areas",27-MAR-03
"1313192000","2000","131319","Technical Teacher Education","13","EDUCATION","1313","Teacher Education and Professional Development, Specific Subject Areas",27-MAR-03
"1313202000","2000","131320","Trade and Industrial Teacher Education","13","EDUCATION","1313","Teacher Education and Professional Development, Specific Subject Areas",27-MAR-03
"1313212000","2000","131321","Computer Teacher Education","13","EDUCATION","1313","Teacher Education and Professional Development, Specific Subject Areas",27-MAR-03
"1313222000","2000","131322","Biology Teacher Education","13","EDUCATION","1313","Teacher Education and Professional Development, Specific Subject Areas",27-MAR-03
"1313232000","2000","131323","Chemistry Teacher Education","13","EDUCATION","1313","Teacher Education and Professional Development, Specific Subject Areas",27-MAR-03
"1313242000","2000","131324","Drama and Dance Teacher Education","13","EDUCATION","1313","Teacher Education and Professional Development, Specific Subject Areas",27-MAR-03
"1313252000","2000","131325","French Language Teacher Education","13","EDUCATION","1313","Teacher Education and Professional Development, Specific Subject Areas",27-MAR-03
"1313262000","2000","131326","German Language Teacher Education","13","EDUCATION","1313","Teacher Education and Professional Development, Specific Subject Areas",27-MAR-03
"1313272000","2000","131327","Health Occupations Teacher Education","13","EDUCATION","1313","Teacher Education and Professional Development, Specific Subject Areas",27-MAR-03
"1313282000","2000","131328","History Teacher Education","13","EDUCATION","1313","Teacher Education and Professional Development, Specific Subject Areas",27-MAR-03
"1313292000","2000","131329","Physics Teacher Education","13","EDUCATION","1313","Teacher Education and Professional Development, Specific Subject Areas",27-MAR-03
"1313302000","2000","131330","Spanish Language Teacher Education","13","EDUCATION","1313","Teacher Education and Professional Development, Specific Subject Areas",27-MAR-03
"1313312000","2000","131331","Speech Teacher Education","13","EDUCATION","1313","Teacher Education and Professional Development, Specific Subject Areas",27-MAR-03
"1313322000","2000","131332","Geography Teacher Education","13","EDUCATION","1313","Teacher Education and Professional Development, Specific Subject Areas",27-MAR-03
"1313332000","2000","131333","Latin Teacher Education","13","EDUCATION","1313","Teacher Education and Professional Development, Specific Subject Areas",27-MAR-03
"1313342000","2000","131334","School Librarian/School Library Media Specialist","13","EDUCATION","1313","Teacher Education and Professional Development, Specific Subject Areas",27-MAR-03
"1313352000","2000","131335","Psychology Teacher Education","13","EDUCATION","1313","Teacher Education and Professional Development, Specific Subject Areas",27-MAR-03
"1313992000","2000","131399","Teacher Education and Professional Development, Specific Subject Areas, Other","13","EDUCATION","1313","Teacher Education and Professional Development, Specific Subject Areas",27-MAR-03
"1314012000","2000","131401","Teaching English as a Second or Foreign Language/ESL Language Instructor","13","EDUCATION","1314","Teaching English or French as a Second or Foreign Language",27-MAR-03
"1314022000","2000","131402","Teaching French as a Second or Foreign Language","13","EDUCATION","1314","Teaching English or French as a Second or Foreign Language",27-MAR-03
"1314992000","2000","131499","Teaching English or French as a Second or Foreign Language, Other","13","EDUCATION","1314","Teaching English or French as a Second or Foreign Language",27-MAR-03
"1315012000","2000","131501","Teacher Assistant/Aide","13","EDUCATION","1315","Teaching Assistants/Aides",27-MAR-03
"1315022000","2000","131502","Adult Literacy Tutor/Instructor","13","EDUCATION","1315","Teaching Assistants/Aides",27-MAR-03
"1315992000","2000","131599","Teaching Assistants/Aides, Other","13","EDUCATION","1315","Teaching Assistants/Aides",27-MAR-03
"1399992000","2000","139999","Education, Other","13","EDUCATION","1399","Education, Other",27-MAR-03
"1401012000","2000","140101","Engineering, General","14","ENGINEERING","1401","Engineering, General",27-MAR-03
"1402012000","2000","140201","Aerospace, Aeronautical and Astronautical Engineering","14","ENGINEERING","1402","Aerospace, Aeronautical and Astronautical Engineering",27-MAR-03
"1403012000","2000","140301","Agricultural/Biological Engineering and Bioengineering","14","ENGINEERING","1403","Agricultural/Biological Engineering and Bioengineering",27-MAR-03
"1404012000","2000","140401","Architectural Engineering","14","ENGINEERING","1404","Architectural Engineering",27-MAR-03
"1405012000","2000","140501","Biomedical/Medical Engineering","14","ENGINEERING","1405","Biomedical/Medical Engineering",27-MAR-03
