"ACADEMIC_YEAR","SUBJECT_ID","SUBJECT_CODE","SUBJECT_NUMBER","SOURCE_SUBJECT_ID","PRINT_SUBJECT_ID","IS_PRINTED_IN_BULLETIN","DEPARTMENT_CODE","DEPARTMENT_NAME","EFFECTIVE_TERM_CODE","SUBJECT_SHORT_TITLE","SUBJECT_TITLE","IS_VARIABLE_UNITS","LECTURE_UNITS","LAB_UNITS","PREPARATION_UNITS","TOTAL_UNITS","DESIGN_UNITS","GRADE_TYPE","GRADE_TYPE_DESC","GRADE_RULE","GRADE_RULE_DESC","HGN_CODE","HGN_DESC","HGN_EXCEPT","GIR_ATTRIBUTE","GIR_ATTRIBUTE_DESC","COMM_REQ_ATTRIBUTE","COMM_REQ_ATTRIBUTE_DESC","TUITION_ATTRIBUTE","TUITION_ATTRIBUTE_DESC","WRITE_REQ_ATTRIBUTE","WRITE_REQ_ATTRIBUTE_DESC","SUPERVISOR_ATTRIBUTE","SUPERVISOR_ATTRIBUTE_DESC","PREREQUISITES","SUBJECT_DESCRIPTION","JOINT_SUBJECTS","SCHOOL_WIDE_ELECTIVES","MEETS_WITH_SUBJECTS","EQUIVALENT_SUBJECTS","IS_OFFERED_THIS_YEAR","IS_OFFERED_FALL_TERM","IS_OFFERED_IAP","IS_OFFERED_SPRING_TERM","IS_OFFERED_SUMMER_TERM","FALL_INSTRUCTORS","SPRING_INSTRUCTORS","STATUS_CHANGE","LAST_ACTIVITY_DATE","WAREHOUSE_LOAD_DATE","MASTER_SUBJECT_ID","HASS_ATTRIBUTE","HASS_ATTRIBUTE_DESC","TERM_DURATION","GLOBAL_REGIONS","GLOBAL_COUNTRIES","ON_LINE_PAGE_NUMBER","SO_SUBJECT_ID","SO_TERM_CODE","SO_TERM_DESCRIPTION","SO_CLUSTER_TYPE","SECTION_ID","IS_MASTER_SECTION","IS_LECTURE_SECTION","IS_LAB_SECTION","IS_RECITATION_SECTION","IS_DESIGN_SECTION","RESPONSIBLE_FACULTY_NAME","RESPONSIBLE_FACULTY_MIT_ID","MEET_TIME","MEET_PLACE"
"2003","1.00","1","00","1.00","1.00","Y","1","Civil and Environmental Eng","2003FA","Computers & Engin Prob Solving","Introduction to Computers and Engineering Problem Solving","N",5,1,6,12,3,"L","Letter graded","N","Not repeatable for credit","U","Undergraduate","","REST","Rest Elec in Sci & Tech","","","","","","","","","18.01","Fundamental software development and computational methods for engineering and scientific applications. Object-oriented software design and development. Weekly programming problems cover programming concepts, graphical user interfaces, numerical methods, data structures, sorting and searching, computer graphics and selected advanced topics. Emphasis is on developing techniques for solving problems in engineering, science, management, and planning. The Java programming language is used.","","","1.001","","Y","Y","N","Y","N","S. R. Lerman, V. J. Harward","G. Kocur, R. O'Connor","",05-APR-02,28-OCT-24,"","","","","","","","1.00","2003FA","Fall Term 2002-2003","M","000,L01,R01","N,N,Y","N,Y,N","N,N,N","N,N,Y","N,N,N","Lerman, Steven,Lerman, Steven,Lerman, Steven","900017622,900017622,900017622","TRF11-12.30,*TO BE ARRANGED","3-270"
"2003","1.00","1","00","1.00","1.00","Y","1","Civil and Environmental Eng","2003FA","Computers & Engin Prob Solving","Introduction to Computers and Engineering Problem Solving","N",5,1,6,12,3,"L","Letter graded","N","Not repeatable for credit","U","Undergraduate","","REST","Rest Elec in Sci & Tech","","","","","","","","","18.01","Fundamental software development and computational methods for engineering and scientific applications. Object-oriented software design and development. Weekly programming problems cover programming concepts, graphical user interfaces, numerical methods, data structures, sorting and searching, computer graphics and selected advanced topics. Emphasis is on developing techniques for solving problems in engineering, science, management, and planning. The Java programming language is used.","","","1.001","","Y","Y","N","Y","N","S. R. Lerman, V. J. Harward","G. Kocur, R. O'Connor","",05-APR-02,28-OCT-24,"","","","","","","","1.00","2003SP","Spring Term 2002-2003","M","000,L02,L01,R01","N,N,N,Y","N,Y,N,Y","N,N,N,N","N,N,N,Y","N,N,N,N","Kocur, George,Kocur, George,Kocur, George,Kocur, George","900024831,900024831,900024831,900024831","MWF3.30-5,MWF9.30-11,*TO BE ARRANGED","3-270,3-270"
"2004","1.00","1","00","1.00","1.00","Y","1","Civil and Environmental Eng","2004FA","Computers & Engin Prob Solving","Introduction to Computers and Engineering Problem Solving","N",5,1,6,12,0,"L","Letter graded","N","Not repeatable for credit","U","Undergraduate","","REST","Rest Elec in Sci & Tech","","","","","","","","","18.01","Fundamental software development and computational methods for engineering and scientific applications. Object-oriented software design and development. Weekly programming problems cover programming concepts, graphical user interfaces, numerical methods, data structures, sorting and searching, computer graphics and selected advanced topics. Emphasis is on developing techniques for solving problems in engineering, science, management, and planning. The Java programming language is used.","","","1.001","","Y","Y","N","Y","N","S. R. Lerman, V. J. Harward","G. Kocur, Staff","",19-DEC-02,28-OCT-24,"","","","","","","","1.00","2004FA","Fall Term 2003-2004","M","000,R01,L01","N,N,Y","N,N,Y","N,N,N","N,Y,N","N,N,N","Lerman, Steven,Lerman, Steven,Lerman, Steven","900017622,900017622,900017622","*TO BE ARRANGED,TRF11-12.30","3-270"
"2004","1.00","1","00","1.00","1.00","Y","1","Civil and Environmental Eng","2004FA","Computers & Engin Prob Solving","Introduction to Computers and Engineering Problem Solving","N",5,1,6,12,0,"L","Letter graded","N","Not repeatable for credit","U","Undergraduate","","REST","Rest Elec in Sci & Tech","","","","","","","","","18.01","Fundamental software development and computational methods for engineering and scientific applications. Object-oriented software design and development. Weekly programming problems cover programming concepts, graphical user interfaces, numerical methods, data structures, sorting and searching, computer graphics and selected advanced topics. Emphasis is on developing techniques for solving problems in engineering, science, management, and planning. The Java programming language is used.","","","1.001","","Y","Y","N","Y","N","S. R. Lerman, V. J. Harward","G. Kocur, Staff","",19-DEC-02,28-OCT-24,"","","","","","","","1.00","2004SP","Spring Term 2003-2004","M","000,L01,R01","N,N,Y","N,Y,N","N,N,N","N,N,Y","N,N,N","Kocur, George,Kocur, George,Kocur, George","900024831,900024831,900024831","MWF3-4.30,*TO BE ARRANGED","10-250"
"2005","1.00","1","00","1.00","1.00","Y","1","Civil and Environmental Eng","2005FA","Computers & Engin Prob Solving","Introduction to Computers and Engineering Problem Solving","N",5,1,6,12,0,"L","Letter graded","N","Not repeatable for credit","U","Undergraduate","","REST","Rest Elec in Sci & Tech","","","","","","","","","18.01","Fundamental software development and computational methods for engineering and scientific applications. Object-oriented software design and development. Weekly programming problems cover programming concepts, graphical user interfaces, numerical methods, data structures, sorting and searching, computer graphics and selected advanced topics. Emphasis is on developing techniques for solving problems in engineering, science, management, and planning. The Java programming language is used.","","","1.001","","Y","Y","N","Y","N","S. R. Lerman, V. J. Harward","G. Kocur, R. O'Connor","",26-MAR-04,28-OCT-24,"","","","","","","","1.00","2005FA","Fall Term 2004-2005","M","000,L01,R05,R14,R16,R24,R23,R21,R09,R31,R03,R25,R22,R28,R11,R15,R27,R13,R12,R10,R30,R07,R06,R26,R20,R08,R04,R17,R02,R18,R29,R32,R19,R01","N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y","N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N","N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N","N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y","N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N","Lerman, Steven,Lerman, Steven,Lerman, Steven,Lerman, Steven,Lerman, Steven,Lerman, Steven,Lerman, Steven,Lerman, Steven,Lerman, Steven,Lerman, Steven,Lerman, Steven,Lerman, Steven,Lerman, Steven,Lerman, Steven,Lerman, Steven,Lerman, Steven,Lerman, Steven,Lerman, Steven,Lerman, Steven,Lerman, Steven,Lerman, Steven,Lerman, Steven,Lerman, Steven,Lerman, Steven,Lerman, Steven,Lerman, Steven,Lerman, Steven,Lerman, Steven,Lerman, Steven,Lerman, Steven,Lerman, Steven,Lerman, Steven,Lerman, Steven,Lerman, Steven","900017622,900017622,900017622,900017622,900017622,900017622,900017622,900017622,900017622,900017622,900017622,900017622,900017622,900017622,900017622,900017622,900017622,900017622,900017622,900017622,900017622,900017622,900017622,900017622,900017622,900017622,900017622,900017622,900017622,900017622,900017622,900017622,900017622,900017622","TRF11-12.30,MW4,MW10,MW1,MW1,MW12,MW11,MW1,MW3,MW12,MW12,MW12,MW4,MW12,MW2,MW2,MW3,MW12,MW2,MW1,MW1,MW10,MW1,MW11,MW2,MW2,MW2,MW12,MW4,MW10,MW11,MW3,MW1","1-190"
"2005","1.00","1","00","1.00","1.00","Y","1","Civil and Environmental Eng","2005FA","Computers & Engin Prob Solving","Introduction to Computers and Engineering Problem Solving","N",5,1,6,12,0,"L","Letter graded","N","Not repeatable for credit","U","Undergraduate","","REST","Rest Elec in Sci & Tech","","","","","","","","","18.01","Fundamental software development and computational methods for engineering and scientific applications. Object-oriented software design and development. Weekly programming problems cover programming concepts, graphical user interfaces, numerical methods, data structures, sorting and searching, computer graphics and selected advanced topics. Emphasis is on developing techniques for solving problems in engineering, science, management, and planning. The Java programming language is used.","","","1.001","","Y","Y","N","Y","N","S. R. Lerman, V. J. Harward","G. Kocur, R. O'Connor","",26-MAR-04,28-OCT-24,"","","","","","","","1.00","2005SP","Spring Term 2004-2005","M","000,R08,R28,R10,R06,R19,R13,R18,R04,R07,R25,R12,R32,R27,R11,L01,R20,R21,R15,R09,R17,R02,R05,R03,R23,R30,R16,R31,R22,R01,R26,R24,R29,R14","N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y","N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N","N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N","N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y","N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N","Kocur, George,Kocur, George,Kocur, George,Kocur, George,Kocur, George,Kocur, George,Kocur, George,Kocur, George,Kocur, George,Kocur, George,Kocur, George,Kocur, George,Kocur, George,Kocur, George,Kocur, George,Kocur, George,Kocur, George,Kocur, George,Kocur, George,Kocur, George,Kocur, George,Kocur, George,Kocur, George,Kocur, George,Kocur, George,Kocur, George,Kocur, George,Kocur, George,Kocur, George,Kocur, George,Kocur, George,Kocur, George,Kocur, George,Kocur, George","900024831,900024831,900024831,900024831,900024831,900024831,900024831,900024831,900024831,900024831,900024831,900024831,900024831,900024831,900024831,900024831,900024831,900024831,900024831,900024831,900024831,900024831,900024831,900024831,900024831,900024831,900024831,900024831,900024831,900024831,900024831,900024831,900024831,900024831","MW11,TR1,TR1,MW10,MW11,TR10,MW12,TR10,TR11,MW12,MW11,MW10,MW11,TR12,MW12,TR2,TR12,MW12,MWF3-4.30,TR10,MW12,MW10,MW11,MW10,TR11,TR1,MW12,TR2,TR11,TR12,TR12,MW12,MW12","10-250"
"2006","1.00","1","00","1.00","1.00","Y","1","Civil and Environmental Eng","2006FA","Computers & Engin Prob Solving","Introduction to Computers and Engineering Problem Solving","N",5,1,6,12,0,"L","Letter graded","N","Not repeatable for credit","U","Undergraduate","","REST","Rest Elec in Sci & Tech","","","","","","","","","18.01","Fundamental software development and computational methods for engineering, scientific and managerial applications. Emphasis on object-oriented software design and development. Active learning using laptop computers (available on loan). Assignments cover programming concepts, graphical user interfaces, numerical methods, data structures, sorting and searching, computer graphics and selected advanced topics. The Java programming language is used.","","","1.001","","Y","Y","N","Y","N","S. R. Lerman, V. J. Harward","G. Kocur, Staff","",23-FEB-05,28-OCT-24,"","","","","","","","1.00","2006FA","Fall Term 2005-2006","M","000,R05,R01,R02,R08,R14,R07,L01,R03,R04,R09,R11,R13,R10,R06,R12","N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y","N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N","N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N","N,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y","N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N","Lerman, Steven,Lerman, Steven,Lerman, Steven,Lerman, Steven,Lerman, Steven,Lerman, Steven,Lerman, Steven,Lerman, Steven,Lerman, Steven,Lerman, Steven,Lerman, Steven,Lerman, Steven,Lerman, Steven,Lerman, Steven,Lerman, Steven,Lerman, Steven","900017622,900017622,900017622,900017622,900017622,900017622,900017622,900017622,900017622,900017622,900017622,900017622,900017622,900017622,900017622,900017622","M11,T9,T10,M10,M12,T4,M12,TRF11-12.30,M10,M10,M11,T3,T10,M11,T2","1-190"
"2006","1.00","1","00","1.00","1.00","Y","1","Civil and Environmental Eng","2006FA","Computers & Engin Prob Solving","Introduction to Computers and Engineering Problem Solving","N",5,1,6,12,0,"L","Letter graded","N","Not repeatable for credit","U","Undergraduate","","REST","Rest Elec in Sci & Tech","","","","","","","","","18.01","Fundamental software development and computational methods for engineering, scientific and managerial applications. Emphasis on object-oriented software design and development. Active learning using laptop computers (available on loan). Assignments cover programming concepts, graphical user interfaces, numerical methods, data structures, sorting and searching, computer graphics and selected advanced topics. The Java programming language is used.","","","1.001","","Y","Y","N","Y","N","S. R. Lerman, V. J. Harward","G. Kocur, Staff","",23-FEB-05,28-OCT-24,"","","","","","","","1.00","2006SP","Spring Term 2005-2006","M","000,R21,R24,R07,R23,R19,R13,R16,R18,R09,R17,R04,R12,R03,R14,R11,R01,R15,L01,R06,R05,R22,R08,R20,R02,R10","N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y","N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,N","N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N","N,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y","N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N","Kocur, George,Kocur, George,Kocur, George,Kocur, George,Kocur, George,Kocur, George,Kocur, George,Kocur, George,Kocur, George,Kocur, George,Kocur, George,Kocur, George,Kocur, George,Kocur, George,Kocur, George,Kocur, George,Kocur, George,Kocur, George,Kocur, George,Kocur, George,Kocur, George,Kocur, George,Kocur, George,Kocur, George,Kocur, George,Kocur, George","900024831,900024831,900024831,900024831,900024831,900024831,900024831,900024831,900024831,900024831,900024831,900024831,900024831,900024831,900024831,900024831,900024831,900024831,900024831,900024831,900024831,900024831,900024831,900024831,900024831,900024831","T4,T10,T12,T1,T2,T9,T2,M12,T11,M1,T4,M12,T12,T11,M10,T1,MWF3-4.30,M1,T EVE (7 PM),T3,M2,T3,M2,T EVE (8 PM),M11","1-134,1-132,1-242,1-371,5-231,2-142,1-136,4-144,10-250,5-232,1-246,1-371,1-132,24-112,1-375,1-132,1-136,1-375,4-144,1-150,1-246,1-375,1-134,1-246,1-273"
"2007","1.00","1","00","1.00","1.00","Y","1","Civil and Environmental Eng","2007FA","Computers & Engin Prob Solving","Introduction to Computers and Engineering Problem Solving","N",5,1,6,12,0,"L","Letter graded","N","Not repeatable for credit","U","Undergraduate","","REST","Rest Elec in Sci & Tech","","","","","","","","","18.01","Fundamental software development and computational methods for engineering, scientific and managerial applications. Emphasis on object-oriented software design and development. Active learning using laptop computers (available on loan). Assignments cover programming concepts, graphical user interfaces, numerical methods, data structures, sorting and searching, computer graphics and selected advanced topics. The Java programming language is used.","","","1.001","","Y","Y","N","Y","N","S. R. Lerman, V. J. Harward","G. Kocur","",24-FEB-06,28-OCT-24,"","","","","","","","1.00","2007FA","Fall Term 2006-2007","M","000,R09,R04,R12,R01,R10,R07,R14,R08,R15,R03,R05,R02,R11,R13,R06,L01","N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y","N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N","N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N","N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N","N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N","Lerman, Steven,Lerman, Steven,Lerman, Steven,Lerman, Steven,Lerman, Steven,Lerman, Steven,Lerman, Steven,Lerman, Steven,Lerman, Steven,Lerman, Steven,Lerman, Steven,Lerman, Steven,Lerman, Steven,Lerman, Steven,Lerman, Steven,Lerman, Steven,Lerman, Steven","900017622,900017622,900017622,900017622,900017622,900017622,900017622,900017622,900017622,900017622,900017622,900017622,900017622,900017622,900017622,900017622,900017622","T3,TRF11-12.30,M11,T4,T1,T1,M2,T2,M1,M3,M12,M3,M1,M4,M2,M4","1-246,1-190,2-132,1-150,1-277,1-135,1-136,1-277,1-135,1-132,1-273,5-134,1-273,1-150,1-273,1-135"
"2007","1.00","1","00","1.00","1.00","Y","1","Civil and Environmental Eng","2007FA","Computers & Engin Prob Solving","Introduction to Computers and Engineering Problem Solving","N",5,1,6,12,0,"L","Letter graded","N","Not repeatable for credit","U","Undergraduate","","REST","Rest Elec in Sci & Tech","","","","","","","","","18.01","Fundamental software development and computational methods for engineering, scientific and managerial applications. Emphasis on object-oriented software design and development. Active learning using laptop computers (available on loan). Assignments cover programming concepts, graphical user interfaces, numerical methods, data structures, sorting and searching, computer graphics and selected advanced topics. The Java programming language is used.","","","1.001","","Y","Y","N","Y","N","S. R. Lerman, V. J. Harward","G. Kocur","",24-FEB-06,28-OCT-24,"","","","","","","","1.00","2007SP","Spring Term 2006-2007","M","000,R05,R19,R13,R10,R01,R21,R03,R07,R20,R23,R14,R09,R06,R15,R02,R25,R16,R18,R12,R26,R17,L01,R24,R04,R11,R08,R22","N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y","N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N","N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N","N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y","N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N","Kocur, George,Kocur, George,Kocur, George,Kocur, George,Kocur, George,Kocur, George,Kocur, George,Kocur, George,Kocur, George,Kocur, George,Kocur, George,Kocur, George,Kocur, George,Kocur, George,Kocur, George,Kocur, George,Kocur, George,Kocur, George,Kocur, George,Kocur, George,Kocur, George,Kocur, George,Kocur, George,Kocur, George,Kocur, George,Kocur, George,Kocur, George,Kocur, George","900024831,900024831,900024831,900024831,900024831,900024831,900024831,900024831,900024831,900024831,900024831,900024831,900024831,900024831,900024831,900024831,900024831,900024831,900024831,900024831,900024831,900024831,900024831,900024831,900024831,900024831,900024831,900024831","M1,T3,T3,M12,M2,T2,T4,T12,M2,MWF3-4.30,T4,M1,T12,M11,T4,T12,T1,T11,T EVE (7 PM),T1,T10,M10,M12,T10,T11,T2,M2","1-132,3-442,2-151,2-151,1-132,2-142,36-372,1-136,1-135,1-132,1-246,1-136,1-375,2-142,36-372,1-371,1-132,1-135,3-442,1-371,1-246,10-250,1-132,1-132,1-379,1-277,1-134"
