"FAC_BUILDING_KEY","BUILDING_NUMBER","PARENT_BUILDING_NUMBER","PARENT_BUILDING_NAME","PARENT_BUILDING_NAME_LONG","BUILDING_NAME_LONG","EXT_GROSS_AREA","ASSIGNABLE_AREA","NON_ASSIGNABLE_AREA","SITE","CAMPUS_SECTOR","ACCESS_LEVEL_CODE","ACCESS_LEVEL_NAME","BUILDING_TYPE","OWNERSHIP_TYPE","BUILDING_USE","OCCUPANCY_CLASS","BUILDING_HEIGHT","COST_CENTER_CODE","COST_COLLECTOR_KEY","LATITUDE_WGS","LONGITUDE_WGS","EASTING_X_SPCS","NORTHING_Y_SPCS","BUILDING_SORT","BUILDING_NAMED_FOR","BUILDING_NAME","DATE_BUILT","DATE_ACQUIRED","DATE_OCCUPIED","WAREHOUSE_LOAD_DATE","NUM_OF_ROOMS"
"1","1","","","","Henry L Pierce Engineering Laboratory",116038.74,76080.35,28889.48,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","UGBA3","81.40","1810100","1810100",42.3580859,-71.09235723,766344.62904499902,2955778.8992900001,"01","HENRY L. PIERCE","PIERCE LABORATORY","12/31/1913","","12/31/1917",28-OCT-24,406
"2","2","","","","THE SIMONS BUILDING",133168.22,73699.9,43053.58,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","UGBA3","82.60","1810200","1810200",42.35881273,-71.09018269,766931.08927,2956046.58619999,"02","James H. and Marilyn Simons","THE SIMONS BUILDING","07/01/1913","","12/31/1916",28-OCT-24,384
"3","3","","","","Richard Cockburn MacLaurin Buildings (3)",160694.2,104711.35,40611.82,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","UGBA3","85.50","1810300","1810300",42.35900694,-71.09239741,766332.166723,2956114.4910200001,"03","R. C. MACLAURIN","MACLAURIN BUILDINGS (3)","07/01/1913","","12/31/1916",28-OCT-24,547
"4","4","","","","Richard Cockburn MacLaurin Buildings (4)",163412.72,96229.87,47380.23,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","UGBA3","79.70","1810400","1810400",42.35944306,-71.09108651,766685.70812099904,2956275.11901,"04","R. C. MACLAURIN","MACLAURIN BUILDINGS (4)","07/01/1913","","12/31/1916",28-OCT-24,499
"5","5","","","","Pratt School Of Naval Architecture And Marine Engineering",80942.35,54393.99,17332.92,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","UGBA3","70.70","1810500","1810500",42.35870876,-71.09292347,766190.50561899901,2956005.1499100002,"05","CHARLES HERBERT PRATT","PRATT SCHOOL","12/01/1919","","12/31/1920",28-OCT-24,277
"6","6","","","","George Eastman Research",90245.98,53772.71,24071.21,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","UGBA3","81.40","1810600","1810600",42.35953888,-71.09045477,766856.28272799903,2956310.85519,"06","GEORGE EASTMAN","EASTMAN LABORATORIES","12/31/1931","","12/31/1933",28-OCT-24,307
"7","7","","","","William Barton Rogers Building",100553.38,50407.77,36741.18,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","UGA3B","103.70","1810700","1810700",42.35928923,-71.09318676,766118.33409300004,2956216.3448999901,"07","WILLIAM BARTON ROGERS","WILLIAM BARTON ROGERS BUILDING","05/01/1937","","12/31/1938",28-OCT-24,329
"8","8","","","","Building 8",66165.06,36920.63,21106.07,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","UGBA3","64.00","1810800","1810800",42.35999279,-71.09086392,766744.905118,2956475.7390000001,"08","-","BUILDING 8","07/01/1913","","12/31/1916",28-OCT-24,252
"9","9","","","","Samuel Tak Lee Building",77414,38796.37,28428.83,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","UGBA3","83.90","1810900","1810900",42.35974993,-71.09356175,766016.18442099902,2956383.7499500001,"09","Samuel Tak Lee","SAMUEL TAK LEE BUILDING","04/01/1966","","12/01/1967",28-OCT-24,277
"10","10","","","","Richard Cockburn MacLaurin Buildings (10)",144463.46,85540.82,42925.24,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","UGA3B","149.20","1811000","1811000",42.35967738,-71.09201647,766433.95508400002,2956359.3054300002,"10","R. C. MACLAURIN","MACLAURIN BUILDINGS (10)","07/01/1913","","12/31/1916",28-OCT-24,569
"11","11","","","","Homberg Building",26777.38,18978.82,4860.08,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","UGB","72.50","1811100","1811100",42.35952201,-71.09277267,766229.84780500003,2956301.7088100002,"11","RICHARD MEYER HOMBERG","HOMBERG BUILDING","06/01/1927","","12/31/1928",28-OCT-24,182
"12","12","","","","Lisa T. Su Building",239353.66,94638.32,118309.79,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","(NULL)","0.00","","",,,,,"12","","SU BUILDING","06/01/2018","","07/01/2018",28-OCT-24,382
"13","13","","","","Vannevar Bush Building",183539.92,96326.43,72485.61,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","UGB","69.10","1811300","1811300",42.35994386,-71.09255152,766288.88213599904,2956455.7255299902,"13","VANNEVAR BUSH","BUSH BUILDING","04/01/1963","","06/01/1965",28-OCT-24,578
"14","14","","","","Charles Hayden Memorial Library",142706.51,88319.84,48646.83,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","UGA3","70.40","1811400","1811400",42.35918261,-71.089304,767167.92838699894,2956182.5196099901,"14","CHARLES HAYDEN","HAYDEN MEMORIAL LIBRARY","04/05/1948","","12/31/1951",28-OCT-24,92
"16","16","","","","Dorrance Building",116006.44,57891.59,46930.93,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","UGBA3","122.90","1811600","1811600",42.36043478,-71.09059277,766817.41790100001,2956637.1625100002,"16","JOHN THOMPSON DORRANCE","DORRANCE BUILDING","11/01/1950","","06/01/1952",28-OCT-24,375
"17","17","","","","Wright Brothers Wind Tunnel",21400.99,6365.52,4385.01,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","UGB","22.00","1811700","1811700",42.360113,-71.09349326,766034.06507799902,2956516.1469700001,"17","WILBUR & ORVILLE WRIGHT","WRIGHT BROTHERS WIND TUNNEL","12/01/1937","","01/01/1939",28-OCT-24,42
"18","18","","","","Camille Edouard Dreyfus Building",133732.1,75660.41,41214.96,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","UGB","82.50","1811800","1811800",42.36006975,-71.08982131,767026.55760299903,2956505.1372199901,"18","CAMILLE EDOUARD DREYFUS","DREYFUS BUILDING","05/01/1967","","12/15/1969",28-OCT-24,529
"24","24","","","","Building 24",78022.39,48947.41,22148.5,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","UGB","84.10","1812400","1812400",42.3606665,-71.09201464,766432.72732399905,2956719.7637100001,"24","-","BUILDING 24","12/31/1941","","12/31/1941",28-OCT-24,316
"26","26","","","","Karl Taylor Compton Laboratories",133479.58,80155.08,42854.34,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","UGBA3","78.70","1812600","1812600",42.36085795,-71.09115294,766665.28283200006,2956790.6472399901,"26","KARL TAYLOR COMPTON","COMPTON LABORATORIES","06/01/1955","","02/01/1957",28-OCT-24,400
"31","31","","","","Sloan Laboratories For Aircraft & Automotive Engineering",76205.74,53691.61,15850.87,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","UGB","46.20","1813100","1813100",42.36037362,-71.09306201,766150.16447099904,2956611.68034,"31","ALFRED P. SLOAN JR.","SLOAN LABORATORIES","12/31/1928","","12/31/1928",28-OCT-24,346
"32","32","","","","Ray and Maria Stata Center",466722.26,285682.43,123141.48,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","(NULL)","140.00","1813200","1813200",42.36159672,-71.09056854,766821.93192500004,2957060.6268500001,"32","RAY STATA '57","STATA CENTER","03/19/2004","","03/19/2004",28-OCT-24,1319
"33","33","","","","Daniel Guggenheim Aeronautical Laboratory",47128.95,32201.62,11481.88,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","UGBA3","56.50","1813300","1813300",42.36017838,-71.09374587,765965.67766299902,2956539.6472800002,"33","DANIEL GUGGENHEIM","GUGGENHEIM LABORATORY","04/01/1927","","07/01/1928",28-OCT-24,158
"34","34","","","","EG&G Education Center",25951.44,14472.14,10198.28,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","UGA3","81.30","1813400","1813400",42.36113825,-71.09195128,766449.027596,2956891.7591599901,"34","HAROLD E. EDGERTON, KENNETH H. GERMESHAUSEN, HERBERT E. GRIER","EG&G EDUCATION CENTER","12/31/1982","","12/31/1983",28-OCT-24,62
"35","35","","","","Sloan Laboratory",68012.32,41615.67,18920.44,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","UGBA3","80.30","1813500","1813500",42.36038118,-71.09402814,765889.03724800004,2956613.1916499902,"35","ALFRED P. SLOAN JR.","SLOAN LABORATORY","08/01/1950","","06/01/1952",28-OCT-24,242
"36","36","","","","Fairchild Buildings (36)",144920.44,72402.85,56549.68,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","UGB","117.40","1813600","1813600",42.36143722,-71.09166758,766525.17992599902,2957001.0762499901,"36","SHERMAN M. FAIRCHILD","FAIRCHILD BUILDING (36)","04/12/1971","","10/01/1973",28-OCT-24,624
"37","37","","","","Ronald E McNair Building",102777.46,55535.5,32289.69,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","UGB","89.70","1813700","1813700",42.36068424,-71.09324745,766099.50816600001,2956724.6375299902,"37","RONALD E. MCNAIR","MCNAIR BUILDING","02/01/1966","","12/31/1969",28-OCT-24,415
"38","38","","","","Fairchild Buildings (38)",84000.79,56496.48,19290.71,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","UGB","91.40","1813800","1813800",42.36107393,-71.0923498,766341.43467700004,2956867.8046599901,"38","SHERMAN M. FAIRCHILD","FAIRCHILD BUILDING (38)","04/12/1971","","10/01/1973",28-OCT-24,323
"39","39","","","","Stanley Gordon Brown Building",76639.87,39391.05,30704.72,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","UGB","91.10","1813900","1813900",42.36085666,-71.09273098,766238.79191899905,2956788.13444999,"39","GORDON STANLEY BROWN","BROWN BUILDING","08/01/1966","","12/31/1968",28-OCT-24,250
"41","41","","","","Building 41",26148.19,20055.87,4407.76,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","UGB","61.20","1814100","1814100",42.36076007,-71.0941603,765852.661998,2956751.0965800001,"41","-","BUILDING 41","12/31/1915","","12/31/1917",28-OCT-24,107
"42","42","","","","William R. Dickson Cogeneration Plant",80474.4,4209.52,66630.38,"MIT","MAIN GROUP",0,"0","SERVICE","OWNED","OTH","UGF1","64.80","1814200","1814200",42.36110597,-71.09351652,766026.05418700003,2956877.9774199901,"42","-","COGENERATION PLANT","12/31/1915","","12/31/1916",28-OCT-24,90
"43","43","","","","Power Plant Annex",10373.95,5443.11,4097.66,"MIT","MAIN GROUP",0,"0","SERVICE","OWNED","OTH","UGF1","30.50","","",42.36114493,-71.0932115,766108.42287899903,2956892.56905,"43","-","POWER PLANT ANNEX","12/31/1914","","08/01/1916",28-OCT-24,35
"45","45","","","","SCHWARZMAN COLLEGE OF COMPUTING",188133.46,119313.99,56880.58,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","(NULL)","0.00","","",,,,,"45","Stephen A. Schwarzman","SCHWARZMAN COLLEGE OF COMPUTING","07/01/2023","","11/16/2023",28-OCT-24,628
"46","46","","","","Brain & Cognitive Sciences Complex",418299.52,220526.82,151962.86,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","(NULL)","136.40","1814600","1814600",42.36232777,-71.09164294,766530.28537900001,2957325.6455700002,"46","-","BCSC","04/25/2003","","09/01/2005",28-OCT-24,1424
"48","48","","","","Ralph M Parsons Laboratory For Water Resources & Hydrodynamics",57255.46,38949.64,11466.55,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","UGB","64.00","1814800","1814800",42.36243249,-71.09066524,766794.33740199904,2957365.0742299901,"48","RALPH M. PARSONS","PARSONS LABORATORY","12/31/1949","","12/31/1951",28-OCT-24,156
"50","50","","","","Walker Memorial",74063.57,46620.54,20759.11,"MIT","MAIN GROUP",2,"2","SERVICE","OWNED","STAC","UGA3","80.50","1342002","1342002",42.35936241,-71.0883196,767433.66957400006,2956249.3249900001,"50","FRANCIS AMASA WALKER","WALKER MEMORIAL","01/01/1916","","09/01/1917",28-OCT-24,197
"51","51","","","","Walter C Wood Sailing Pavilion",5889.33,4450.4,909.69,"MIT","MAIN GROUP",2,"2","SERVICE","OWNED","STAC","UGA3","21.30","1815100","1815100",42.35851706,-71.08773035,767594.41677799902,2955942.02996,"51","WALTER C. WOOD","WOOD SAILING PAVILION","12/31/1936","","12/31/1937",28-OCT-24,23
"54","54","","","","Cecil And Ida Green Building",128954.67,68090.85,44605.22,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","UGBA3","275.00","1815400","1815400",42.36032385,-71.08932613,767159.94479500002,2956598.38283,"54","CECIL HOWARD & IDA FLANSBURGH GREEN","GREEN BUILDING","01/01/1962","","07/01/1964",28-OCT-24,657
"55","55","","","","TINA AND HAMID MOGHADAM BUILDING",15474.72,4666,9037.88,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","(NULL)","0.00","","",,,,,"55","TINA AND HAMID MOGHADAM","MOGHADAM BUILDING","12/18/2023","","12/18/2023",28-OCT-24,57
"56","56","","","","Uncas A Whitaker Building",143940.24,78459.3,50526.45,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","UGB","118.80","1815600","1815600",42.36069953,-71.0898625,767014.32081099902,2956734.58778999,"56","UNCAS A. & HELEN F. WHITAKER","WHITAKER BUILDING","09/01/1963","","04/01/1965",28-OCT-24,465
"57","57","","","","MIT Alumni Pool",39121.04,22855.94,10517.71,"MIT","MAIN GROUP",2,"2","SERVICE","OWNED","STAC","UGA3","41.10","1815700","1815700",42.36114229,-71.09014001,766938.54517199902,2956895.58099999,"57","-","MIT ALUMNI POOL","07/01/1939","","05/01/1940",28-OCT-24,54
"62","62","","","","Alumni Houses: Munroe Hayden Wood",77154,50154.4,19131.17,"MIT","MAIN GROUP",2,"2","RESIDENT","OWNED","DHOA","UGR2","51.50","1346200","1346200",42.3602292,-71.0886829,767333.95523299905,2956564.7278900002,"62","JAMES P. MUNROE, HENRY R. HAYDEN, KENNETH F. WOOD","ALUMNI HOUSES: MUNROE HAYDEN WOOD","03/01/1930","","09/01/1931",28-OCT-24,0
"64","64","","","","Alumni Houses: Walcott Bemis Goodale",73432.63,48059.08,17799.86,"MIT","MAIN GROUP",2,"2","RESIDENT","OWNED","DHOA","UGR2","52.30","","",42.36040462,-71.08814116,767480.06446000002,2956629.36143,"64","ALBERT F. BEMIS, WILLIAM W. WALCOTT, CHARLES WARREN GOODALE","EAST CAMPUS: WALCOTT BEMIS GOODALE","09/01/1923","","04/01/1924",28-OCT-24,0
"66","66","","","","Ralph Landau Building",133709.64,71234.29,46958.45,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","UGBA3","74.30","1816600","1816600",42.36092016,-71.08902925,767239.13493399904,2956816.0739500001,"66","RALPH LANDAU","LANDAU BUILDING","08/01/1973","","12/31/1976",28-OCT-24,322
"68","68","","","","David H. Koch Biology Building",260390.37,155101.1,81552.17,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","UGB","104.80","1816800","1816800",42.36162167,-71.08863856,767343.49146299902,2957072.2273900001,"68","-","KOCH BIOLOGY BUILDING","04/01/1991","","10/07/1994",28-OCT-24,964
"6C","6C","","","","PDSI",51288.87,17471.75,27970.54,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","UGE","92.00","1810600","1810600",42.35967294,-71.09083617,766752.96512900002,2956359.21569,"06C","-","BUILDING 6C","05/01/2007","","05/01/2007",28-OCT-24,130
"76","76","","","","David H. Koch Institute For Integrative Cancer Research",367688.6,205734.52,123952.46,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","(NULL)","0.00","1810700","1810700",42.36229582,-71.08927563,767170.13363099901,2957317.0729999901,"76","-","D H KOCH IN FICR","09/28/2010","","09/28/2010",28-OCT-24,943
"7A","7A","","","","Rotch Library Extension",18501.98,14818.84,2388.47,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","UGA3","77.00","1810700","1810700",42.35949592,-71.09319367,766116.108029,2956291.6597199901,"07A","-","ROTCH LIBRARY EXTENSION","12/31/1989","","07/11/1990",28-OCT-24,93
"E1","E1","","","","Gray House (Formerly President's House)",18642.53,11453.62,4704.94,"MIT","EAST",1,"1","RESIDENT","OWNED","AER","UGR4","52.00","1820100","1820100",42.3596025,-71.08696429,767799.54882200004,2956338.5876600002,"E01","-","GRAY HOUSE","07/01/1913","","07/01/1917",28-OCT-24,139
"E2","E2","","","","70 AMHERST",64847.33,36182.32,18085.76,"MIT","EAST",2,"2","RESIDENT","OWNED","DHOA","UGR2","63.70","1346000","1346000",42.35995565,-71.08686701,767825.21787099901,2956467.41243,"E02","WARE, ATKINSON,RUNKLE,CRAFTS,NICHOLS,HOLMAN","70 AMHERST","07/01/1913","","07/01/1916",28-OCT-24,311
"N4","N4","","","","Albany Street Parking Garage",143032.14,129868.34,5780.48,"MIT","NORTH",2,"2","SERVICE","OWNED","GAR","UGS2","56.30","1850400","1850400",42.36203429,-71.09278036,766223.39594700001,2957217.2235699901,"N04","-","ALBANY GARAGE","12/31/1966","","10/01/1966",28-OCT-24,36
"N9","N9","","","","Superconducting Generator Test Facility",5882.04,5345.17,160.86,"MIT","NORTH",1,"1","ACADEMIC","OWNED","AER","UGB","32.70","1850900","1850900",42.36095321,-71.09519377,765573.01373000001,2956820.1508900002,"N09","-","SUPERCONDUCTING TEST FACILITY","","","12/31/1978",28-OCT-24,16
"W1","W1","","","","Fariborz Maseeh Hall",189941.11,96772.94,54260.45,"MIT","WEST",2,"2","RESIDENT","OWNED","DHOA","UGR2","74.50","1345000","1345000",42.35761763,-71.0935107,766033.68489899905,2955606.7632300002,"W01","AVERY ALLEN ASHDOWN","FARIBORZ MASEEH HALL","12/31/1900","12/31/1937","12/31/1939",28-OCT-24,559
"W2","W2","","","","Building W2",9599.32,4877.44,3067.81,"MIT","WEST",2,"2","RESIDENT","OWNED","DHOA","UGBR1","37.10","","",42.35725631,-71.0938409,765945.06404600001,2955474.6658000001,"W02","-","BUILDING W2","12/31/1900","07/01/1963","12/31/1967",28-OCT-24,64
"W4","W4","","","","Stanley McCormick Hall",128989.56,65671.32,44479.23,"MIT","WEST",2,"2","RESIDENT","OWNED","DHOA","UGR2","89.20","1346800","1346800",42.357183,-71.09442302,765787.85673300002,2955447.2028800002,"W04","STANLEY MCCORMICK","MCCORMICK HALL","03/01/1962","","09/01/1963",28-OCT-24,561
