"ORGANIZATION_KEY","ORGANIZATION_ID","ORGANIZATION","ORGANIZATION_NAME","ORG_PARENT_KEY","ORG_PARENT","MAJOR_ORG_KEY","MAJOR_ORG","ORGANIZATION_LEVEL","ORGANIZATION_NUMBER","ORGANIZATION_SORT","ASSIGNABLE","COURSE","DESCRIPTION","WAREHOUSE_LOAD_DATE","D_CODE","HR_DEPARTMENT_CODE_OLD","HR_ORG_UNIT_ID","HR_DEPARTMENT_NAME"
"182","182","KIICR","KOCH INS INT C R","266","VP-RES","230","PROVST","5","402000","0101060224","1","","David H Koch Institute for Integrative Cancer Res",28-OCT-24,"D_KI","402000","10000545","Koch Inst - Integrative Cancer Research"
"193","193","LIT","LITERATURE","244","S H&SS","230","PROVST","5","093600","0101060148","1","21L","Literature",28-OCT-24,"D_LIT","093600","10000364","Literature Section"
"196","196","M&T ART","MUSIC & THEATER ART","244","S H&SS","230","PROVST","5","093700","0101060149","1","21M","Music and Theater Arts Section",28-OCT-24,"D_MTA","093700","10000365","Music and Theater Arts Section"
"208","208","NSE","NUCLEAR SCI & ENG","243","S ENG","230","PROVST","5","068000","0101060126","1","22","Department of Nuclear Science and Engineering",28-OCT-24,"D_NUCENG","068000","10000331","Nuclear Science and Engineering"
"152","152","OVC","OFF OF VICE CHANCELLOR","129","CHNCLR","129","CHNCLR","4","441000","0101030400","1","","",28-OCT-24,"D_DUE:HQ","441000","10000722","Office of Undergraduate Education"
"219","219","PHYSIC","PHYSICS","246","S SCI","230","PROVST","5","158000","0101060195","1","8","Department of Physics",28-OCT-24,"D_PHYSICS","158000","10000536","Physics"
"226","226","PRHSE","PRESIDENTS HOUSE","163","EXECVP","163","EXECVP","4","497400","0101030645","1","","",28-OCT-24,"D_GRAY","497400","10000803","Gray House"
"227","227","PROCUR","PROCUREMENT","264","VP-FIN","163","EXECVP","5","407030","0101030658","1","","",28-OCT-24,"D_PROCURE","407030","10003487","VPF - Procurement Operations"
"228","228","PROPTY","PROPERTY OFFICE","264","VP-FIN","163","EXECVP","5","406800","0101030659","1","","",28-OCT-24,"D_PROPERTY","406800","10000651","VPF - Property Office"
"237","237","RLE","RES LAB OF ELEC","266","VP-RES","230","PROVST","5","267000","0101060234","1","","Research Laboratory of Electronics",28-OCT-24,"D_RLE","267000","10000578","Research Laboratory of Electronics"
"243","243","S ENG","SCH OF ENGINEER","230","PROVST","230","PROVST","4","060000","0101060051","1","","School of Engineering",28-OCT-24,"D_DOE","060000","10000284","School of Engineering"
"249","249","SINGAP","SINGAPORE/MIT","109","APROV","230","PROVST","5","068200","0101060004","1","","",28-OCT-24,"D_SMA","068200","10000334","Singapore/MIT Alliance"
"106","106","ALUMNI","ALUMNI/AE ASSOC","163","EXECVP","163","EXECVP","4","871000","0101030603","1","","",28-OCT-24,"D_ALUM","871000","10000910","Alumni Association"
"116","116","BEDEP","BIOLOGICAL ENG","243","S ENG","230","PROVST","5","069200","0101060060","1","BE","Department of Biological Engineering",28-OCT-24,"D_BIOENG","069200","10000347","Department of Biological Engineering"
"119","119","CAES","C FOR ADV EDU SV","211","OFPROV","230","PROVST","5","405100","0101060027","1","CAES","",28-OCT-24,"D_CAES","405100","10000624","Center for Advanced Educational Services"
"137","137","CONCRS","CONCOURSE","152","OVC","129","CHNCLR","5","069600","0101030405","1","","",28-OCT-24,"D_CONCOURSE","069600","10002483","Concourse"
"169","169","HAYSTK","HAYSTACK OBS","266","VP-RES","230","PROVST","5","401710","0101060222","1","","",28-OCT-24,"D_HAYSTACK","401710","10000601","Haystack Observatory"
"288","288","HEALTH","MIT HEALTH","163","EXECVP","163","EXECVP","4","495000","0101030640","1","","",28-OCT-24,"D_MEDICAL","495000","10000792","MIT Health"
"171","171","HIST","HISTORY","244","S H&SS","230","PROVST","5","093400","0101060143","1","21H","History Section",28-OCT-24,"D_HISTORY","093400","10000363","History Section"
"177","177","INVEST","INVEST MGMT CO","163","EXECVP","163","EXECVP","4","420000","0101030639","1","","",28-OCT-24,"D_MITIMCO","420000","10000673","MIT Investment Management Company"
"178","178","IPC","IND PERFORM CTR","243","S ENG","230","PROVST","5","060300","0101060090","1","","IND PERFORM CTR",28-OCT-24,"D_NUCENG","060300","10000292","Industrial Performance Center"
"179","179","IS&T","INFO SVCS & TECH","163","EXECVP","163","EXECVP","4","404400","0101030637","1","","",28-OCT-24,"D_IS&T","404400","10000621","HQ, Information Systems & Technology"
"186","186","LGO-SDM","LDRS GBL OPS-SYS DSN MGMT","243","S ENG","230","PROVST","5","170000","0101060108","1","","Leaders for Global Operations-Systems Design Management",28-OCT-24,"D_LGO","170000","10000554","Leaders for Global Operations Program"
"201","201","MEDICL","MEDICAL DEPT","163","EXECVP","163","EXECVP","4","495000","0101030640","1","","",28-OCT-24,"D_MEDICAL","495000","10000792","MIT Health"
"277","277","MRL","MATERIALS RESEARCH LAB","266","VP-RES","230","PROVST","5","417500","0101060224","1","","Materials Research Laboratory",28-OCT-24,"D_MRL","417500","10005459","Materials Research Laboratory"
"209","209","OEI&T","OFF ED IN & TECH","152","OVC","129","CHNCLR","5","447100","0101030408","1","","",28-OCT-24,"D_OEIT","447100","10002734","ODL, Strategic Education Initiatives"
"229","229","PRORES","PROVOST RESERVE","216","OTHMIT","216","OTHMIT","4","591024","0101031203","1","","",28-OCT-24,"D_FACILITIES","591024","10002466","Campus Services Misc"
"275","275","XXXXX","Dummy Org for Renames","","","275","XXXXX","1","","","1","","",28-OCT-24,"","","",""
"103","103","ADMISS","ADMISSIONS","152","OVC","129","CHNCLR","5","446100","0101030402","1","","",28-OCT-24,"D_ADM","446100","10000755","Admissions Office"
"129","129","CHNCLR","CHANCELLOR","224","PRES","129","CHNCLR","3","","0101030000","1","","",28-OCT-24,"","","",""
"135","135","CMS/W","COMPARATIVE MEDIA STUDIES","244","S H&SS","230","PROVST","5","093800","0101060139","1","CMS","Comparative Media Studies/Writing",28-OCT-24,"D_CMS","093800","10000366","Comparative Media Studies/Writing"
