"FCLT_BUILDING_HIST_KEY","FISCAL_PERIOD","FCLT_BUILDING_KEY","BUILDING_NUMBER","PARENT_BUILDING_NUMBER","PARENT_BUILDING_NAME","PARENT_BUILDING_NAME_LONG","BUILDING_NAME_LONG","EXT_GROSS_AREA","ASSIGNABLE_AREA","NON_ASSIGNABLE_AREA","SITE","CAMPUS_SECTOR","ACCESS_LEVEL_CODE","ACCESS_LEVEL_NAME","BUILDING_TYPE","OWNERSHIP_TYPE","BUILDING_USE","OCCUPANCY_CLASS","BUILDING_HEIGHT","COST_CENTER_CODE","COST_COLLECTOR_KEY","LATITUDE_WGS","LONGITUDE_WGS","EASTING_X_SPCS","NORTHING_Y_SPCS","BUILDING_SORT","BUILDING_NAMED_FOR","BUILDING_NAME","DATE_BUILT","DATE_ACQUIRED","DATE_OCCUPIED","WAREHOUSE_LOAD_DATE","NUM_OF_ROOMS"
"14S-201505","201505","14S","14S","14","HAYDEN MEMORIAL LIBRARY","Charles Hayden Memorial Library","Charles Hayden Memorial Library (South Wing)",48622.24,34500.48,10286.49,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","(NULL)","","","",,,,,"14S","","HAYDEN MEMORIAL LIBRARY (S)",,,,01-DEC-14,118
"46-201505","201505","46","46","","","","Brain & Cognitive Sciences Complex",418662.59,218518.89,152699.33,"MIT","MAIN GROUP",2,"2","ACADEMIC","OWNED","AER","(NULL)","136.40","1814600","1814600",42.362327773499899,-71.091642943400004,766530.28537900001,2957325.6455700002,"46","","BCSC",25-APR-03,,01-SEP-05,01-DEC-14,1403
"E14-201505","201505","E14","E14","","","","Building E14",173875.21,73792.6,83752.67,"MIT","EAST",2,"2","ACADEMIC","OWNED","AER","(NULL)","","1821400","1821400",42.3604635927,-71.0873324878999,767698.51797199901,2956651.9071800001,"E14","","BUILDING E14",,,,01-DEC-14,341
"E17-201505","201505","E17","E17","","","","Seely G Mudd Building",83518.04,54135.52,21499.9,"MIT","EAST",2,"2","ACADEMIC","OWNED","AER","UGBA3","82.80","1821700","1821700",42.361484389799898,-71.087886250899899,767547.05602999905,2957023.18269999,"E17","SEELY G. MUDD","MUDD BUILDING",31-DEC-32,,06-MAR-75,01-DEC-14,342
"E18-201505","201505","E18","E18","","","","Horace Sayford Ford Building (E18)",113139.11,68988.6,34733.83,"MIT","EAST",2,"2","ACADEMIC","OWNED","AER","UGBI2","88.30","1821800","1821800",42.361766995799897,-71.087792810300002,767571.81186200003,2957126.2919800002,"E18","HORACE SAYFORD FORD JR.","FORD BUILDING (E18)",31-DEC-20,01-MAY-61,01-OCT-64,01-DEC-14,380
"NW12-201505","201505","NW12","NW12","","","","Nuclear Reactor Laboratory",49933.39,34857.85,9710.88,"MIT","NORTHWEST",0,"0","ACADEMIC","OWNED","AER","UGB","47.30","1841200","1841200",42.360103050299898,-71.096863122399895,765123.30905100005,2956508.1999599901,"NW12","","NUCLEAR REACTOR LAB",31-DEC-37,31-DEC-55,31-DEC-55,01-DEC-14,166
"N16B-201505","201505","N16B","N16B","","","","Fire Pump House",1249.72,0,1160.58,"MIT","NORTH",0,"0","SERVICE","OWNED","OTH","UGU","","","",42.361240843600001,-71.094226825899895,765833.84857100004,2956926.2135200002,"N16B","","FIRE PUMP ROOM",,,,01-DEC-14,5
"NE46-201505","201505","NE46","NE46","","","","400 Technology Square",9215.4,7989.19,239.41,"MIT","",2,"2","ACADEMIC","LEASED","AER","(NULL)","0.00","","",,,,,"NE46","","400 TECHNOLOGY SQUARE",25-APR-14,,,01-DEC-14,36
"W13-201505","201505","W13","W13","","","","Bexley Hall",52878.95,39026.29,6156.84,"MIT","WEST",2,"2","RESIDENT","OWNED","DHOA","UGR2","45.80","1345600","1345600",42.358533902600001,-71.093697180500001,765981.69230300002,2955940.4308799901,"W13","","BEXLEY HALL",31-DEC-12,31-DEC-39,01-SEP-39,01-DEC-14,150
"OC19M-201505","201505","OC19M","OC19M","","","","BATES LINAC: Barn",2225.34,2062.22,0,"BATES","OFFCAMPUS",1,"1","ACADEMIC","OWNED","AER","(NULL)","","1876000","1876000",,,,,"OC19M","","BATES LINAC: BARN",,,,01-DEC-14,3
"OC26-201505","201505","OC26","OC26","","","","Haystack Atmospheric Sciences Building",1396.85,1220.02,30.67,"HAY","OFFCAMPUS",1,"1","ACADEMIC","OWNED","AER","UGB","","","",42.618775815100001,-71.490632754700002,658688.02822700003,3050520.56256,"OC26","","HAYSTACK ATMOSPHERIC SCIENCES BUILDING",,,,01-DEC-14,10
"OC31A-201505","201505","OC31A","OC31A","","","","Katahdin Hill 1A",2989.21,2567.45,151.48,"LINC","OFFCAMPUS",1,"1","ACADEMIC","OWNED","OTH","(NULL)","","","",,,,,"OC31A","","KATAHDIN HILL 1A",,,,01-DEC-14,7
