"FCLT_MAJOR_USE_HIST_KEY","FISCAL_PERIOD","FCLT_MAJOR_USE_KEY","MAJOR_USE","DESCRIPTION","ASSIGNABLE","WAREHOUSE_LOAD_DATE"
"101-201505","201505","101","BLDG SRV","BLDG SERVICE AREA","0",01-DEC-14
"102-201505","201505","102","CIRCULAT","CIRCULATION AREA","0",01-DEC-14
"103-201505","201505","103","CLASSRMS","CLASSROOMS","1",01-DEC-14
"104-201505","201505","104","GENERAL","GENERAL USE","1",01-DEC-14
"105-201505","201505","105","HEALTH","HEALTH CARE","1",01-DEC-14
"106-201505","201505","106","LABS","LABORATORIES","1",01-DEC-14
"107-201505","201505","107","MECHANIC","MECHANICAL AREA","0",01-DEC-14
"108-201505","201505","108","OFFICES","OFFICES","1",01-DEC-14
"109-201505","201505","109","RESIDENT","RESIDENTIAL","1",01-DEC-14
"110-201505","201505","110","SPECIAL","SPECIAL USE","1",01-DEC-14
"111-201505","201505","111","STUDY","STUDY","1",01-DEC-14
"112-201505","201505","112","SUPPORT","SUPPORT","1",01-DEC-14
"113-201505","201505","113","UNCLASS","UNCLASSIFIED","1",01-DEC-14
"114-201505","201505","114","ZUSE","ZUSE ICR ONLY","1",01-DEC-14
"101-201601","201601","101","BLDG SRV","BLDG SERVICE AREA","0",01-AUG-15
"102-201601","201601","102","CIRCULAT","CIRCULATION AREA","0",01-AUG-15
"103-201601","201601","103","CLASSRMS","CLASSROOMS","1",01-AUG-15
"104-201601","201601","104","GENERAL","GENERAL USE","1",01-AUG-15
"105-201601","201601","105","HEALTH","HEALTH CARE","1",01-AUG-15
"106-201601","201601","106","LABS","LABORATORIES","1",01-AUG-15
"107-201601","201601","107","MECHANIC","MECHANICAL AREA","0",01-AUG-15
"108-201601","201601","108","OFFICES","OFFICES","1",01-AUG-15
"109-201601","201601","109","RESIDENT","RESIDENTIAL","1",01-AUG-15
"110-201601","201601","110","SPECIAL","SPECIAL USE","1",01-AUG-15
"111-201601","201601","111","STUDY","STUDY","1",01-AUG-15
"112-201601","201601","112","SUPPORT","SUPPORT","1",01-AUG-15
"113-201601","201601","113","UNCLASS","UNCLASSIFIED","1",01-AUG-15
"114-201601","201601","114","ZUSE","ZUSE ICR ONLY","1",01-AUG-15
"101-201604","201604","101","BLDG SRV","BLDG SERVICE AREA","0",31-OCT-15
"102-201604","201604","102","CIRCULAT","CIRCULATION AREA","0",31-OCT-15
"103-201604","201604","103","CLASSRMS","CLASSROOMS","1",31-OCT-15
"104-201604","201604","104","GENERAL","GENERAL USE","1",31-OCT-15
"105-201604","201604","105","HEALTH","HEALTH CARE","1",31-OCT-15
"106-201604","201604","106","LABS","LABORATORIES","1",31-OCT-15
"107-201604","201604","107","MECHANIC","MECHANICAL AREA","0",31-OCT-15
"108-201604","201604","108","OFFICES","OFFICES","1",31-OCT-15
"109-201604","201604","109","RESIDENT","RESIDENTIAL","1",31-OCT-15
"110-201604","201604","110","SPECIAL","SPECIAL USE","1",31-OCT-15
"111-201604","201604","111","STUDY","STUDY","1",31-OCT-15
"112-201604","201604","112","SUPPORT","SUPPORT","1",31-OCT-15
"113-201604","201604","113","UNCLASS","UNCLASSIFIED","1",31-OCT-15
"114-201604","201604","114","ZUSE","ZUSE ICR ONLY","1",31-OCT-15
"101-201610","201610","101","BLDG SRV","BLDG SERVICE AREA","0",01-MAY-16
"102-201610","201610","102","CIRCULAT","CIRCULATION AREA","0",01-MAY-16
"103-201610","201610","103","CLASSRMS","CLASSROOMS","1",01-MAY-16
