"FCLT_ORGANIZATION_KEY","DLC_KEY"
"101","D_AVS"
"102","D_ACT"
"103","D_ADM"
"104","D_AEROASTRO"
"105",""
"106","D_ALUM"
"107","D_ANTHRO"
"108","D_ARTS"
"109","D_MASDAR"
"110","D_ARCH"
"112","D_IS&T"
"113","D_ATHLETICS"
"114","D_AUDIT"
"115","D_B&CS"
"116","D_BIOENG"
"117","D_BIOLOGY"
"119","D_CAES"
"120","D_CMI"
"121","D_MITCARD"
"122","D_CSPA"
"125","D_CORP_CHAIR"
"126","D_CHEM"
"127","D_CHEME"
"128","D_BA"
"129","D_CHANCELLOR"
"130","D_CIPD"
"131","D_CIS"
"132","D_CEE"
"133","D_CAC"
"134","D_DMSE"
"135","D_CMS"
"137","D_CONCOURSE"
"138","D_COPYTECH"
"140","D_CRE"
"141","D_RESDEV"
"142","D_CSAIL"
"143","D_CTL"
"144","D_DEANGRAD"
"145","D_COMPMED"
"147","D_DINING"
"148","D_LIBRARIES"
"149","D_FACILITIES"
"150","D_FACILITIES"
"151","D_DSL:HQ"
"152","D_DUE:HQ"
"153","D_EAPS"
"154","D_ECO"
"155","D_EDGERTON"
"156","D_EECS"
"157","D_EHSO"
"158","D_LFEE"
"159","D_ENDICOTT"
"160","D_ENTSRVCS"
"161","D_IDSS"
"162","D_ESG"
"163","D_EXECVP"
"164","D_DINING"
"165","D_MAGLAB"
"166","D_OBFP"
"167","D_FLL"
"168","D_IS&T"
"169","D_HAYSTACK"
"170","D_HHMI"
"171","D_HISTORY"
"172","D_HR"
"174","D_DHSS"
"175","D_IMES"
"176","D_INST_PROF"
"177","D_MITIMCO"
"178","D_NUCENG"
"179","D_IS&T"
"180","D_ISN"
"181","D_CSR"
"182","D_KI"
"186","D_LGO"
"187","D_LIDS"
"188","D_L&P"
"189","D_LIBRARIES"
"190","D_TLO"
"191","D_LINCOLN"
"192","D_LVA"
"193","D_LIT"
"194","D_MECHE"
"195","D_LNS"
"196","D_MTA"
"197","D_MATHS"
"199","D_MECHE"
"200","D_MEDIA"
"201","D_MEDICAL"
"203","D_MCGOVERN"
"204","D_DMSE"
"205","D_MTL"
"206","D_MUSEUM"
"207","D_NRL"
"208","D_NUCENG"
"209","D_OEIT"
"210","D_PRESIDENT"
"211","D_PROVOST"
"212","D_OFS"
"213","D_OME"
"216","D_UNDEF"
"217","D_UNDEF"
"218","D_PARKING"
"219","D_PHYSICS"
"220","D_PEP"
"221","D_PILM"
"222","D_POLICE"
"223","D_POLSCI"
"224","D_PRESIDENT"
"225","D_PRESS"
"226","D_GRAY"
"227","D_PROCURE"
"228","D_PROPERTY"
"229","D_PROVOST"
"230","D_PROVOST"
"231","D_PSFC"
"232","D_VP_SEC_CORP"
"233","D_REG"
"234","D_RESDEV"
"235","D_DOF_RESIDENCE"
"236","D_HOUSING"
"237","D_RLE"
"238",""
"240","D_ROTC"
"241","D_ROTC"
"242","D_ROTC"
"243","D_DOE"
"244","D_DHSS"
"245","D_SLOAN"
"246","D_DEANSCI"
"247","D_DEANARCH"
"248","D_MECHE"
"249","D_SMA"
"250","D_SPEC"
"251","D_SSRC"
"252","D_SSWB"
"253","D_STS"
"254",""
"255","D_SFS"
"256","D_SFS"
"257","D_TLL"
"258","D_TECHREVIEW"
"259","D_TERRASCOPE"
"260","D_TPP"
"261","D_UAAP"
"262","D_DUSP"
"263","D_RESDEV"
"264","D_VPFINANCE"
"265","D_HR"
"266","D_VPRESOFF"
"267","D_VP_SEC_CORP"
"268","D_CMS"
"269","D_WALLACE"
"271","D_UNDEF"
"272","D_RESDEV"
"275",""
"277","D_MRL"
"278","D_DEANCOMP"
"279","D_MITOI"
"280","D_MITESI"
"281","D_J-WAFS"
"282","D_SUST"
"283","D_D-LAB"
"284",""
"285","D_MIT.NANO"
"286",""
"287",""
"288",""
