"FIELD_ID","FIELD_NAME","DEFINITION","FIELD_LENGTH","DATA_TYPE"
140,"OBJECT_CLASS","XXX",2,"VARCHAR2"
141,"OBJECT_CLASS_DESCRIPTION","XXX",30,"VARCHAR2"
142,"INTERNAL_ORDER_CREATE_DATE","The date the internal order was created.",8,"DATE"
143,"INTERNAL_ORDER_CREATE_USER_ID","The User ID of the person who created the Internal Order in SAP.",12,"VARCHAR2"
144,"INTERNAL_ORDER_CREATE_MIT_ID","XXX",9,"VARCHAR2"
145,"INT_ORDER_CREATE_USER_NAME","XXX",40,"VARCHAR2"
146,"IS_ORDER_RELEASED","Y= this order has been released.",1,"VARCHAR2"
147,"PLANNED_RELEASE_DATE","xxx",8,"DATE"
148,"RELEASE_DATE","XXXX",8,"DATE"
149,"IS_ORDER_COMPLETED","Y= this order is completed",1,"VARCHAR2"
150,"PLANNED_COMPLETION_DATE","XXX",8,"DATE"
151,"COMPLETION_DATE","The end date.",8,"DATE"
152,"IS_ORDER_CLOSED","Y=the order is closed.
N=the order is open.",1,"VARCHAR2"
153,"PLANNED_CLOSING_DATE","XXX",8,"DATE"
154,"CLOSING_DATE","The closing date for this transaction.",8,"DATE"
157,"LAB_ALLOCATION","Description associated with Lab Allocation Key.",30,"VARCHAR2"
159,"EB_ADJUSTMENT","Description associated with EB Adjustment Key.",30,"VARCHAR2"
161,"OH_ADJUSTMENT","Description associated with OH Adjustment Key.",30,"VARCHAR2"
162,"PLANNING_KEY","XXX",6,"VARCHAR2"
163,"PLANNING","XXX",30,"VARCHAR2"
164,"OBJECT_NUMBER","XXX",22,"VARCHAR2"
166,"RECORD_VALID_START_DATE","The date the person is identified as being associated with MIT.",8,"DATE"
167,"RECORD_VALID_END_DATE","The date the person becomes inactive.",8,"DATE"
169,"GL_ACCOUNT_ID","Identifies the GL Account.",6,"VARCHAR2"
170,"GL_ACCOUNT_NAME","The text name associated with the GL_ACCOUNT_ID.  For example: Telephone-Data Facilities, Materials and Services, and outside purchases.",20,"VARCHAR2"
171,"GL_ACCOUNT_DESCRIPTION","The long text describing what the account is used for.  For example:  Telephone-Data Facilities, AP-Goods Receipt",50,"VARCHAR2"
172,"GL_ACCOUNT_TYPE_CODE","Identifies the type of GL Account (Example: ND, LIAB, REVN, STL).",4,"VARCHAR2"
174,"IS_BALANCE_SHEET_ACCOUNT","Y= this is a balance sheet account.
N= this is not a balance sheet account.",1,"VARCHAR2"
176,"IS_LIQUID_ASSET_ACCOUNT","Y= this is a liquid asset account.
N= this is not a liquid asset account.",1,"VARCHAR2"
177,"IS_FIXED_ASSET_ACCOUNT","Y= this is a fixed asset account.
N=this is not a fixed asset account.",1,"VARCHAR2"
178,"IS_LIABILITY_ACCOUNT","Y= this is a liability account.
N= this is not a liability account.",1,"VARCHAR2"
179,"IS_FUND_ACCOUNT","Y= this is a fund account.
N= this is not a fund account.",1,"VARCHAR2"
180,"IS_EXPENSE_ACCOUNT","Y= this is an expense account.
N= this is not an expense account.",1,"VARCHAR2"
181,"IS_REVENUE_ACCOUNT","Y=this is a revenue account.
N=this is not a revenue account.",1,"VARCHAR2"
182,"IS_SETTLEMENT_ACCOUNT","Y=this is a settlement account.
N=this is not a settlement account.",1,"VARCHAR2"
184,"GL_ACCOUNT_CREATE_USER_ID","The User ID of the person who entered the GL Account into SAP.",12,"VARCHAR2"
185,"IS_BLOCKED_FOR_CREATION","Y= this is block for payment.",1,"VARCHAR2"
186,"IS_BLOCKED_FOR_POSTING","Y= this GL Account is blocked and cannot be posted to.
N= this GL Account is not blocked and can be posted to.",1,"VARCHAR2"
187,"IS_BLOCKED_FOR_PLANNING","Y= this is blocked for posting.",1,"VARCHAR2"
188,"IS_MARKED_FOR_DELETION","Y= this account is marked for deletion.
N= this account is not marked for deletion.",1,"VARCHAR2"
189,"GL_ACCOUNT_COUNTER","Used to count records within a group on a report.  Always contains a value of 1.",1,"NUMBER"
276,"COST_COLLECTOR","Cost collector or cost object",12,"VARCHAR2"
191,"COST_ELEMENT_CREATE_DATE","The date the cost element was created. ",8,"DATE"
192,"COST_ELEMENT_CREATE_USER_ID","The Kerberos ID of the person who created the cost element in SAP.",12,"VARCHAR2"
193,"COST_ELEMENT_CATEGORY_CODE","XXX",2,"VARCHAR2"
194,"COST_ELEMENT_CATEGORY_NAME","XXXX",30,"VARCHAR2"
195,"COST_ELEMENT_VALID_FROM_DATE","Date the Cost Element is available for use.",8,"DATE"
196,"COST_ELEMENT_VALID_TO_DATE","The  date the Cost Element is no longer valid (is no longer in use.)",8,"DATE"
278,"MIT_ID","MIT ID number of the person. Use this field to join with other tables containing data about people at MIT.",9,"VARCHAR2"
279,"SSN","The person's social security number.",9,"VARCHAR2"
280,"LAST_NAME","The person's last name.",30,"VARCHAR2"
200,"COST_COLLECTOR_ID","7-digit number which uniquely identifies the Cost Collector.",7,"VARCHAR2"
201,"COST_COLLECTOR_ID_WITH_TYPE","Contains the first digit of the Cost Collector Type Code and the seven digit Cost Collector ID.",8,"VARCHAR2"
202,"COST_COLLECTOR_TYPE_CODE","A two-character code identifying the type of Cost Collector.  CC=Cost Center, IO=Internal Order, PR=Project or WBS Element.",2,"VARCHAR2"
203,"COST_COLLECTOR_TYPE_DESC","The full name of the cost collector type",20,"VARCHAR2"
204,"COST_COLLECTOR_NAME","The name of the Cost Collector.",40,"VARCHAR2"
281,"FIRST_NAME","The person's first name.",30,"VARCHAR2"
282,"MIDDLE_NAME","The person's middle name (where available).",30,"VARCHAR2"
283,"FULL_NAME","The full name of the person.",90,"VARCHAR2"
284,"PRIOR_NAME","The person's prior name, for example, maiden name.",30,"VARCHAR2"
285,"EMAIL_ADDRESS","A person's complete electronic mail address including user name and node name, for example, username@school.edu.",60,"VARCHAR2"
286,"DATE_OF_BIRTH","The person's date of birth.",8,"DATE"
