"FUND_CENTER_KEY","FUND_CENTER_ID","FUND_CENTER_NAME","FUND_CENTER_ID_LEVEL1","FUND_CENTER_NAME_LEVEL1","FUND_CENTER_ID_LEVEL2","FUND_CENTER_NAME_LEVEL2","FUND_CENTER_ID_LEVEL3","FUND_CENTER_NAME_LEVEL3","FUND_CENTER_ID_LEVEL4","FUND_CENTER_NAME_LEVEL4","FUND_CENTER_ID_LEVEL5","FUND_CENTER_NAME_LEVEL5","FUND_CENTER_ID_LEVEL6","FUND_CENTER_NAME_LEVEL6","FUND_CENTER_ID_LEVEL7","FUND_CENTER_NAME_LEVEL7","FUND_CENTER_ID_LEVEL8","FUND_CENTER_NAME_LEVEL8","FUND_CENTER_ID_LEVEL9","FUND_CENTER_NAME_LEVEL9","FUND_CENTER_ID_LEVEL10","FUND_CENTER_NAME_LEVEL10","WAREHOUSE_LOAD_DATE"
"102455","102455","GNO - DEAN COLLEGE OF COMPUTING","100000","PRESIDENT","100001","PROVOST AREA","100030","STEPHEN SCHWARZMAN COLLEGE OF COMPUTING","100770","DEAN COLLEGE OF COMPUTING","102455","GNO - DEAN COLLEGE OF COMPUTING","","","","","","","","","","",28-OCT-24
"205730","205730","TESTER /JEFFERSON W CMI P400900","100000","PRESIDENT","100001","PROVOST AREA","100505","CAMBRIDGE-MIT INSTITUTE P400900","204228","PI-CAMBRIDGE MIT INSTITUTE","205730","TESTER /JEFFERSON W CMI P400900","","","","","","","","","","",28-OCT-24
"100202","100202","THE BROAD INSTITUTE P419000","100000","PRESIDENT","100001","PROVOST AREA","100017","VP FOR RESEARCH","100202","THE BROAD INSTITUTE P419000","","","","","","","","","","","","",28-OCT-24
"101546","101546","GO-UPOP P060900","100000","PRESIDENT","100001","PROVOST AREA","100012","ENGINEERING","100452","UNDERGRAD PRACTICE OP PROGRAM P060900","101546","GO-UPOP P060900","","","","","","","","","","",28-OCT-24
"400049","400049","DH-EIP P060400","100000","PRESIDENT","100001","PROVOST AREA","100012","ENGINEERING","100591","SOE-ENG INTERNSHIP PROGRAM P060400","400049","DH-EIP P060400","","","","","","","","","","",28-OCT-24
"400436","400436","DH-DOCUMENT SERVICES P271050","100000","PRESIDENT","100001","PROVOST AREA","100022","LIBRARIES","100176","DOCUMENT SERVICES","400436","DH-DOCUMENT SERVICES P271050","","","","","","","","","","",28-OCT-24
"400760","400760","DH-ADMIN/CMI","100000","PRESIDENT","100001","PROVOST AREA","100505","CAMBRIDGE-MIT INSTITUTE P400900","400750","DH-CAMBRIDGE-MIT INSTITUTE P400900","400760","DH-ADMIN/CMI","","","","","","","","","","",28-OCT-24
"100637","100637","MIT OFFICE OF INNOVATION P401823","100000","PRESIDENT","100001","PROVOST AREA","100012","ENGINEERING","100637","MIT OFFICE OF INNOVATION P401823","","","","","","","","","","","","",28-OCT-24
"403271","403271","DH - OSATT - SRATEGIC TRANS P401941","100000","PRESIDENT","100001","PROVOST AREA","100017","VP FOR RESEARCH","100717","OSATT-STRATEGIC TRANSACTIONS P401941","403271","DH - OSATT - SRATEGIC TRANS P401941","","","","","","","","","","",28-OCT-24
"100079","100079","ECSEL - SCHOOL OF ENGINEERING","100000","PRESIDENT","100001","PROVOST AREA","100012","ENGINEERING","100583","SOE-DEANS OFFICE","100079","ECSEL - SCHOOL OF ENGINEERING","","","","","","","","","","",28-OCT-24
"100187","100187","TELEPHONE RESERVE","100000","PRESIDENT","100001","PROVOST AREA","100024","MISCELLANEOUS ACADEMIC","100187","TELEPHONE RESERVE","","","","","","","","","","","","",28-OCT-24
"104010","104010","GO - INSTITUTE FOR MEDICAL ENG & SCI","100000","PRESIDENT","100001","PROVOST AREA","100012","ENGINEERING","100810","INSTITUTE FOR MEDICAL ENGINEERING & SCI","104010","GO - INSTITUTE FOR MEDICAL ENG & SCI","","","","","","","","","","",28-OCT-24
"207720","207720","PI - MIT ESI P402400","100000","PRESIDENT","100001","PROVOST AREA","100017","VP FOR RESEARCH","100644","MIT Environmental Solutions Initiative","207720","PI - MIT ESI P402400","","","","","","","","","","",28-OCT-24
"401625","401625","DH - MITII P401823","100000","PRESIDENT","100001","PROVOST AREA","100012","ENGINEERING","100637","MIT OFFICE OF INNOVATION P401823","401625","DH - MITII P401823","","","","","","","","","","",28-OCT-24
"103752","103752","GO - CAREER SERV & PRE-PROF ADVISING","100000","PRESIDENT","100001","PROVOST AREA","100258","DEAN FOR UNDERGRADUATE EDUCATION","100654","MIT CAREERS OFFICE","103752","GO - CAREER SERV & PRE-PROF ADVISING","","","","","","","","","","",28-OCT-24
"100575","100575","MECHANICAL ENGINEERING P065000","100000","PRESIDENT","100001","PROVOST AREA","100012","ENGINEERING","100575","MECHANICAL ENGINEERING P065000","","","","","","","","","","","","",28-OCT-24
"101826","101826","GO-MIT-SUTD COLLABORATION","100000","PRESIDENT","100001","PROVOST AREA","100016","OFFICE OF PROVOST","100543","MIT-SUTD COLLABORATION","101826","GO-MIT-SUTD COLLABORATION","","","","","","","","","","",28-OCT-24
"400002","400002","CHAIR-TECH & POLICY PROGRAM P069900","100000","PRESIDENT","100001","PROVOST AREA","100030","STEPHEN SCHWARZMAN COLLEGE OF COMPUTING","100072","TECHNOLOGY AND POLICY PROGRAM","400002","CHAIR-TECH & POLICY PROGRAM P069900","","","","","","","","","","",28-OCT-24
"101004","101004","GO-TECHNOLOGY & POLICY PROGRAM P069900","100000","PRESIDENT","100001","PROVOST AREA","100030","STEPHEN SCHWARZMAN COLLEGE OF COMPUTING","100072","TECHNOLOGY AND POLICY PROGRAM","101004","GO-TECHNOLOGY & POLICY PROGRAM P069900","","","","","","","","","","",28-OCT-24
"100140","100140","HAYSTACK OBSERVATORY","100000","PRESIDENT","100001","PROVOST AREA","100017","VP FOR RESEARCH","100140","HAYSTACK OBSERVATORY","","","","","","","","","","","","",28-OCT-24
"100188","100188","ADJUSTMENT: T.A./R.A. TO E.B.","100000","PRESIDENT","100001","PROVOST AREA","100024","MISCELLANEOUS ACADEMIC","100188","ADJUSTMENT: T.A./R.A. TO E.B.","","","","","","","","","","","","",28-OCT-24
"101655","101655","GO-SPECTROSCOPY LABORATORY P159500","100000","PRESIDENT","100001","PROVOST AREA","100015","SCIENCE","100577","SPECTROSCOPY LABORATORY P159500","101655","GO-SPECTROSCOPY LABORATORY P159500","","","","","","","","","","",28-OCT-24
"102177","102177","GNO-CENTER FOR SPACE RESEARCH P159600","100000","PRESIDENT","100001","PROVOST AREA","100015","SCIENCE","100118","CENTER FOR SPACE RESEARCH","102177","GNO-CENTER FOR SPACE RESEARCH P159600","","","","","","","","","","",28-OCT-24
"400158","400158","DH-SCI TEC & SOCIETY PROGRAM P097000","100000","PRESIDENT","100001","PROVOST AREA","100013","HUMANITITES & SOCIAL SCIENCE","100094","PROGRAM IN SCIENCE, TECH, AND SOCIETY","400158","DH-SCI TEC & SOCIETY PROGRAM P097000","","","","","","","","","","",28-OCT-24
"400374","400374","DH-CTR INNOVATION PROD DEVEL P068900","100000","PRESIDENT","100001","PROVOST AREA","100012","ENGINEERING","100585","CENTER FOR INNOVATION IN PRODUCT DEVELOP","400374","DH-CTR INNOVATION PROD DEVEL P068900","","","","","","","","","","",28-OCT-24
"400608","400608","DH-MIT PRESS","100000","PRESIDENT","100001","PROVOST AREA","100284","MIT PRESS","400608","DH-MIT PRESS","","","","","","","","","","","","",28-OCT-24
"208800","208800","PI - J-WAFS","100000","PRESIDENT","100001","PROVOST AREA","100017","VP FOR RESEARCH","100728","J-WAFS","208800","PI - J-WAFS","","","","","","","","","","",28-OCT-24
"403272","403272","DH - OSATT - ALLIANCE MANAGEMENT P401942","100000","PRESIDENT","100001","PROVOST AREA","100017","VP FOR RESEARCH","100718","OSATT - ALLIANCE MANAGEMENT P401942","403272","DH - OSATT - ALLIANCE MANAGEMENT P401942","","","","","","","","","","",28-OCT-24
"221427","221427","KOILE /KIMBERLE EECS P064000","100000","PRESIDENT","100001","PROVOST AREA","100012","ENGINEERING","100058","ELECTRICAL ENGINEERING & COMPUTER SCI","202828","PI-ELECRTICAL ENGIN & COMP SCI P064000","221427","KOILE /KIMBERLE EECS P064000","","","","","","","","",28-OCT-24
"100638","100638","CAMPUS ACTIVITIES COMPLEX (NEW) P405500","100000","PRESIDENT","100001","PROVOST AREA","100259","DEAN FOR STUDENT LIFE","100638","CAMPUS ACTIVITIES COMPLEX (NEW) P405500","","","","","","","","","","","","",28-OCT-24
"400111","400111","DH-VPR Research Administration","100000","PRESIDENT","100001","PROVOST AREA","100017","VP FOR RESEARCH","100232","VPR Research Administration","400111","DH-VPR Research Administration","","","","","","","","","","",28-OCT-24
"101113","101113","RESEARCH ADMINISTRATION SERVICES","100000","PRESIDENT","100001","PROVOST AREA","100017","VP FOR RESEARCH","100232","VPR Research Administration","101113","RESEARCH ADMINISTRATION SERVICES","","","","","","","","","","",28-OCT-24
"101500","101500","GO-CHEMICAL ENG P062000","100000","PRESIDENT","100001","PROVOST AREA","100012","ENGINEERING","100056","CHEMICAL ENGINEERING P062000","101500","GO-CHEMICAL ENG P062000","","","","","","","","","","",28-OCT-24
"106000","106000","GO - SOLVE P401874","100000","PRESIDENT","100001","PROVOST AREA","100016","OFFICE OF PROVOST","100673","SOLVE P401874","106000","GO - SOLVE P401874","","","","","","","","","","",28-OCT-24
"201211","201211","WEISS /THOMAS F EECS P064000","100000","PRESIDENT","100001","PROVOST AREA","100012","ENGINEERING","100058","ELECTRICAL ENGINEERING & COMPUTER SCI","202828","PI-ELECRTICAL ENGIN & COMP SCI P064000","201211","WEISS /THOMAS F EECS P064000","","","","","","","","",28-OCT-24
"202834","202834","BONING /DUANE EECS P064000","100000","PRESIDENT","100001","PROVOST AREA","100012","ENGINEERING","100058","ELECTRICAL ENGINEERING & COMPUTER SCI","202828","PI-ELECRTICAL ENGIN & COMP SCI P064000","202834","BONING /DUANE EECS P064000","","","","","","","","",28-OCT-24
"402085","402085","DH - ECONOMICS P091000","100000","PRESIDENT","100001","PROVOST AREA","100013","HUMANITITES & SOCIAL SCIENCE","100740","ECONOMICS","402085","DH - ECONOMICS P091000","","","","","","","","","","",28-OCT-24
"205996","205996","OZDAGLAR /OSUMAN EECS P064000","100000","PRESIDENT","100001","PROVOST AREA","100012","ENGINEERING","100058","ELECTRICAL ENGINEERING & COMPUTER SCI","202828","PI-ELECRTICAL ENGIN & COMP SCI P064000","205996","OZDAGLAR /OSUMAN EECS P064000","","","","","","","","",28-OCT-24
"101656","101656","GO-PROF EDUCATION PROGRAMS P061800","100000","PRESIDENT","100001","PROVOST AREA","100012","ENGINEERING","100579","PROFESSIONAL EDUCATION PROGRAMS P061800","101656","GO-PROF EDUCATION PROGRAMS P061800","","","","","","","","","","",28-OCT-24
