"HR_ORG_UNIT_KEY","HR_ORG_UNIT_ID","HR_ORG_UNIT_TITLE","HR_ORG_UNIT_LEVEL","HR_DEPARTMENT_CODE","HR_DEPARTMENT_ABBR","HR_DEPARTMENT_CODE_OLD","HR_DEPARTMENT_NAME","HR_DEPARTMENT_NAME_LONG","HR_DEPARTMENT_NAME_ALPHA","ORG_HIER_SCHOOL_AREA_NAME","ORG_HIER_TOP_LEVEL_NAME","ORG_HIER_ROOT_NAME","HR_ORG_LEVEL1_ID","HR_ORG_LEVEL1_SORT","HR_ORG_LEVEL1_NAME","HR_ORG_LEVEL2_ID","HR_ORG_LEVEL2_SORT","HR_ORG_LEVEL2_NAME","HR_ORG_LEVEL3_ID","HR_ORG_LEVEL3_SORT","HR_ORG_LEVEL3_NAME","HR_ORG_LEVEL4_ID","HR_ORG_LEVEL4_SORT","HR_ORG_LEVEL4_NAME","HR_ORG_LEVEL5_ID","HR_ORG_LEVEL5_SORT","HR_ORG_LEVEL5_NAME","DLC_KEY","WAREHOUSE_LOAD_DATE"
"O10000378","10000378","Sloan School of Management","DEPARTMENTS","10000378","HR-121000","121000","Sloan School of Management","Sloan School of Management","Sloan School of Management","Sloan School of Management Area","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10000031","17","Sloan School of Management Area","10000378","85","Sloan School of Management","","","","D_SLOAN",03-OCT-24
"O10000527","10000527","Earth, Atmospheric &  Planetary Sciences","DEPARTMENTS","10000527","HR-153000","153000","Earth, Atmospheric &  Planetary Sciences","Dept of Earth, Atmospheric, & Planetary Sciences","Earth, Atmospheric, & Planetary Sciences, Dept of","Science Area","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10000030","16","Science Area","10000527","92","Earth, Atmospheric &  Planetary Sciences","","","","D_EAPS",03-OCT-24
"O10000533","10000533","Mathematics","DEPARTMENTS","10000533","HR-154000","154000","Mathematics","Department of Mathematics","Mathematics, Department of","Science Area","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10000030","16","Science Area","10000533","93","Mathematics","","","","D_MATHS",03-OCT-24
"O10000543","10000543","Spectroscopy Laboratory","DEPARTMENTS","10000543","HR-159500","159500","Spectroscopy Laboratory","Spectroscopy Laboratory","Spectroscopy Laboratory","Science Area","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10000030","16","Science Area","10000543","98","Spectroscopy Laboratory","","","","D_SPEC",03-OCT-24
"O10000547","10000547","Laboratory for Nuclear Science","DEPARTMENTS","10000547","HR-159900","159900","Laboratory for Nuclear Science","Laboratory for Nuclear Science","Laboratory for Nuclear Science","Science Area","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10000030","16","Science Area","10000547","101","Laboratory for Nuclear Science","","","","D_LNS",03-OCT-24
"O10000548","10000548","Whitaker College of Health Sci & Tech","DEPARTMENTS","10000548","HR-160000","160000","Whitaker College of Health Sci & Tech","Whitaker College of Health Science & Technology","Whitaker College of Health Science & Technology","Whitaker","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10000036","21","Whitaker","10000548","102","Whitaker College of Health Sci & Tech","","","","D_WHIT",03-OCT-24
"O10000550","10000550","Clinical Research Center","DEPARTMENTS","10000550","HR-163000","163000","Clinical Research Center","Clinical Research Center","Clinical Research Center","Whitaker","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10000036","21","Whitaker","10000550","104","Clinical Research Center","","","","D_CLINRES",03-OCT-24
"O10000553","10000553","Center for Biomedical Engineering","DEPARTMENTS","10000553","HR-166000","166000","Center for Biomedical Engineering","Center for Biomedical Engineering","Center for Biomedical Engineering","VP Research","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10000032","18","VP Research","10000553","106","Center for Biomedical Engineering","","","","D_CBE",03-OCT-24
"O10000557","10000557","ROTC Army","DEPARTMENTS","10000557","HR-187500","187500","ROTC Army","ROTC Army","ROTC Army","Chancellor's Area","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10003358","327","Chancellor's Area","10005583","494","Vice Chancellor Area","10000219","30","ROTC Programs Area","D_ROTC",03-OCT-24
"O10000558","10000558","ROTC Navy","DEPARTMENTS","10000558","HR-187800","187800","ROTC Navy","ROTC Navy","ROTC Navy","Chancellor's Area","Provost Area","MIT-All","10000000","1","MIT-All","10000001","2","Provost Area","10003358","327","Chancellor's Area","10005583","494","Vice Chancellor Area","10000219","30","ROTC Programs Area","D_ROTC",03-OCT-24
