"IAP_SUBJECT_SESSION_KEY","SESSION_SEQUENCE","SESSION_TITLE","SESSION_DESCRIPTION","SESSION_LOCATION","SESSION_DATE","SESSION_START_TIME","SESSION_END_TIME","HAS_SESSION_INFO","WAREHOUSE_LOAD_DATE"
"9289afed754ffd47017648cdb4d404c7",,"","","Virtual",14-JAN-21,"1100AM","1200PM","Y",28-OCT-24
"9289afed754ffd470175e73d10e601bc",,"","","",,"","","N",28-OCT-24
"9289afed754ffd4701763e859b99043f",,"","","On Zoom",15-JAN-21,"1030AM","1130AM","Y",28-OCT-24
"9289afed754ffd4701768c2be3b109c4",,"","","Zoom land",14-JAN-21,"0500PM","0600PM","Y",28-OCT-24
"9289afed754ffd47017690073afb09dd",,"","","Zoom",20-JAN-21,"0400PM","0500PM","Y",28-OCT-24
"9289afec76e200210176f233edc00167",,"Module 3","<p>Module 3 will provide information on NIH proposals more broadly, with an emphasis on biostatistics and COVID related medical data available through the NIH.</p>","https://mit.zoom.us/",28-JAN-21,"0100PM","0230PM","Y",28-OCT-24
"9289afec76e200210176f233edc00167",,"Module 3","<p>Module 3 will provide information on NIH proposals more broadly, with an emphasis on biostatistics and COVID related medical data available through the NIH.</p>","https://mit.zoom.us/",28-JAN-21,"0330PM","0500PM","Y",28-OCT-24
"9289afec76e200210176f233edc00167",,"Module 2","<p>Module 2 will provide foundational awareness in constraints associated with human subjects research, including ethical and regulatory requirements. Instructors will provide a roadmap for writing research proposals and designing protocols with an eye toward IRB approval and NIH funding applications, as well as operationalizing a study.</p>","https://mit.zoom.us/",27-JAN-21,"0100PM","0230PM","Y",28-OCT-24
"9289afec76e200210176f233edc00167",,"Module 2","<p>Module 2 will provide foundational awareness in constraints associated with human subjects research, including ethical and regulatory requirements. Instructors will provide a roadmap for writing research proposals and designing protocols with an eye toward IRB approval and NIH funding applications, as well as operationalizing a study.</p>","https://mit.zoom.us/",27-JAN-21,"1030AM","1200PM","Y",28-OCT-24
"9289afec76e200210176f233edc00167",,"Module 1","<p>Module 1 will introduce the physiological monitoring technologies used in MIT's COVID-19 Surveillance Study, a joint initiative between MIT Medical and the IMES Clinical Research Center. This course will provide a sneak peek of the newly renovated IMES Clinical Research Center and the facilities, equipment, and services available to researchers engaged in human subjects research.</p>","https://mit.zoom.us/",26-JAN-21,"0100PM","0230PM","Y",28-OCT-24
