"LIBRARY_SUBJECT_OFFERED_KEY","TERM_CODE","MASTER_COURSE_NUMBER","MASTER_COURSE_NUMBER_SORT","MASTER_COURSE_NUMBER_DESC","MASTER_SUBJECT_ID","MASTER_SUBJECT_ID_SORT","COURSE_NUMBER","COURSE_NUMBER_SORT","COURSE_NUMBER_DESC","SUBJECT_ID","SUBJECT_ID_SORT","SUBJECT_TITLE","OFFER_DEPT_CODE","OFFER_DEPT_NAME","OFFER_SCHOOL_NAME","RESPONSIBLE_FACULTY_NAME","RESPONSIBLE_FACULTY_MIT_ID","NUM_ENROLLED_STUDENTS","WAREHOUSE_LOAD_DATE"
"1.002009FA","2009FA","1","  1","Civil and Environmental Eng","1.00","1.00","1","  1","Civil and Environmental Eng","1.00","  1.00","Intro Comp & Engr Prob Solving","1","Civil and Environmental Eng","Engineering","Harward, Judson","900008299",122,28-OCT-24
"1.002010FA","2010FA","1","  1","Civil and Environmental Eng","1.00","1.00","1","  1","Civil and Environmental Eng","1.00","  1.00","Intro Comp & Engr Prob Solving","1","Civil and Environmental Eng","Engineering","Harward, Judson","900008299",99,28-OCT-24
"1.002010SP","2010SP","1","  1","Civil and Environmental Eng","1.00","1.00","1","  1","Civil and Environmental Eng","1.00","  1.00","Intro Comp & Engr Prob Solving","1","Civil and Environmental Eng","Engineering","Kocur, George","900024831",111,28-OCT-24
"1.002011FA","2011FA","1","  1","Civil and Environmental Eng","1.00","1.00","1","  1","Civil and Environmental Eng","1.00","  1.00","Intro Comp & Engr Prob Solving","1","Civil and Environmental Eng","Engineering","Harward, Judson","900008299",120,28-OCT-24
"1.002011SP","2011SP","1","  1","Civil and Environmental Eng","1.00","1.00","1","  1","Civil and Environmental Eng","1.00","  1.00","Intro Comp & Engr Prob Solving","1","Civil and Environmental Eng","Engineering","Kocur, George","900024831",104,28-OCT-24
"1.002012FA","2012FA","1","  1","Civil and Environmental Eng","1.00","1.00","1","  1","Civil and Environmental Eng","1.00","  1.00","Intro Comp & Engr Prob Solving","1","Civil and Environmental Eng","Engineering","Kocur, George","900024831",108,28-OCT-24
"1.002013FA","2013FA","1","  1","Civil and Environmental Eng","1.00","1.00","1","  1","Civil and Environmental Eng","1.00","  1.00","Intro Comp & Engr Prob Solving","1","Civil and Environmental Eng","Engineering","Kocur, George","900024831",123,28-OCT-24
"1.002013SP","2013SP","1","  1","Civil and Environmental Eng","1.00","1.00","1","  1","Civil and Environmental Eng","1.00","  1.00","Intro Comp & Engr Prob Solving","1","Civil and Environmental Eng","Engineering","Kocur, George","900024831",103,28-OCT-24
"1.002014FA","2014FA","1","  1","Civil and Environmental Eng","1.00","1.00","1","  1","Civil and Environmental Eng","1.00","  1.00","Intro Comp & Engr Prob Solving","1","Civil and Environmental Eng","Engineering","Kocur, George","900024831",95,28-OCT-24
"1.002021SP","2021SP","1","  1","Civil and Environmental Eng","1.00","1.00","1","  1","Civil and Environmental Eng","1.00","  1.00","Eng Computation & Data Science","1","Civil and Environmental Eng","Engineering","Williams, John","900022457",5,28-OCT-24
