"DEPT_ID","D_CODE","D_NAME","PARENT_ID","PARENT_D_CODE","PARENT_D_NAME","WAREHOUSE_LOAD_DATE"
11396,"D_RLE","Research Lab Of Electronics",11493,"D_VPRES","VP Research",28-OCT-24
11397,"D_BIOLOGY","Biology",12263,"D_SCHOOL_SCI","School of Science",28-OCT-24
11398,"D_PRES_AREA","President's area",10000,"D_ALL","All Departments",28-OCT-24
11399,"D_DIBNER","Dibner Institute",13611,"D_OTHER_ORG","Outside organizations affiliated with MIT",28-OCT-24
11400,"D_INST_PROF","Institute Professors",13630,"D_OFC_PROVOST","Office of the Provost Area",28-OCT-24
11410,"D_ARCH","Architecture",12261,"D_SCHOOL_ARCH","School of Architecture & Planning",28-OCT-24
11411,"D_TLO","OSATT - Techology Licensing Office",15701,"D_OSATT_AREA","Office of Strategic Alliances & Tech Transfer Area",28-OCT-24
11434,"D_RESDEV","Vice President for Resource Development",12262,"D_EXECVP_AREA","Executive Vice President's Area",28-OCT-24
11439,"D_LIBRARIES","Libraries",13761,"D_LIB_TR_PRESS","Libraries, Tech Review, and MIT Press",28-OCT-24
11453,"D_HST","Harvard-MIT Health Sciences & Technology",11493,"D_VPRES","VP Research",28-OCT-24
11459,"D_DEANGRAD","Dean Of The Grad School Office",11493,"D_VPRES","VP Research",28-OCT-24
11465,"D_HAYSTACK","Haystack Observatory",11493,"D_VPRES","VP Research",28-OCT-24
11471,"D_MAGLAB","Francis Bitter Magnet Laboratory",11493,"D_VPRES","VP Research",28-OCT-24
11477,"D_CEHS","Center for Environmental Health Sciences",11493,"D_VPRES","VP Research",28-OCT-24
11488,"D_CLINRES","Clinical Research Center",11493,"D_VPRES","VP Research",28-OCT-24
11493,"D_VPRES","VP Research",12938,"D_PROVOST_AREA","Provost Area",28-OCT-24
11494,"D_CMSE","Center for Materials Science & Engineering",11493,"D_VPRES","VP Research",28-OCT-24
11500,"D_COMPMED","Division Of Comparative Medicine",11493,"D_VPRES","VP Research",28-OCT-24
11523,"D_EECS","Electrical Engineering & Computer Science",12259,"D_SCHOOL_ENG","School of Engineering",28-OCT-24
11535,"D_NRL","Nuclear Reactor Laboratory",11493,"D_VPRES","VP Research",28-OCT-24
11547,"D_PSFC","Plasma Sciences & Fusion Center",11493,"D_VPRES","VP Research",28-OCT-24
11559,"D_TDP","Technology & Development Program",11493,"D_VPRES","VP Research",28-OCT-24
11565,"D_VPRESOFF","Vice President for Research",11493,"D_VPRES","VP Research",28-OCT-24
11570,"D_WHIT","Whitaker College",11493,"D_VPRES","VP Research",28-OCT-24
11576,"D_PROVOST","Provost's Office",13630,"D_OFC_PROVOST","Office of the Provost Area",28-OCT-24
11585,"D_PRESIDENT","Office of President / Chair",11398,"D_PRES_AREA","President's area",28-OCT-24
11594,"D_MUSEUM","MIT Museum",13631,"D_ARTS_PROVOST","Associate Provost for the Arts",28-OCT-24
11599,"D_LVA","List Visual Arts Center",13631,"D_ARTS_PROVOST","Associate Provost for the Arts",28-OCT-24
11604,"D_ARTS","Office of The Arts",13631,"D_ARTS_PROVOST","Associate Provost for the Arts",28-OCT-24
11610,"D_CHEM","Chemistry",12263,"D_SCHOOL_SCI","School of Science",28-OCT-24
11616,"D_EAPS","Earth, Atmospheric & Planetary Sciences",12263,"D_SCHOOL_SCI","School of Science",28-OCT-24
11622,"D_B&CS","Brain & Cognitive Sciences",12263,"D_SCHOOL_SCI","School of Science",28-OCT-24
11634,"D_MATHS","Mathematics",12263,"D_SCHOOL_SCI","School of Science",28-OCT-24
11639,"D_DEANSCI","Dean Of Science",12263,"D_SCHOOL_SCI","School of Science",28-OCT-24
11651,"D_MECHE","Mechanical Engineering",12259,"D_SCHOOL_ENG","School of Engineering",28-OCT-24
11657,"D_MEDIA","Media Lab",12261,"D_SCHOOL_ARCH","School of Architecture & Planning",28-OCT-24
11663,"D_MAS","Media Arts & Sciences Program",12261,"D_SCHOOL_ARCH","School of Architecture & Planning",28-OCT-24
11677,"D_CAES","Center for Advanced Educational Services",13630,"D_OFC_PROVOST","Office of the Provost Area",28-OCT-24
11682,"D_CIS","Center for International Studies",12260,"D_SCHOOL_HUM","School of Humanities & Social Science",28-OCT-24
11688,"D_DHSS","Dean of Humanities & Social Sciences",12260,"D_SCHOOL_HUM","School of Humanities & Social Science",28-OCT-24
11693,"D_ECO","Economics",12260,"D_SCHOOL_HUM","School of Humanities & Social Science",28-OCT-24
11699,"D_FLL","Foreign Languages & Literature",12260,"D_SCHOOL_HUM","School of Humanities & Social Science",28-OCT-24
11704,"D_HISTORY","History",12260,"D_SCHOOL_HUM","School of Humanities & Social Science",28-OCT-24
11709,"D_L&P","Linguistics & Philosophy",12260,"D_SCHOOL_HUM","School of Humanities & Social Science",28-OCT-24
11714,"D_LIT","Literature",12260,"D_SCHOOL_HUM","School of Humanities & Social Science",28-OCT-24
11719,"D_MTA","Music & Theater Arts",12260,"D_SCHOOL_HUM","School of Humanities & Social Science",28-OCT-24
11724,"D_POLSCI","Political Science",12260,"D_SCHOOL_HUM","School of Humanities & Social Science",28-OCT-24
11729,"D_STS","Program In Science, Technology & Society",12260,"D_SCHOOL_HUM","School of Humanities & Social Science",28-OCT-24
11735,"D_ANTHRO","Anthropology",12260,"D_SCHOOL_HUM","School of Humanities & Social Science",28-OCT-24
11755,"D_CSR","Kavli Institute for Astrophysics & Space Research",12263,"D_SCHOOL_SCI","School of Science",28-OCT-24
