"SIS_ADMIN_DEPARTMENT_CODE","SIS_ADMIN_DEPARTMENT_NAME","DEPARTMENT_PHONE_AREA_CODE","DEPARTMENT_PHONE_NUMBER","CLEARING_COST_COLLECTOR","LAST_ACTIVITY_DATE","WAREHOUSE_LOAD_DATE"
"1","Civil and Environmental Eng","","2537104","1323000",20-FEB-08,28-OCT-24
"2","Mechanical Engineering","","2532291","1323200",12-AUG-96,28-OCT-24
"3","Materials Science and Eng","","2533855","1323300",20-AUG-98,28-OCT-24
"22","Nuclear Engineering","","2533814","1323500",12-AUG-96,28-OCT-24
"17","Political Science","","2536635","1494000",12-AUG-96,28-OCT-24
"MAG","Magnet Lab","","","",18-MAY-94,28-OCT-24
"LNS","Lab for Nuclear Science","","","",18-MAY-94,28-OCT-24
"RLE","Research Lab of Electronics","","","",18-MAY-94,28-OCT-24
"13","Ocean Engineering","","2531994","1323400",12-AUG-96,28-OCT-24
"14","Economics","","2538787","1323900",12-AUG-96,28-OCT-24
"15","Management","","2530275","1324500",12-AUG-96,28-OCT-24
"19","Meteorology & Physical Oceanog","","2532281","",12-AUG-96,28-OCT-24
"20","Biological Engineering","","2534132","",14-SEP-06,28-OCT-24
"21","Humanities","","2534132","1326500",05-AUG-99,28-OCT-24
"21A","Anthropology/Archaeology","","","",18-OCT-94,28-OCT-24
"21F","Global Studies & Languages","","","",01-JUL-14,28-OCT-24
"21H","History","","","",18-OCT-94,28-OCT-24
"21L","Literature","","","",18-OCT-94,28-OCT-24
"21M","Music","","","",27-MAR-24,28-OCT-24
"23","Modern Languages","","","",18-OCT-94,28-OCT-24
"24","Linguistics and Philosophy","","2539374","1327700",12-AUG-96,28-OCT-24
"25","Interdisciplinary Science Prog","","","",18-OCT-94,28-OCT-24
"4","Architecture","","3241903","1322600",11-MAR-09,28-OCT-24
"8","Physics","","2534851","1325300",12-AUG-96,28-OCT-24
"ACAD","Academic Query","","","",24-OCT-94,28-OCT-24
"PAY","Payroll","","","",01-DEC-94,28-OCT-24
"ADDC","Automatic Direct Debit","","2585666","",12-AUG-96,28-OCT-24
"PARK","Parking and Transportation","","2586510","",12-AUG-96,28-OCT-24
"SSC","Student Services Center","","2588600","1133500",23-JAN-97,28-OCT-24
"SDM","System Design & Management","","2530254","2737363",19-AUG-14,28-OCT-24
"WWW","World Wide Web","","","",07-APR-97,28-OCT-24
"RCC1","Copy Center, Bldg 11","","2580327","1366600",12-MAY-97,28-OCT-24
"RCC2","Copy Center, E52","","2580327","1366800",12-MAY-97,28-OCT-24
"CRS","Career Services","","","",26-MAY-97,28-OCT-24
"AV","Audio Visual","","","",28-AUG-97,28-OCT-24
"5","Chemistry","","2531845","1324800",18-SEP-01,28-OCT-24
"12","Earth, Atmos & Planetary Sci","","2533380","1324900",12-AUG-96,28-OCT-24
"18","Mathematics","","2532689","1325000",12-AUG-96,28-OCT-24
"9","Brain and Cognitive Sciences","","2535741","1324300",12-AUG-96,28-OCT-24
"CSB","Computational Systems Biology","","2533874","2735455",28-JUL-04,28-OCT-24
