"MIT_ID","DEPT_COUNT","DEPT_NAMES","NUM_OF_SUPERVISEES","SQFT","RESEARCH_VOLUME","SQFT_PER_SUPERVISEE","SQFT_PER_RES_VOL","RES_VOL_PER_SQFT"
"924383740",1,"D_MEDIA",1,1739,3901.83,1739,0,2
"929034630",1,"D_DUSP",1,133,149198.07,133,0,1124
"900003178",1,"D_RESDEV",1,0,0,0,0,0
"923424165",1,"D_LIBRARIES",1,85,0,85,0,0
"928789913",1,"D_CHEM",5,982,344522.28,196,0,351
"959948969",1,"D_KI",3,2069,486150.05,690,0,235
"900056237",1,"D_ECO",1,91,0,91,0,0
"921643478",1,"D_ECO",1,223,0,223,0,0
"900029512",1,"D_L&P",1,96,0,96,0,0
"900050990",1,"D_RESDEV",1,94,0,94,0,0
"921246354",1,"D_LIBRARIES",1,62,0,62,0,0
"923612333",1,"D_MECHE",3,1596,47761.98,532,0,30
"986758575",1,"D_IMES",2,1608,1020820.15,804,0,635
"917762776",1,"D_ARCH",1,79,26718.23,79,0,337
"900019041",2,"D_ECO,D_POLSCI",1,268,0,268,0,0
"900010158",1,"D_L&P",1,60,0,60,0,0
"921769464",1,"D_RLE",5,1746,1820298.24,349,0,1043
"923226404",1,"D_ALUM",1,58,0,58,0,0
"900026496",1,"D_CMS",1,170,0,170,0,0
"924546891",1,"D_CSAIL",3,2802,0,934,0,0
"900009936",1,"D_SLOAN",1,209,0,209,0,0
"921493606",1,"D_ECO",1,84,0,84,0,0
"919784275",1,"D_SLOAN",1,255,0,255,0,0
"972892214",1,"D_SLOAN",1,209,0,209,0,0
"926632664",1,"D_ECO",1,131,0,131,0,0
"900021628",1,"D_SLOAN",1,76,0,76,0,0
"924499263",2,"D_ALUM,D_RESDEV",1,71,0,71,0,0
"924567995",1,"D_LFEE",1,233,0,233,0,0
"924140758",1,"D_SLOAN",1,66,0,66,0,0
"920938593",2,"D_ALUM,D_RESDEV",1,91,0,91,0,0
"900004487",1,"D_KI",1,207,0,207,0,0
"971380134",1,"D_LIBRARIES",1,44,0,44,0,0
"900015544",1,"D_SLOAN",1,209,0,209,0,0
"900027477",1,"D_MTA",1,77,0,77,0,0
"900028320",1,"D_LFEE",1,0,0,0,0,0
"900025448",1,"D_BIOLOGY",1,0,0,0,0,0
"900017762",1,"D_PROVOST",1,0,0,0,0,0
"900029404",1,"D_CSAIL",1,190,0,190,0,0
"900023725",1,"D_ALUM",1,100,0,100,0,0
"959516575",1,"D_CSAIL",4,1175,0,294,0,0
"900025260",2,"D_B&CS,D_CSAIL",3,979,722219.16,326,0,738
"924998555",1,"D_ALUM",1,69,0,69,0,0
"985864552",1,"D_DEANARCH",1,0,0,0,0,0
"929102706",1,"D_LIDS",1,265,0,265,0,0
"943235860",1,"D_CSR",1,217,38492.78,217,0,178
"927294731",1,"D_RLE",3,980,386425.29,327,0,394
"928551468",1,"D_RESDEV",1,0,0,0,0,0
"924814556",1,"D_RESDEV",1,0,0,0,0,0
"916204033",1,"D_RLE",1,230,0,230,0,0
"900040726",1,"D_ALUM",1,118,0,118,0,0
"900020849",2,"D_CSAIL,D_MECHE",8,698,841816.13,87,0,1206
"958690982",1,"D_RLE",6,2866,983018.89,478,0,343
"927322771",1,"D_ALUM",1,124,0,124,0,0
"929130484",2,"D_IDSS,D_LIDS",2,409,343108.44,205,0,838
"920340024",1,"D_LIT",1,158,0,158,0,0
