"STAR_ID","VIEW_ID"
1,8
1,28
1,48
1,49
1,50
1,51
1,59
1,93
1,107
1,115
1,117
1,143
1,147
1,184
1,187
1,188
1,189
2,8
2,28
2,49
2,50
2,51
2,107
2,108
2,109
2,111
2,114
2,117
2,164
2,165
2,166
2,184
2,187
2,188
3,8
3,28
3,49
3,50
3,51
3,59
3,90
3,107
3,147
3,184
3,187
3,188
3,189
4,83
4,84
4,1208
4,1209
4,3138
4,7273
5,8
5,28
5,49
5,50
5,51
5,59
5,107
5,115
5,184
5,187
5,188
5,189
5,204
5,208
6,8
6,28
6,49
6,50
6,51
6,59
6,107
6,117
6,166
6,184
6,187
6,188
6,189
6,204
6,206
6,207
7,8
7,28
7,49
7,50
7,51
7,59
7,107
7,114
7,117
7,166
7,184
7,187
7,188
7,189
7,204
7,205
7,206
8,55
8,58
8,61
8,89
8,94
9,50
9,51
9,115
9,185
9,188
9,210
9,212
9,213
10,50
10,204
10,209
11,215
11,229
12,1188
12,1189
12,1190
12,1191
12,1192
16,253
16,254
16,255
21,114
21,251
21,252
42,313
42,317
42,318
42,319
42,336
42,340
42,882
43,314
43,319
43,337
43,338
43,340
44,314
44,315
44,316
44,319
44,339
44,340
61,314
61,319
61,340
61,382
61,383
81,84
81,416
81,417
81,782
81,1652
101,50
101,51
101,114
101,319
101,436
101,437
101,926
101,2271
121,416
121,562
121,682
121,782
121,842
143,50
143,51
143,115
143,188
143,482
143,722
203,1008
203,1009
203,1010
203,1013
261,1298
261,1299
261,1300
261,1301
261,1303
261,1304
261,1305
261,1306
261,1307
261,1308
261,1309
261,1310
261,1313
261,1315
262,1298
262,1311
262,1312
263,1298
263,1299
263,1303
263,1304
263,1308
263,1309
263,1312
263,1313
263,1314
263,1315
264,1298
264,1299
264,1302
264,1304
264,1308
264,1309
264,1313
281,1280
281,1281
281,1282
281,1292
281,1293
281,1355
281,1356
301,1288
301,1289
324,1435
324,1437
324,1438
324,1439
324,1440
324,1441
333,1435
333,1438
333,1442
333,1463
361,1583
361,1584
361,1585
361,1586
361,1587
361,1588
361,1589
361,1590
361,1591
362,1728
362,1729
362,1733
362,1734
362,1736
362,1759
383,1728
383,1729
383,1733
383,1734
383,1736
383,1759
421,314
421,2270
421,2271
425,114
425,251
425,252
425,622
442,1811
442,2099
442,2100
442,2101
442,2753
461,986
461,2223
461,2226
461,2228
461,2229
464,986
464,2224
464,2225
464,2227
464,2372
481,1719
481,1726
481,1728
481,1729
481,1733
481,1759
483,1723
483,1726
483,1728
483,1729
483,1733
483,1759
501,84
501,2452
501,2453
501,2454
501,2455
523,1009
523,2179
523,2251
523,2252
523,2254
527,2250
527,2251
527,2492
529,2251
529,2253
542,1008
542,1009
542,1010
542,2179
542,2203
545,2179
545,2182
545,2203
546,1999
546,2203
561,1375
562,1939
562,2798
562,2799
564,1939
564,2793
564,2794
564,2795
564,2796
564,2797
565,1939
565,2800
566,1939
566,2801
582,85
582,2835
582,2836
582,2841
585,2838
585,2840
585,2841
586,2837
586,2839
586,2840
586,2841
588,2833
588,2837
588,2841
590,2834
590,2837
590,2841
601,1741
601,3038
601,3039
661,51
661,115
661,482
661,862
662,111
662,273
662,3298
662,3438
662,3439
662,3440
662,3441
663,103
663,273
663,3339
663,3468
664,273
664,3440
664,3468
664,5637
664,5638
665,51
665,103
665,822
666,51
666,3468
666,5639
666,5640
667,51
667,3338
667,3468
667,5641
668,51
668,103
668,582
669,103
669,2183
669,2184
670,103
670,3442
682,4019
682,4020
682,4058
682,4059
682,4060
682,4061
682,4062
723,3698
723,3738
723,3740
723,3741
724,50
724,51
724,115
724,1729
724,1733
724,3679
724,3698
724,3739
724,3740
724,3741
725,51
725,273
725,3759
725,3998
725,3999
742,114
742,1759
742,3742
742,3743
742,3744
742,3745
762,1759
762,3742
762,3743
762,3744
783,4475
783,4497
783,4498
783,4595
783,4596
784,4497
784,4499
784,4500
784,4501
784,4515
784,4595
785,4495
785,4496
785,4515
785,4595
841,5256
841,5257
841,5258
861,84
861,782
861,3538
861,5296
861,5297
1001,84
1001,416
1001,1652
1001,5719
1002,84
1002,416
1002,1652
1002,5719
1042,6076
1042,6077
1042,6078
1061,6196
1061,6197
1081,502
1081,946
1081,1395
1102,1727
1102,1738
1102,1739
1102,1740
1102,1741
1102,1759
1102,3038
1102,3039
1123,7252
1123,7253
1123,7255
1123,7332
1123,7352
1123,7412
1123,7414
1124,7352
1124,7372
1124,7373
1124,7374
1124,7412
1124,7413
1124,7414
1144,10583
1144,10584
1144,10585
1144,10586
1144,10587
