"DEPARTMENT_CODE","DEPARTMENT_NAME","DEPARTMENT_FULL_NAME","SCHOOL_CODE","SCHOOL_NAME"
"1","Civil and Environmental Eng","1-Civil and Environmental Eng","E","Engineering"
"2","Mechanical Engineering","2-Mechanical Engineering","E","Engineering"
"3","Materials Science and Eng","3-Materials Science and Eng","E","Engineering"
"4","Architecture","4-Architecture","A","Architecture and Planning"
"5","Chemistry","5-Chemistry","S","Science"
"6","Electrical Eng & Computer Sci","6-Electrical Eng & Computer Sci","E","Engineering"
"7","Biology","7-Biology","S","Science"
"8","Physics","8-Physics","S","Science"
"9","Brain and Cognitive Sciences","9-Brain and Cognitive Sciences","S","Science"
"10","Chemical Engineering","10-Chemical Engineering","E","Engineering"
"11","Urban Studies and Planning","11-Urban Studies and Planning","A","Architecture and Planning"
"12","Earth, Atmos & Planetary Sci","12-Earth, Atmos & Planetary Sci","S","Science"
"13","Ocean Engineering","13-Ocean Engineering","E","Engineering"
"14","Economics","14-Economics","H","Hum, Arts & Social Sciences"
"15","Management","15-Management","M","Sloan School of Management"
"16","Aeronautics and Astronautics","16-Aeronautics and Astronautics","E","Engineering"
"17","Political Science","17-Political Science","H","Hum, Arts & Social Sciences"
"18","Mathematics","18-Mathematics","S","Science"
"19","Meteorology & Physical Oceanog","19-Meteorology & Physical Oceanog","S","Science"
"20","Biological Engineering","20-Biological Engineering","E","Engineering"
"21","Humanities","21-Humanities","H","Hum, Arts & Social Sciences"
"22","Nuclear Engineering","22-Nuclear Engineering","E","Engineering"
"23","Modern Languages","23-Modern Languages","H","Hum, Arts & Social Sciences"
"24","Linguistics and Philosophy","24-Linguistics and Philosophy","H","Hum, Arts & Social Sciences"
"25","Interdisciplinary Science Prog","25-Interdisciplinary Science Prog","S","Science"
"BE","Biological Engineering","BE-Biological Engineering","E","Engineering"
"EM","Engineering Management","EM-Engineering Management","E","Engineering"
"EN","Center for Adv Eng Studies","EN-Center for Adv Eng Studies","E","Engineering"
"NI","Non-Inst Cross-Enrollment Prog","NI-Non-Inst Cross-Enrollment Prog","Z","Non-MIT"
"OR","Operations Research","OR-Operations Research","M","Sloan School of Management"
"21A","Anthropology","21A-Anthropology","H","Hum, Arts & Social Sciences"
"21E","Humanities and Engineering","21E-Humanities and Engineering","H","Hum, Arts & Social Sciences"
"21F","Global Studies & Languages","21F-Global Studies & Languages","H","Hum, Arts & Social Sciences"
"21G","Global Languages","21G-Global Languages","H","Hum, Arts & Social Sciences"
"21H","History","21H-History","H","Hum, Arts & Social Sciences"
"21L","Literature","21L-Literature","H","Hum, Arts & Social Sciences"
"21M","Music","21M-Music","H","Hum, Arts & Social Sciences"
"21S","Humanities and Science","21S-Humanities and Science","H","Hum, Arts & Social Sciences"
"21T","Theater Arts","21T-Theater Arts","H","Hum, Arts & Social Sciences"
"21W","Writing & Humanistic Studies","21W-Writing & Humanistic Studies","H","Hum, Arts & Social Sciences"
"ASP","Advanced Study Program","ASP-Advanced Study Program","E","Engineering"
"BEH","Bioengineering & Envir. Health","BEH-Bioengineering & Envir. Health","E","Engineering"
"CDO","Computation for Des & Optmiz","CDO-Computation for Des & Optmiz","E","Engineering"
"CMS","Comparative Media Studies","CMS-Comparative Media Studies","H","Hum, Arts & Social Sciences"
"CSB","Computational and Systems Bio","CSB-Computational and Systems Bio","E","Engineering"
"CSE","Computational Sci and Eng","CSE-Computational Sci and Eng","W","Schwarzman Coll of Comp"
"CTS","Ctr for Transportation Studies","CTS-Ctr for Transportation Studies","E","Engineering"
"DOM","Domestic Study Program","DOM-Domestic Study Program","Y","MIT, academic"
"ESD","Engineering Systems Division","ESD-Engineering Systems Division","E","Engineering"
"FOR","Foreign Study Program","FOR-Foreign Study Program","Y","MIT, academic"
"HPM","Health Policy & Management","HPM-Health Policy & Management","T","Whitaker Coll of HST;  HST"
"HST","Health Sciences & Technology","HST-Health Sciences & Technology","E","Engineering"
"IDS","Inst for Data, Syst, & Soc","IDS-Inst for Data, Syst, & Soc","W","Schwarzman Coll of Comp"
"MAS","Prog in Media Arts Sciences","MAS-Prog in Media Arts Sciences","A","Architecture and Planning"
"NIA","Non-Institute-MFA/MCA","NIA-Non-Institute-MFA/MCA","Z","Non-MIT"
"NIC","Grad Consortium Women's Stud","NIC-Grad Consortium Women's Stud","Z","Non-MIT"
"NIE","Non-Institute Exchange Student","NIE-Non-Institute Exchange Student","Z","Non-MIT"
"NIG","Gordon Coll Cross-Enroll Prog","NIG-Gordon Coll Cross-Enroll Prog","Z","Non-MIT"
"NIH","Harvard Cross-Enrollment Prog","NIH-Harvard Cross-Enrollment Prog","Z","Non-MIT"
"NIL","Lesley Coll Cross-Enroll Prog","NIL-Lesley Coll Cross-Enroll Prog","Z","Non-MIT"
