"TERM_CODE","SUBJECT_ID","SESSION_NUMBER","MEET_PLACE","MEET_START_TIME","MEET_END_TIME","IAP_DAY","IAP_DATE","REMARKS","WAREHOUSE_LOAD_DATE"
"2021JA","",,"Virtual","1100AM","1200PM","",14-JAN-21,"",28-OCT-24
"2021JA","",,"","","","",,"",28-OCT-24
"2021JA","",,"On Zoom","1030AM","1130AM","",15-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom land","0500PM","0600PM","",14-JAN-21,"https://mit.zoom.us/j/94512488303",28-OCT-24
"2021JA","",,"Zoom","0400PM","0500PM","",20-JAN-21,"",28-OCT-24
"2021JA","",,"https://mit.zoom.us/","0100PM","0230PM","",28-JAN-21,"https://mit.zoom.us/j/98608577276",28-OCT-24
"2021JA","",,"https://mit.zoom.us/","0330PM","0500PM","",28-JAN-21,"https://mit.zoom.us/j/98608577276",28-OCT-24
"2021JA","",,"https://mit.zoom.us/","0100PM","0230PM","",27-JAN-21,"https://mit.zoom.us/j/98608577276",28-OCT-24
"2021JA","",,"https://mit.zoom.us/","1030AM","1200PM","",27-JAN-21,"https://mit.zoom.us/j/98608577276",28-OCT-24
"2021JA","",,"https://mit.zoom.us/","0100PM","0230PM","",26-JAN-21,"https://mit.zoom.us/j/98608577276",28-OCT-24
"2021JA","",,"https://mit.zoom.us/","0330PM","0500PM","",26-JAN-21,"https://mit.zoom.us/j/98608577276",28-OCT-24
"2021JA","",,"Zoom","0600PM","0730PM","",06-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","0600PM","0730PM","",20-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","0600PM","0730PM","",13-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","0600PM","0730PM","",11-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","0600PM","0730PM","",25-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","0600PM","0730PM","",27-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","1000AM","1100AM","",14-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","1000AM","1100AM","",21-JAN-21,"",28-OCT-24
"2021JA","",,"On Zoom-TBA","1030AM","1200PM","",13-JAN-21,"",28-OCT-24
"2021JA","",,"On Zoom","0100PM","0230PM","",19-JAN-21,"link TBA",28-OCT-24
"2021JA","",,"Zoom","0100PM","0300PM","",11-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","0100PM","0300PM","",28-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","0100PM","0300PM","",13-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","0100PM","0300PM","",18-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","0100AM","0300AM","",25-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","0100PM","0300PM","",20-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","0400PM","0500PM","",19-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","0400PM","0500PM","",21-JAN-21,"",28-OCT-24
"2021JA","",,"On Zoom","0400PM","0530PM","",25-JAN-21,"",28-OCT-24
"2021JA","",,"","","","",,"",28-OCT-24
"2021JA","",,"VIRTUAL","1230PM","0145PM","",19-JAN-21,"zoom link will be sent to each participant",28-OCT-24
"2021JA","",,"VIRTUAL","1230PM","0145PM","",12-JAN-21,"zoom link will be sent to each participant",28-OCT-24
"2021JA","",,"Zoom","0700PM","0830PM","",08-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","0400PM","0500PM","",20-JAN-21,"",28-OCT-24
"2021JA","",,"Online","1230PM","0200PM","",15-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","0400PM","0500PM","",19-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","0730AM","0830AM","",11-JAN-21,"Yoga mat recommended.",28-OCT-24
"2021JA","",,"Zoom","0730AM","0830AM","",13-JAN-21,"Yoga mat recommended.",28-OCT-24
"2021JA","",,"Zoom","0730AM","0830AM","",20-JAN-21,"Yoga mat recommended.",28-OCT-24
"2021JA","",,"Zoom","0730AM","0830AM","",25-JAN-21,"Yoga mat recommended.",28-OCT-24
"2021JA","",,"Zoom","0730AM","0830AM","",06-JAN-21,"Yoga mat recommended.",28-OCT-24
"2021JA","",,"Zoom","0730AM","0830AM","",27-JAN-21,"Yoga mat recommended.",28-OCT-24
"2021JA","",,"Zoom","0730AM","0830AM","",03-JAN-21,"Yoga mat recommended.",28-OCT-24
"2021JA","",,"Zoom","0730AM","0830AM","",04-JAN-21,"Yoga mat recommended.",28-OCT-24
"2021JA","",,"Zoom","0730AM","0830AM","",05-JAN-21,"Yoga Mat or rug recommended.",28-OCT-24
"2021JA","",,"Zoom","0730AM","0830AM","",26-JAN-21,"Yoga Mat or rug recommended.",28-OCT-24
"2021JA","",,"Zoom","0730AM","0830AM","",19-JAN-21,"Yoga Mat or rug recommended.",28-OCT-24
"2021JA","",,"Zoom","0730AM","0830AM","",12-JAN-21,"Yoga Mat or rug recommended.",28-OCT-24
"2021JA","",,"Zoom","0900AM","0945AM","",04-JAN-21,"Yoga mat and chair recommended.",28-OCT-24
"2021JA","",,"Zoom","0730AM","0830AM","",28-JAN-21,"Yoga mat and chair recommended.",28-OCT-24
"2021JA","",,"Zoom","0900AM","0945AM","",25-JAN-21,"Yoga mat and chair recommended.",28-OCT-24
"2021JA","",,"Zoom","0730AM","0830AM","",21-JAN-21,"Yoga mat and chair recommended.",28-OCT-24
"2021JA","",,"Zoom","0730AM","0830AM","",14-JAN-21,"Yoga mat and chair recommended.",28-OCT-24
"2021JA","",,"Zoom","0900AM","0945AM","",11-JAN-21,"Yoga mat and chair recommended.",28-OCT-24
"2021JA","",,"Zoom","0730AM","0830AM","",07-JAN-21,"Yoga mat and chair recommended.",28-OCT-24
"2021JA","",,"Zoom","0900AM","0945AM","",21-JAN-21,"Household items/yoga mat recommended.",28-OCT-24
"2021JA","",,"Zoom","0900AM","0945AM","",19-JAN-21,"Household items/yoga mat recommended.",28-OCT-24
"2021JA","",,"Zoom","0900AM","0945AM","",05-JAN-21,"Household items/yoga mat recommended.",28-OCT-24
"2021JA","",,"Zoom","0900AM","0945AM","",15-JAN-21,"Household items/yoga mat recommended.",28-OCT-24
"2021JA","",,"Zoom","0900AM","0945AM","",14-JAN-21,"Household items/yoga mat recommended.",28-OCT-24
"2021JA","",,"Zoom","0900AM","0945AM","",29-JAN-21,"Household items/yoga mat recommended.",28-OCT-24
"2021JA","",,"Zoom","0900AM","0945AM","",12-JAN-21,"Household items/yoga mat recommended.",28-OCT-24
"2021JA","",,"Zoom","0900AM","0945AM","",08-JAN-21,"Household items/yoga mat recommended.",28-OCT-24
"2021JA","",,"Zoom","0900AM","0945AM","",22-JAN-21,"Household items/yoga mat recommended.",28-OCT-24
"2021JA","",,"Zoom","0900AM","0945AM","",07-JAN-21,"Household items/yoga mat recommended.",28-OCT-24
"2021JA","",,"Virtual","0100PM","0300PM","",22-JAN-21,"You will get Zoom meeting details",28-OCT-24
"2021JA","",,"Virtual","0100PM","0300PM","",25-JAN-21,"You will get Zoom details",28-OCT-24
"2021JA","",,"On Zoom","0130PM","0230PM","",21-JAN-21,"https://mit.zoom.us/j/92110794217?pwd=Z05Xb2swc1R",28-OCT-24
"2021JA","",,"Zoom","1200PM","0100PM","",08-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","0100PM","0200PM","",19-JAN-21,"",28-OCT-24
"2021JA","",,"On Zoom","0130PM","0230PM","",21-JAN-21,"https://mit.zoom.us/j/92110794217?pwd=Z05Xb2swc1RY",28-OCT-24
"2021JA","",,"Zoom","0100PM","0230PM","",13-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","0100PM","0300PM","",27-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom 575 905 8653","0130PM","1230PM","",28-JAN-21,"",28-OCT-24
"2021JA","",,"https://mit.zoom.us/","0330PM","0500PM","",26-JAN-21,"https://mit.zoom.us/j/98608577276",28-OCT-24
"2021JA","",,"https://mit.zoom.us/","0100PM","0230PM","",26-JAN-21,"https://mit.zoom.us/j/98608577276",28-OCT-24
"2021JA","",,"https://mit.zoom.us/","0100PM","0230PM","",27-JAN-21,"https://mit.zoom.us/j/98608577276",28-OCT-24
"2021JA","",,"https://mit.zoom.us/","1030AM","1200PM","",27-JAN-21,"https://mit.zoom.us/j/98608577276",28-OCT-24
"2021JA","",,"https://mit.zoom.us/","0100PM","0230PM","",28-JAN-21,"https://mit.zoom.us/j/98608577276",28-OCT-24
"2021JA","",,"https://mit.zoom.us/","0330PM","0500PM","",28-JAN-21,"https://mit.zoom.us/j/98608577276",28-OCT-24
"2021JA","",,"online","0930AM","1200PM","",07-JAN-21,"",28-OCT-24
"2021JA","",,"online","0900AM","1200PM","",14-JAN-21,"",28-OCT-24
"2021JA","",,"online","0900AM","1200PM","",12-JAN-21,"",28-OCT-24
"2021JA","",,"online","1000AM","1130AM","",05-JAN-21,"",28-OCT-24
"2021JA","",,"On Zoom","1030AM","1130AM","",15-JAN-21,"",28-OCT-24
"2021JA","",,"On Zoom","1030AM","1200PM","",13-JAN-21,"https://mit.zoom.us/j/94586469826",28-OCT-24
"2021JA","",,"Zoom","0900AM","0945AM","",28-JAN-21,"Household items/yoga mat recommended.",28-OCT-24
"2021JA","",,"Zoom","0900AM","0945AM","",26-JAN-21,"Household items/yoga mat recommended.",28-OCT-24
"2021JA","",,"Zoom: 944 7554 8614","0200PM","0400PM","",08-JAN-21,"Vinyl records / Soul & Reggae",28-OCT-24
"2021JA","",,"Zoom: 944 7554 8614","0200PM","0400PM","",15-JAN-21,"Sound systems / Disco & Hi-NRG",28-OCT-24
"2021JA","",,"Zoom: 944 7554 8614","0200PM","0400PM","",22-JAN-21,"Analog mixers / Hip-Hop & Breakbeats",28-OCT-24
"2021JA","",,"Zoom: 944 7554 8614","0200PM","0400PM","",29-JAN-21,"Digital audio / House & Techno",28-OCT-24
"2021JA","",,"Virtual","0200PM","0300PM","",14-JAN-21,"",28-OCT-24
"2021JA","",,"Online","0200PM","0400PM","",12-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","0100PM","0230PM","",27-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","0100PM","0230PM","",13-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","0100PM","0230PM","",20-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","0600PM","0730PM","",27-JAN-21,"Headphones are helpful for virtual ringing",28-OCT-24
"2021JA","",,"Zoom","0600PM","0730PM","",25-JAN-21,"Headphones are helpful for virtual ringing",28-OCT-24
"2021JA","",,"Zoom","0600PM","0730PM","",06-JAN-21,"Headphones are helpful for virtual ringing",28-OCT-24
"2021JA","",,"Zoom","0600PM","0730PM","",11-JAN-21,"Headphones are helpful for virtual ringing",28-OCT-24
"2021JA","",,"Zoom","0600PM","0730PM","",20-JAN-21,"Headphones are helpful for virtual ringing",28-OCT-24
"2021JA","",,"Zoom","0600PM","0730PM","",13-JAN-21,"Headphones are helpful for virtual ringing",28-OCT-24
"2021JA","",,"","","","",,"",28-OCT-24
"2021JA","",,"","0200PM","0330PM","",12-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","0100PM","0230PM","",20-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","0100PM","0230PM","",27-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","0100PM","0230PM","",13-JAN-21,"",28-OCT-24
"2021JA","",,"VIRTUAL","1215PM","1240PM","",13-JAN-21,"ZOOM LINK WILL BE SENT TO EACH PARTICIPANT",28-OCT-24
"2021JA","",,"Virtual class","0400PM","0530PM","",14-JAN-21,"Zoom link:  https://mit.zoom.us/j/95192339092",28-OCT-24
"2021JA","",,"Virtual class","0400PM","0530PM","",21-JAN-21,"Zoom link: https://mit.zoom.us/j/95192339092",28-OCT-24
"2021JA","",,"Virtual class","0400PM","0530PM","",28-JAN-21,"Zoom link: https://mit.zoom.us/j/95192339092",28-OCT-24
"2021JA","",,"Virtual Class","0400PM","0530PM","",18-JAN-21,"Zoom link: https://mit.zoom.us/j/95192339092",28-OCT-24
"2021JA","",,"virtual","1100AM","1200PM","",12-JAN-21,"",28-OCT-24
"2021JA","",,"Virtual","1100AM","1200PM","",21-JAN-21,"",28-OCT-24
"2021JA","",,"virtual","1100AM","1200PM","",19-JAN-21,"",28-OCT-24
"2021JA","",,"Virtual","1100AM","1200PM","",28-JAN-21,"",28-OCT-24
"2021JA","",,"virtual","1100AM","1200PM","",26-JAN-21,"",28-OCT-24
"2021JA","",,"virtual","1100AM","1200PM","",14-JAN-21,"",28-OCT-24
"2021JA","",,"virtual via Zoom","0300PM","0415PM","",12-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","1200PM","0100PM","",28-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","1200PM","0100PM","",14-JAN-21,"",28-OCT-24
"2021JA","",,"Virtual","1100AM","1200PM","",27-JAN-21,"",28-OCT-24
"2021JA","",,"Online","0100PM","0200PM","",26-JAN-21,"",28-OCT-24
"2021JA","",,"VIRTUAL","1230PM","0145PM","",12-JAN-21,"zoom link will be sent to each participant",28-OCT-24
"2021JA","",,"VIRTUAL","1230PM","0145PM","",19-JAN-21,"zoom link will be sent to each participant",28-OCT-24
"2021JA","",,"VIRTUAL","1230PM","0145PM","",26-JAN-21,"zoom link will be sent to each participant",28-OCT-24
"2021JA","",,"VIRTUAL","1230PM","0145PM","",02-FEB-21,"zoom link will be sent to each participant",28-OCT-24
"2021JA","",,"On Zoom","0100PM","0230PM","",19-JAN-21,"link TBA",28-OCT-24
"2021JA","",,"VIRTUAL","1215PM","1240PM","",13-JAN-21,"ZOOM LINK WILL BE SENT TO EACH PARTICIPANT",28-OCT-24
"2021JA","",,"VIRTUAL","1230PM","0145PM","",26-JAN-21,"zoom link will be sent to each participant",28-OCT-24
"2021JA","",,"Zoom","1200PM","0100PM","",08-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","1200PM","0100PM","",26-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","1200PM","0100PM","",19-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","1200PM","0100PM","",12-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","1200PM","0100PM","",05-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","1200PM","0100PM","",14-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","1200PM","0100PM","",21-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","1200PM","0100PM","",28-JAN-21,"",28-OCT-24
"2021JA","",,"Zoom","1200PM","0100PM","",07-JAN-21,"",28-OCT-24
"2021JA","",,"Online","0600AM","1000PM","",30-JAN-21,"Zoom, Facetime, Skype, etc.",28-OCT-24
"2021JA","",,"Online","0600AM","1000PM","",29-JAN-21,"Zoom, Facetime, Skype, etc.",28-OCT-24
"2021JA","",,"Online","0600AM","1000PM","",31-JAN-21,"Zoom, Facetime, Skype, etc.",28-OCT-24
"2021JA","",,"Online","0600AM","1000PM","",28-JAN-21,"Zoom, Facetime, Skype, etc.",28-OCT-24
"2021JA","",,"Online","0600AM","1000PM","",27-JAN-21,"Zoom, Facetime, Skype, etc.",28-OCT-24
"2021JA","",,"Online","0600AM","1000PM","",26-JAN-21,"Zoom, Facetime, Skype, etc.",28-OCT-24
"2021JA","",,"Online","0600AM","1000PM","",25-JAN-21,"Zoom, Facetime, Skype, etc.",28-OCT-24
"2021JA","",,"Online","0600AM","1000PM","",24-JAN-21,"Zoom, Facetime, Skype, etc.",28-OCT-24
