"SUBJECT_SUMMARY_KEY","TERM_CODE","SUBJECT_ID","SUBJECT_ID_SORT","SUBJECT_TITLE","SUBJECT_OR_CLUSTER","MASTER_SUBJECT_ID","MASTER_SUBJECT_ID_SORT","ULT_MASTER_SUBJECT_ID","CLUSTER_TYPE","CLUSTER_TYPE_DESC","CLUSTER_LIST","DEPARTMENT_CODE","DEPARTMENT_NAME","SCHOOL_CODE","SCHOOL_NAME","TOTAL_UNITS","LECTURE_UNITS","LAB_UNITS","PREP_UNITS","DESIGN_UNITS","SUBJECT_ENROLLMENT_NUMBER","CLUSTER_ENROLLMENT_NUMBER","SUBJECT_GROUP_ID","SUBJECT_ENROLLMENT_FIRST_WEEK","CLUSTER_ENROLLMENT_FIRST_WEEK","SUBJECT_ENROLLMENT_FIFTH_WEEK","CLUSTER_ENROLLMENT_FIFTH_WEEK","SUBJECT_ENROLLMENT_CREDIT","SUBJECT_ENROLLMENT_LISTEN","CLUSTER_ENROLLMENT_CREDIT","CLUSTER_ENROLLMENT_LISTEN","SUBJECT_ENROLLMENT_1ST_CREDIT","SUBJECT_ENROLLMENT_1ST_LISTEN","CLUSTER_ENROLLMENT_1ST_CREDIT","CLUSTER_ENROLLMENT_1ST_LISTEN","SUBJECT_ENROLLMENT_5TH_CREDIT","SUBJECT_ENROLLMENT_5TH_LISTEN","CLUSTER_ENROLLMENT_5TH_CREDIT","CLUSTER_ENROLLMENT_5TH_LISTEN","WAREHOUSE_LOAD_DATE"
"HAL.90271999SP","1999SP","HAL.9027","HAL.9027","Law & Economics","HAL.0000, HAL.0002, HAL.0003, HAL.2200, HAL.3000, HAL.3010, HAL.3047, HAL.3155, HAL.3280, HAL.3365, HAL.3380, HAL.3400, HAL.3420, HAL.3423, HAL.3430, HAL.3520, HAL.3530, HAL.3550, HAL.3580, HAL.3700, HAL.3723, HAL.3740, HAL.3820, HAL.3914, HAL.3920, HAL.3930, HAL.3990, HAL.4040, HAL.4110, HAL.4141, HAL.4142, HAL.4390, HAL.4410, HAL.4550, HAL.4620, HAL.4623, HAL.4840, HAL.8005, HAL.9027, HAL.9040, HAL.9230, HAL.9284, HAL.9335, HAL.9400, HAL.9620, HAL.9632, HAL.9770, HAL.9820, HAL.9857, HAL.9892","HAL.0000","HAL.0000","HAL.0000","S","SWE: School-Wide Electives","HAL.0000, HAL.0002, HAL.0003, HAL.2200, HAL.3000, HAL.3010, HAL.3047, HAL.3155, HAL.3280, HAL.3365, HAL.3380, HAL.3400, HAL.3420, HAL.3423, HAL.3430, HAL.3520, HAL.3530, HAL.3550, HAL.3580, HAL.3700, HAL.3723, HAL.3740, HAL.3820, HAL.3914, HAL.3920, HAL.3930, HAL.3990, HAL.4040, HAL.4110, HAL.4141, HAL.4142, HAL.4390, HAL.4410, HAL.4550, HAL.4620, HAL.4623, HAL.4840, HAL.8005, HAL.9027, HAL.9040, HAL.9230, HAL.9284, HAL.9335, HAL.9400, HAL.9620, HAL.9632, HAL.9770, HAL.9820, HAL.9857, HAL.9892","NIH","Harvard Cross-Enrollment Prog","Z","Non-MIT",1,0,1,0,0,0,7,"86CD6495AE2C0327E0440003BACE90BC",0,7,0,7,0,0,5,2,0,0,5,2,0,0,5,2,28-OCT-24
"HAL.37001999SP","1999SP","HAL.3700","HAL.3700","Negotiation Workshop","HAL.0000, HAL.0002, HAL.0003, HAL.2200, HAL.3000, HAL.3010, HAL.3047, HAL.3155, HAL.3280, HAL.3365, HAL.3380, HAL.3400, HAL.3420, HAL.3423, HAL.3430, HAL.3520, HAL.3530, HAL.3550, HAL.3580, HAL.3700, HAL.3723, HAL.3740, HAL.3820, HAL.3914, HAL.3920, HAL.3930, HAL.3990, HAL.4040, HAL.4110, HAL.4141, HAL.4142, HAL.4390, HAL.4410, HAL.4550, HAL.4620, HAL.4623, HAL.4840, HAL.8005, HAL.9027, HAL.9040, HAL.9230, HAL.9284, HAL.9335, HAL.9400, HAL.9620, HAL.9632, HAL.9770, HAL.9820, HAL.9857, HAL.9892","HAL.0000","HAL.0000","HAL.0000","S","SWE: School-Wide Electives","HAL.0000, HAL.0002, HAL.0003, HAL.2200, HAL.3000, HAL.3010, HAL.3047, HAL.3155, HAL.3280, HAL.3365, HAL.3380, HAL.3400, HAL.3420, HAL.3423, HAL.3430, HAL.3520, HAL.3530, HAL.3550, HAL.3580, HAL.3700, HAL.3723, HAL.3740, HAL.3820, HAL.3914, HAL.3920, HAL.3930, HAL.3990, HAL.4040, HAL.4110, HAL.4141, HAL.4142, HAL.4390, HAL.4410, HAL.4550, HAL.4620, HAL.4623, HAL.4840, HAL.8005, HAL.9027, HAL.9040, HAL.9230, HAL.9284, HAL.9335, HAL.9400, HAL.9620, HAL.9632, HAL.9770, HAL.9820, HAL.9857, HAL.9892","NIH","Harvard Cross-Enrollment Prog","Z","Non-MIT",1,0,1,0,0,0,7,"86CD6495AE2C0327E0440003BACE90BC",0,7,0,7,0,0,5,2,0,0,5,2,0,0,5,2,28-OCT-24
"HAL.98201999SP","1999SP","HAL.9820","HAL.9820","Property Law: Perspective","HAL.0000, HAL.0002, HAL.0003, HAL.2200, HAL.3000, HAL.3010, HAL.3047, HAL.3155, HAL.3280, HAL.3365, HAL.3380, HAL.3400, HAL.3420, HAL.3423, HAL.3430, HAL.3520, HAL.3530, HAL.3550, HAL.3580, HAL.3700, HAL.3723, HAL.3740, HAL.3820, HAL.3914, HAL.3920, HAL.3930, HAL.3990, HAL.4040, HAL.4110, HAL.4141, HAL.4142, HAL.4390, HAL.4410, HAL.4550, HAL.4620, HAL.4623, HAL.4840, HAL.8005, HAL.9027, HAL.9040, HAL.9230, HAL.9284, HAL.9335, HAL.9400, HAL.9620, HAL.9632, HAL.9770, HAL.9820, HAL.9857, HAL.9892","HAL.0000","HAL.0000","HAL.0000","S","SWE: School-Wide Electives","HAL.0000, HAL.0002, HAL.0003, HAL.2200, HAL.3000, HAL.3010, HAL.3047, HAL.3155, HAL.3280, HAL.3365, HAL.3380, HAL.3400, HAL.3420, HAL.3423, HAL.3430, HAL.3520, HAL.3530, HAL.3550, HAL.3580, HAL.3700, HAL.3723, HAL.3740, HAL.3820, HAL.3914, HAL.3920, HAL.3930, HAL.3990, HAL.4040, HAL.4110, HAL.4141, HAL.4142, HAL.4390, HAL.4410, HAL.4550, HAL.4620, HAL.4623, HAL.4840, HAL.8005, HAL.9027, HAL.9040, HAL.9230, HAL.9284, HAL.9335, HAL.9400, HAL.9620, HAL.9632, HAL.9770, HAL.9820, HAL.9857, HAL.9892","NIH","Harvard Cross-Enrollment Prog","Z","Non-MIT",1,0,1,0,0,0,7,"86CD6495AE2C0327E0440003BACE90BC",0,7,0,7,0,0,5,2,0,0,5,2,0,0,5,2,28-OCT-24
"HAL.22001999SP","1999SP","HAL.2200","HAL.2200","HAL 22000-13:Corporations A3","HAL.0000, HAL.0002, HAL.0003, HAL.2200, HAL.3000, HAL.3010, HAL.3047, HAL.3155, HAL.3280, HAL.3365, HAL.3380, HAL.3400, HAL.3420, HAL.3423, HAL.3430, HAL.3520, HAL.3530, HAL.3550, HAL.3580, HAL.3700, HAL.3723, HAL.3740, HAL.3820, HAL.3914, HAL.3920, HAL.3930, HAL.3990, HAL.4040, HAL.4110, HAL.4141, HAL.4142, HAL.4390, HAL.4410, HAL.4550, HAL.4620, HAL.4623, HAL.4840, HAL.8005, HAL.9027, HAL.9040, HAL.9230, HAL.9284, HAL.9335, HAL.9400, HAL.9620, HAL.9632, HAL.9770, HAL.9820, HAL.9857, HAL.9892","HAL.0000","HAL.0000","HAL.0000","S","SWE: School-Wide Electives","HAL.0000, HAL.0002, HAL.0003, HAL.2200, HAL.3000, HAL.3010, HAL.3047, HAL.3155, HAL.3280, HAL.3365, HAL.3380, HAL.3400, HAL.3420, HAL.3423, HAL.3430, HAL.3520, HAL.3530, HAL.3550, HAL.3580, HAL.3700, HAL.3723, HAL.3740, HAL.3820, HAL.3914, HAL.3920, HAL.3930, HAL.3990, HAL.4040, HAL.4110, HAL.4141, HAL.4142, HAL.4390, HAL.4410, HAL.4550, HAL.4620, HAL.4623, HAL.4840, HAL.8005, HAL.9027, HAL.9040, HAL.9230, HAL.9284, HAL.9335, HAL.9400, HAL.9620, HAL.9632, HAL.9770, HAL.9820, HAL.9857, HAL.9892","NIH","Harvard Cross-Enrollment Prog","Z","Non-MIT",12,0,12,0,0,0,7,"86CD6495AE2C0327E0440003BACE90BC",0,7,0,7,0,0,5,2,0,0,5,2,0,0,5,2,28-OCT-24
"HAL.31551999SP","1999SP","HAL.3155","HAL.3155","Comparative Law: Russia","HAL.0000, HAL.0002, HAL.0003, HAL.2200, HAL.3000, HAL.3010, HAL.3047, HAL.3155, HAL.3280, HAL.3365, HAL.3380, HAL.3400, HAL.3420, HAL.3423, HAL.3430, HAL.3520, HAL.3530, HAL.3550, HAL.3580, HAL.3700, HAL.3723, HAL.3740, HAL.3820, HAL.3914, HAL.3920, HAL.3930, HAL.3990, HAL.4040, HAL.4110, HAL.4141, HAL.4142, HAL.4390, HAL.4410, HAL.4550, HAL.4620, HAL.4623, HAL.4840, HAL.8005, HAL.9027, HAL.9040, HAL.9230, HAL.9284, HAL.9335, HAL.9400, HAL.9620, HAL.9632, HAL.9770, HAL.9820, HAL.9857, HAL.9892","HAL.0000","HAL.0000","HAL.0000","S","SWE: School-Wide Electives","HAL.0000, HAL.0002, HAL.0003, HAL.2200, HAL.3000, HAL.3010, HAL.3047, HAL.3155, HAL.3280, HAL.3365, HAL.3380, HAL.3400, HAL.3420, HAL.3423, HAL.3430, HAL.3520, HAL.3530, HAL.3550, HAL.3580, HAL.3700, HAL.3723, HAL.3740, HAL.3820, HAL.3914, HAL.3920, HAL.3930, HAL.3990, HAL.4040, HAL.4110, HAL.4141, HAL.4142, HAL.4390, HAL.4410, HAL.4550, HAL.4620, HAL.4623, HAL.4840, HAL.8005, HAL.9027, HAL.9040, HAL.9230, HAL.9284, HAL.9335, HAL.9400, HAL.9620, HAL.9632, HAL.9770, HAL.9820, HAL.9857, HAL.9892","NIH","Harvard Cross-Enrollment Prog","Z","Non-MIT",1,0,1,0,0,0,7,"86CD6495AE2C0327E0440003BACE90BC",0,7,0,7,0,0,5,2,0,0,5,2,0,0,5,2,28-OCT-24
"HAL.48401999SP","1999SP","HAL.4840","HAL.4840","Women and the Law","HAL.0000, HAL.0002, HAL.0003, HAL.2200, HAL.3000, HAL.3010, HAL.3047, HAL.3155, HAL.3280, HAL.3365, HAL.3380, HAL.3400, HAL.3420, HAL.3423, HAL.3430, HAL.3520, HAL.3530, HAL.3550, HAL.3580, HAL.3700, HAL.3723, HAL.3740, HAL.3820, HAL.3914, HAL.3920, HAL.3930, HAL.3990, HAL.4040, HAL.4110, HAL.4141, HAL.4142, HAL.4390, HAL.4410, HAL.4550, HAL.4620, HAL.4623, HAL.4840, HAL.8005, HAL.9027, HAL.9040, HAL.9230, HAL.9284, HAL.9335, HAL.9400, HAL.9620, HAL.9632, HAL.9770, HAL.9820, HAL.9857, HAL.9892","HAL.0000","HAL.0000","HAL.0000","S","SWE: School-Wide Electives","HAL.0000, HAL.0002, HAL.0003, HAL.2200, HAL.3000, HAL.3010, HAL.3047, HAL.3155, HAL.3280, HAL.3365, HAL.3380, HAL.3400, HAL.3420, HAL.3423, HAL.3430, HAL.3520, HAL.3530, HAL.3550, HAL.3580, HAL.3700, HAL.3723, HAL.3740, HAL.3820, HAL.3914, HAL.3920, HAL.3930, HAL.3990, HAL.4040, HAL.4110, HAL.4141, HAL.4142, HAL.4390, HAL.4410, HAL.4550, HAL.4620, HAL.4623, HAL.4840, HAL.8005, HAL.9027, HAL.9040, HAL.9230, HAL.9284, HAL.9335, HAL.9400, HAL.9620, HAL.9632, HAL.9770, HAL.9820, HAL.9857, HAL.9892","NIH","Harvard Cross-Enrollment Prog","Z","Non-MIT",12,3,0,9,0,0,7,"86CD6495AE2C0327E0440003BACE90BC",0,7,0,7,0,0,5,2,0,0,5,2,0,0,5,2,28-OCT-24
"HAL.39201999SP","1999SP","HAL.3920","HAL.3920","Intl Env Law & Institutions","HAL.0000, HAL.0002, HAL.0003, HAL.2200, HAL.3000, HAL.3010, HAL.3047, HAL.3155, HAL.3280, HAL.3365, HAL.3380, HAL.3400, HAL.3420, HAL.3423, HAL.3430, HAL.3520, HAL.3530, HAL.3550, HAL.3580, HAL.3700, HAL.3723, HAL.3740, HAL.3820, HAL.3914, HAL.3920, HAL.3930, HAL.3990, HAL.4040, HAL.4110, HAL.4141, HAL.4142, HAL.4390, HAL.4410, HAL.4550, HAL.4620, HAL.4623, HAL.4840, HAL.8005, HAL.9027, HAL.9040, HAL.9230, HAL.9284, HAL.9335, HAL.9400, HAL.9620, HAL.9632, HAL.9770, HAL.9820, HAL.9857, HAL.9892","HAL.0000","HAL.0000","HAL.0000","S","SWE: School-Wide Electives","HAL.0000, HAL.0002, HAL.0003, HAL.2200, HAL.3000, HAL.3010, HAL.3047, HAL.3155, HAL.3280, HAL.3365, HAL.3380, HAL.3400, HAL.3420, HAL.3423, HAL.3430, HAL.3520, HAL.3530, HAL.3550, HAL.3580, HAL.3700, HAL.3723, HAL.3740, HAL.3820, HAL.3914, HAL.3920, HAL.3930, HAL.3990, HAL.4040, HAL.4110, HAL.4141, HAL.4142, HAL.4390, HAL.4410, HAL.4550, HAL.4620, HAL.4623, HAL.4840, HAL.8005, HAL.9027, HAL.9040, HAL.9230, HAL.9284, HAL.9335, HAL.9400, HAL.9620, HAL.9632, HAL.9770, HAL.9820, HAL.9857, HAL.9892","NIH","Harvard Cross-Enrollment Prog","Z","Non-MIT",12,0,12,0,0,0,7,"86CD6495AE2C0327E0440003BACE90BC",0,7,0,7,0,0,5,2,0,0,5,2,0,0,5,2,28-OCT-24
"HAL.34301999SP","1999SP","HAL.3430","HAL.3430","Intl Law:Transnatnl Econ","HAL.0000, HAL.0002, HAL.0003, HAL.2200, HAL.3000, HAL.3010, HAL.3047, HAL.3155, HAL.3280, HAL.3365, HAL.3380, HAL.3400, HAL.3420, HAL.3423, HAL.3430, HAL.3520, HAL.3530, HAL.3550, HAL.3580, HAL.3700, HAL.3723, HAL.3740, HAL.3820, HAL.3914, HAL.3920, HAL.3930, HAL.3990, HAL.4040, HAL.4110, HAL.4141, HAL.4142, HAL.4390, HAL.4410, HAL.4550, HAL.4620, HAL.4623, HAL.4840, HAL.8005, HAL.9027, HAL.9040, HAL.9230, HAL.9284, HAL.9335, HAL.9400, HAL.9620, HAL.9632, HAL.9770, HAL.9820, HAL.9857, HAL.9892","HAL.0000","HAL.0000","HAL.0000","S","SWE: School-Wide Electives","HAL.0000, HAL.0002, HAL.0003, HAL.2200, HAL.3000, HAL.3010, HAL.3047, HAL.3155, HAL.3280, HAL.3365, HAL.3380, HAL.3400, HAL.3420, HAL.3423, HAL.3430, HAL.3520, HAL.3530, HAL.3550, HAL.3580, HAL.3700, HAL.3723, HAL.3740, HAL.3820, HAL.3914, HAL.3920, HAL.3930, HAL.3990, HAL.4040, HAL.4110, HAL.4141, HAL.4142, HAL.4390, HAL.4410, HAL.4550, HAL.4620, HAL.4623, HAL.4840, HAL.8005, HAL.9027, HAL.9040, HAL.9230, HAL.9284, HAL.9335, HAL.9400, HAL.9620, HAL.9632, HAL.9770, HAL.9820, HAL.9857, HAL.9892","NIH","Harvard Cross-Enrollment Prog","Z","Non-MIT",1,0,1,0,0,0,7,"86CD6495AE2C0327E0440003BACE90BC",0,7,0,7,0,0,5,2,0,0,5,2,0,0,5,2,28-OCT-24
"HAL.35301999SP","1999SP","HAL.3530","HAL.3530","Employment Law","HAL.0000, HAL.0002, HAL.0003, HAL.2200, HAL.3000, HAL.3010, HAL.3047, HAL.3155, HAL.3280, HAL.3365, HAL.3380, HAL.3400, HAL.3420, HAL.3423, HAL.3430, HAL.3520, HAL.3530, HAL.3550, HAL.3580, HAL.3700, HAL.3723, HAL.3740, HAL.3820, HAL.3914, HAL.3920, HAL.3930, HAL.3990, HAL.4040, HAL.4110, HAL.4141, HAL.4142, HAL.4390, HAL.4410, HAL.4550, HAL.4620, HAL.4623, HAL.4840, HAL.8005, HAL.9027, HAL.9040, HAL.9230, HAL.9284, HAL.9335, HAL.9400, HAL.9620, HAL.9632, HAL.9770, HAL.9820, HAL.9857, HAL.9892","HAL.0000","HAL.0000","HAL.0000","S","SWE: School-Wide Electives","HAL.0000, HAL.0002, HAL.0003, HAL.2200, HAL.3000, HAL.3010, HAL.3047, HAL.3155, HAL.3280, HAL.3365, HAL.3380, HAL.3400, HAL.3420, HAL.3423, HAL.3430, HAL.3520, HAL.3530, HAL.3550, HAL.3580, HAL.3700, HAL.3723, HAL.3740, HAL.3820, HAL.3914, HAL.3920, HAL.3930, HAL.3990, HAL.4040, HAL.4110, HAL.4141, HAL.4142, HAL.4390, HAL.4410, HAL.4550, HAL.4620, HAL.4623, HAL.4840, HAL.8005, HAL.9027, HAL.9040, HAL.9230, HAL.9284, HAL.9335, HAL.9400, HAL.9620, HAL.9632, HAL.9770, HAL.9820, HAL.9857, HAL.9892","NIH","Harvard Cross-Enrollment Prog","Z","Non-MIT",12,0,12,0,0,0,7,"86CD6495AE2C0327E0440003BACE90BC",0,7,0,7,0,0,5,2,0,0,5,2,0,0,5,2,28-OCT-24
"HAL.00021999SP","1999SP","HAL.0002","HAL.0002","Law, Information & Society","HAL.0000, HAL.0002, HAL.0003, HAL.2200, HAL.3000, HAL.3010, HAL.3047, HAL.3155, HAL.3280, HAL.3365, HAL.3380, HAL.3400, HAL.3420, HAL.3423, HAL.3430, HAL.3520, HAL.3530, HAL.3550, HAL.3580, HAL.3700, HAL.3723, HAL.3740, HAL.3820, HAL.3914, HAL.3920, HAL.3930, HAL.3990, HAL.4040, HAL.4110, HAL.4141, HAL.4142, HAL.4390, HAL.4410, HAL.4550, HAL.4620, HAL.4623, HAL.4840, HAL.8005, HAL.9027, HAL.9040, HAL.9230, HAL.9284, HAL.9335, HAL.9400, HAL.9620, HAL.9632, HAL.9770, HAL.9820, HAL.9857, HAL.9892","HAL.0000","HAL.0000","HAL.0000","S","SWE: School-Wide Electives","HAL.0000, HAL.0002, HAL.0003, HAL.2200, HAL.3000, HAL.3010, HAL.3047, HAL.3155, HAL.3280, HAL.3365, HAL.3380, HAL.3400, HAL.3420, HAL.3423, HAL.3430, HAL.3520, HAL.3530, HAL.3550, HAL.3580, HAL.3700, HAL.3723, HAL.3740, HAL.3820, HAL.3914, HAL.3920, HAL.3930, HAL.3990, HAL.4040, HAL.4110, HAL.4141, HAL.4142, HAL.4390, HAL.4410, HAL.4550, HAL.4620, HAL.4623, HAL.4840, HAL.8005, HAL.9027, HAL.9040, HAL.9230, HAL.9284, HAL.9335, HAL.9400, HAL.9620, HAL.9632, HAL.9770, HAL.9820, HAL.9857, HAL.9892","NIH","Harvard Cross-Enrollment Prog","Z","Non-MIT",12,0,12,0,0,0,7,"86CD6495AE2C0327E0440003BACE90BC",0,7,0,7,0,0,5,2,0,0,5,2,0,0,5,2,28-OCT-24
