"VIEW_ID","VIEW_NAME","DESCRIPTION","SENSITIVITY_ID","STATUS","VIEW_TYPE","PRIMARY_PROVIDER_CODE","ADDITIONAL_PROVIDER_INFO"
462,"FUND_COST_COLLECTOR","Subset of cost collectors defined as Sponsored and Non-Sponsored Funds.",2,"PRODUCTION","D","SAPUSER",""
482,"COST_COLLECTOR_HISTORY","Contains the history of Cost Collector Data by fiscal period and fiscal year.",2,"PRODUCTION","D","SAPUSER",""
544,"PROJECT_HISTORY","Contains the history of project data by fiscal period and fiscal year.",2,"PRODUCTION","D","SAPUSER",""
545,"OSP_AWARD_COMMENT","Contains OSP Award Comments.  An award can have no comments or multiple comments of various Comment Type.  When joining this table with  OSP Award table in Brio, use an unequal join so that awards with no comments are retrieved.  You will probably want to limit by Comment Type.",2,"PRODUCTION","F","OSPUSER",""
546,"POOL_UNITS_HISTORY","History of Cost Collector Pool Units by fiscal period, beginning with June 1997.",3,"PRODUCTION","F","SAPUSER",""
547,"POOL_UNIT_VALUE_HISTORY","History of Pool Unit Values by fiscal period, beginning with June 1997.",3,"PRODUCTION","F","SAPUSER",""
562,"INSTRUCTOR_ROLE_DETAIL","Instructor Role Detail Table - ""Who is Teaching What"" - contains information about the roles of instructors in different sections of subjects/courses, by academic terms, as recorded on MITSIS.   There is one record for each instructor role in a section of a (master) subject in an academic term.",3,"PRODUCTION","F","SUPPRESSED",""
582,"OSP_AWARD_IDC","Award Underrecovery Information:  on- and off-campus rates, source and destination cost collectors by fiscal year.",3,"PRODUCTION","F","OSPUSER",""
622,"WEB_HITS_LOCKER","Master list of all AFS (Athena) lockers in which web pages are stored and which have web hits information in the warehouse. Used in the Web Hits reports to select locker name(s) for reporting. For example, if your web pages are at the adress ""http://web.mit.edu/chemistry/"" then the locker name you need to choose will be ""chemistry"". This is a dimension table and is designed to be joined to the WEB_HITS_DETAIL table via the LOCKER_KEY field.",1,"PRODUCTION","D","SUPPRESSED",""
642,"SPONSOR_HIERARCHY","Sponsor Hierarchy maintained in COEUS.",3,"PROTOTYPE","D","OSPUSER",""
