"VIEW_ID","FIELD_ID","SENSITIVITY_ID","STATUS","INDEXED"
3418,278,,"",""
1619,278,,"",""
1619,283,,"",""
1619,280,,"",""
1619,281,,"",""
1619,282,,"",""
1619,4655,,"",""
7373,14881,,"",""
7373,422,,"",""
7373,2206,,"",""
7373,4813,,"",""
7373,1123,,"",""
7373,1600,,"",""
1439,4245,,"",""
1439,4258,,"",""
1439,4259,,"",""
1439,41,,"",""
7373,2435,,"",""
7373,2436,,"",""
7373,2204,,"",""
7373,4809,,"",""
1619,1318,,"",""
1619,4656,,"",""
1619,9256,,"",""
1619,9216,,"",""
1619,8864,,"",""
1619,14406,,"",""
1619,41,,"",""
10375,19651,,"",""
10375,41,,"",""
10376,3218,,"",""
4038,3207,,"",""
4038,278,,"",""
10376,19652,,"",""
10376,19653,,"",""
10376,19654,,"",""
10376,19655,,"",""
10376,19656,,"",""
10376,41,,"",""
7373,2582,,"",""
7373,2583,,"",""
7373,13799,,"",""
7373,2807,,"",""
7373,430,,"",""
7373,2809,,"",""
7373,2810,,"",""
7373,14899,,"",""
7373,41,,"",""
7414,14881,,"",""
7414,422,,"",""
7414,2807,,"",""
7414,430,,"",""
7414,2809,,"",""
7414,2810,,"",""
7414,41,,"",""
1279,3723,,"",""
1279,3724,,"",""
1279,3705,,"",""
1279,3713,,"",""
1279,3719,,"",""
1279,3725,,"",""
10378,19661,,"",""
10378,19662,,"",""
10378,19663,,"",""
10378,19664,,"",""
10378,19665,,"",""
10378,19666,,"",""
10378,41,,"",""
1279,3726,,"",""
1279,3727,,"",""
1279,3728,,"",""
4038,5307,,"",""
4038,5305,,"",""
4038,4601,,"",""
4038,8245,,"",""
4038,8246,,"",""
4038,2227,,"",""
2059,278,,"",""
2059,3640,,"",""
2059,3233,,"",""
2059,3254,,"",""
2059,3255,,"",""
2059,3256,,"",""
2059,3257,,"",""
2059,1091,,"",""
2059,41,,"",""
4038,2228,,"",""
4038,8764,,"",""
4038,3211,,"",""
4038,3212,,"",""
4038,41,,"",""
4038,9058,,"",""
4038,4723,,"",""
1286,3787,,"",""
1211,3632,,"",""
1211,3635,,"",""
1211,3636,,"",""
1211,3637,,"",""
1211,41,,"",""
1279,3729,,"",""
1279,3730,,"",""
