"POSTAL_CODE","CITY_NAME","CITY_TYPE","PROVINCE_ABBR","PROVINCE_NAME","WAREHOUSE_LOAD_DATE"
"A0G 4P0","Wareham-Centreville","D","NL","Newfoundland",25-MAY-23
"A0G 4R0","Wesleyville","D","NL","Newfoundland",25-MAY-23
"A0G 4S0","Valley Pond","D","NL","Newfoundland",25-MAY-23
"A0G 4T0","Wings Point","D","NL","Newfoundland",25-MAY-23
"A0H 0A1","Pools Cove","D","NL","Newfoundland",25-MAY-23
"A0H 0A2","Belleoram","D","NL","Newfoundland",25-MAY-23
"A0H 0A3","Peterview","D","NL","Newfoundland",25-MAY-23
"A0H 0A4","Harbour Breton","D","NL","Newfoundland",25-MAY-23
"A0H 0A5","English Harbour West","D","NL","Newfoundland",25-MAY-23
"A0H 0A6","St Albans","D","NL","Newfoundland",25-MAY-23
"A0H 0A7","Hermitage","D","NL","Newfoundland",25-MAY-23
"A0H 0A8","Milltown","D","NL","Newfoundland",25-MAY-23
"A0H 0A9","Conne River","D","NL","Newfoundland",25-MAY-23
"A0H 0B1","Botwood","D","NL","Newfoundland",25-MAY-23
"A0H 0B2","Bishops Falls","D","NL","Newfoundland",25-MAY-23
"A0H 0B3","Leading Tickles","D","NL","Newfoundland",25-MAY-23
"A0H 0B4","Millertown","D","NL","Newfoundland",25-MAY-23
"A0H 0B5","Head Bay d'Espoir","D","NL","Newfoundland",25-MAY-23
"A0H 0B6","Buchans","D","NL","Newfoundland",25-MAY-23
"A0H 0B7","Badger","D","NL","Newfoundland",25-MAY-23
"A0H 0B8","Gaultois","D","NL","Newfoundland",25-MAY-23
"A0H 0B9","McCallum","D","NL","Newfoundland",25-MAY-23
"A0H 0C1","Point Leamington","D","NL","Newfoundland",25-MAY-23
"A0H 0C2","Seal Cove FB","D","NL","Newfoundland",25-MAY-23
"A0H 0C3","Rencontre East","D","NL","Newfoundland",25-MAY-23
"A0H 1A0","Badger","D","NL","Newfoundland",25-MAY-23
"A0H 1B0","Belleoram","D","NL","Newfoundland",25-MAY-23
"A0H 1C0","Bishops Falls","D","NL","Newfoundland",25-MAY-23
"A0H 1E0","Botwood","D","NL","Newfoundland",25-MAY-23
"A0H 1G0","Buchans","D","NL","Newfoundland",25-MAY-23
"A0H 1H0","Buchans Junction","D","NL","Newfoundland",25-MAY-23
"A0H 1J0","Conne River","D","NL","Newfoundland",25-MAY-23
"A0H 1L0","Cottrells Cove","D","NL","Newfoundland",25-MAY-23
"A0H 1M0","English Harbour West","D","NL","Newfoundland",25-MAY-23
"A0H 1N0","Gaultois","D","NL","Newfoundland",25-MAY-23
"A0H 1P0","Harbour Breton","D","NL","Newfoundland",25-MAY-23
"A0H 1R0","Head Bay d'Espoir","D","NL","Newfoundland",25-MAY-23
"A0H 1S0","Hermitage","D","NL","Newfoundland",25-MAY-23
"A0H 1T0","Leading Tickles","D","NL","Newfoundland",25-MAY-23
"A0H 1V0","Millertown","D","NL","Newfoundland",25-MAY-23
"A0H 1W0","Milltown","D","NL","Newfoundland",25-MAY-23
"A0H 1Y0","Peterview","D","NL","Newfoundland",25-MAY-23
"A0H 1Z0","Point Leamington","D","NL","Newfoundland",25-MAY-23
"A0H 2A0","Point of Bay","D","NL","Newfoundland",25-MAY-23
"A0H 2B0","Pools Cove","D","NL","Newfoundland",25-MAY-23
"A0H 2C0","Rencontre East","D","NL","Newfoundland",25-MAY-23
"A0H 2E0","St Albans","D","NL","Newfoundland",25-MAY-23
"A0H 2G0","Seal Cove FB","D","NL","Newfoundland",25-MAY-23
"A0H 2J0","McCallum","D","NL","Newfoundland",25-MAY-23
"A0J 0A1","Brighton","D","NL","Newfoundland",25-MAY-23
"A0J 0A2","Pilleys Island","D","NL","Newfoundland",25-MAY-23
"A0J 0A3","South Brook GB","D","NL","Newfoundland",25-MAY-23
"A0J 0A4","Little Bay NDB","D","NL","Newfoundland",25-MAY-23
"A0J 0A5","Kings Point","D","NL","Newfoundland",25-MAY-23
"A0J 0A6","Springdale","D","NL","Newfoundland",25-MAY-23
"A0J 0A7","Roberts Arm","D","NL","Newfoundland",25-MAY-23
"A0J 0A8","Triton","D","NL","Newfoundland",25-MAY-23
