"BUILDING_ROOM","BUILDING_COMPONENT","FLOOR","SPACE_USAGE","SPACE_UNIT_CODE","HR_ORG_UNIT_ID","ACCESS_LEVEL"
"1-000CA","1","0","CORRIDOR","591000","10000853","3"
"1-000CB","1","0","CORRIDOR","591000","10000853","3"
"1-000CC","1","0","CORRIDOR","591000","10000853","3"
"1-000SA","1","0","STAIRWAY","591000","10000853","3"
"1-000SB","1","0","STAIRWAY","591000","10000853","3"
"1-000SC","1","0","STAIRWAY","591000","10000853","3"
"1-000Z","1","0","SHAFT SPACE","591000","10000853","0"
"1-001E","1","0","ELECTRIC CLOSET","591000","10000853","0"
"1-004","1","0","TEACHING LAB","065000","10000324","2"
"1-004A","1","0","RSCH LAB-OFFICE","065000","10000324","2"
"1-005","1","0","TEACHING LAB","065000","10000324","2"
"1-007","1","0","RESEARCH LAB","065000","10000324","2"
"1-010","1","0","RESEARCH LAB","065000","10000324","2"
"1-010A","1","0","RSCH LAB-OFFICE","065000","10000324","2"
"1-013","1","0","RESEARCH LAB","065000","10000324","2"
"1-015","1","0","LABORATORY SVC","065000","10000324","2"
"1-015AE","1","0","ELECTRIC CLOSET","591000","10000853","0"
"1-015E","1","0","ELECTRIC CLOSET","591000","10000853","0"
"1-023","1","0","UTILITY/MECH RM","591000","10000853","0"
"1-023A","1","0","UTILITY/MECH RM","591000","10000853","0"
"1-025","1","0","RESEARCH LAB","065000","10000324","2"
"1-025A","1","0","RESEARCH LAB","065000","10000324","2"
"1-025AAZ","1","0","SHAFT SPACE","591000","10000853","0"
"1-025ABZ","1","0","SHAFT SPACE","591000","10000853","0"
"1-025ACZ","1","0","SHAFT SPACE","591000","10000853","0"
"1-025B","1","0","LABORATORY SVC","065000","10000324","2"
"1-025C","1","0","LABORATORY SVC","065000","10000324","2"
"1-025Z","1","0","SHAFT SPACE","591000","10000853","0"
"1-027","1","0","MALE LAVATORY","591000","10000853","3"
"1-027A","1","0","PUBLIC NON-ATH SHOWE","591000","10000853","1"
"1-030","1","0","LABORATORY SVC","063000","10000320","2"
"1-033","1","0","LAB SUPPORT SHOP","063000","10000320","2"
"1-034","1","0","RESEARCH LAB","063000","10000320","2"
"1-034A","1","0","RESEARCH LAB","063000","10000320","2"
"1-037E","1","0","ELECTRIC CLOSET","591000","10000853","0"
"1-039E","1","0","ELECTRIC CLOSET","591000","10000853","0"
"1-040","1","0","RESEARCH LAB","063000","10000320","2"
"1-041","1","0","OFFICE","063000","10000320","2"
"1-042","1","0","MAIL ROOM","591040","10002459","2"
"1-042AA","1","0","UTILITY/MECH RM","591000","10000853","0"
